"dist","regime","label","n","p","alpha","is_covered","c_plus_estimate","c_minus_estimate","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0187803634934168,-0.0166453219917752,FALSE,0.774755339836161,0.95893721779306,0.374344413569004,0.437055171563836
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016743777295847,-0.0146311406340056,FALSE,0.688629581748742,0.829603632271338,0.319523615787007,0.395999704077441
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0238377431620504,-0.0206597731610175,FALSE,0.919674271241259,1.28272933557589,0.451890280320539,0.576339529423957
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0196485981761336,-0.017363410437051,FALSE,0.614461569505913,0.868437937332761,0.296140016691511,0.422102565594455
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017612390692151,-0.0156567507840949,FALSE,0.54695165203202,0.772256296356542,0.266308330090519,0.375353666595595
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0236330060569333,-0.0207269521785371,FALSE,0.762383596339553,0.987053349494193,0.362486347102834,0.494085949569073
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0197409545287693,-0.0166360464468791,FALSE,0.733657314476344,0.929379727241733,0.319494361529057,0.413427090281661
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0168035403660442,-0.0152975182449276,FALSE,0.646912508106741,0.806596275514689,0.28705653852353,0.382441734843072
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0238626102100577,-0.0206527891851805,FALSE,0.918418530138734,1.18922424288604,0.395120692385533,0.535686731449515
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019611690350204,-0.0167651080670496,FALSE,0.729530670349852,0.889210989749393,0.323524099829161,0.418899077969137
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0175681118822492,-0.0147525453328405,FALSE,0.654042845534648,0.793128008963463,0.297160152867226,0.380895561880104
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0236189875731969,-0.0207429127513636,FALSE,0.873940315111061,1.10502166573266,0.396250367650583,0.521855262927763
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019568117309804,-0.0167121015708679,FALSE,0.766316898521649,0.886820799755121,0.349278158112122,0.394968759933486
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0176559854654505,-0.0153623696639413,FALSE,0.703358033838956,0.815407654034461,0.318798273946974,0.364841713412811
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0237750778905527,-0.0206462924730049,FALSE,1.00252253626187,1.17223930164995,0.454906046369013,0.520632150960457
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0196614160011206,-0.0167093191512763,FALSE,0.868561762766303,1.07935437224405,0.422789964685625,0.498861756333091
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0175923746599741,-0.0147044069906548,FALSE,0.81133780859002,0.956391096049521,0.403741165444213,0.436066937175769
