"dist","regime","label","n","p","alpha","is_covered","c_plus_estimate","c_minus_estimate","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0228994,-0.0211092,FALSE,0.956964714758108,1.32022578468358,0.451606135608692,0.56766911644331
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018998,-0.0169996,FALSE,0.725080857214188,0.818792638644475,0.340502663355944,0.397813784192715
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0160994,-0.0150356,FALSE,0.658655247544739,0.770957565534985,0.303373591585817,0.372324563440962
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0230348,-0.0209422,FALSE,0.907589791762755,1.20125200715028,0.425123829680514,0.554672362763811
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0188832,-0.0171694,FALSE,0.716586708084558,0.824094112084473,0.351577112934958,0.395549036679245
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016879,-0.0152034,FALSE,0.642675238463563,0.768882030542152,0.315733243472339,0.37178436188079
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023885,-0.0201602,FALSE,0.885134939251688,1.02010465386611,0.430962565524669,0.496373285747106
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0190746,-0.0169852,FALSE,0.634064368648691,0.744253768871275,0.306781167621759,0.375528803169978
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0170376,-0.0158976,FALSE,0.5879106881598,0.713926386598851,0.286213658283447,0.355755002757427
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0240148,-0.0208944,FALSE,0.81980972038982,0.983535058122348,0.398146815342927,0.478782500463202
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0191346,-0.0170954,FALSE,0.729043541273225,0.888328336522299,0.346221504151607,0.398154922758874
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0169764,-0.0159014,FALSE,0.647220521049948,0.750920174504505,0.291331297262134,0.341110815778901
