"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate","xi_hat"
"bivt",0.005,1000,"0.1",TRUE,0.013282482319849,-0.00194823333260876,0.350618993930769
"bivt",0.005,1000,"0.01",TRUE,0.015289090687424,-0.00262406716685673,0.350618993930769
"bivt",0.005,1000,"0.05",TRUE,0.00572638520686496,-0.00342455429147524,0.236781091887053
"bivt",0.005,1000,"0.1",TRUE,0.00503194757972954,-0.00335455198266416,0.236781091887053
"bivt",0.005,1000,"0.01",TRUE,0.00768519038442245,-0.00361755274729924,0.236781091887053
"bivt",0.005,1000,"0.05",TRUE,0.00479509596127012,-0.00398802979945277,0.266724445355085
"bivt",0.005,1000,"0.1",TRUE,0.00431703838555193,-0.00382525643845479,0.266724445355085
"bivt",0.005,1000,"0.01",TRUE,0.00654200728384747,-0.00415841493816098,0.266724445355085
"bivt",0.005,1000,"0.05",TRUE,0.00718544798756442,-0.00349716857359624,0.323813404410854
"bivt",0.005,1000,"0.1",TRUE,0.00611986999160748,-0.00343847660955819,0.323813404410854
"bivt",0.005,1000,"0.01",TRUE,0.00929544607408786,-0.00369987665126004,0.323813404410854
"bivt",0.005,1000,"0.05",TRUE,0.00732400421652442,-0.00241605221719413,0.374000252629771
"bivt",0.005,1000,"0.1",TRUE,0.00685127659310222,-0.00219727508052041,0.374000252629771
"bivt",0.005,1000,"0.01",TRUE,0.00757136891748829,-0.00273613121577376,0.374000252629771
"bivt",0.005,1000,"0.05",TRUE,0.00631488907794102,-0.00380166559927827,0.285193339363051
"bivt",0.005,1000,"0.1",TRUE,0.00566435465633407,-0.00365395623034599,0.285193339363051
"bivt",0.005,1000,"0.01",TRUE,0.00775938851579268,-0.00405868380705727,0.285193339363051
"bivt",0.005,1000,"0.05",TRUE,0.00649797318895922,-0.00377790861516616,0.277129374548945
"bivt",0.005,1000,"0.1",TRUE,0.00563136494125957,-0.00374905154726217,0.277129374548945
"bivt",0.005,1000,"0.01",TRUE,0.00908540794495529,-0.00386900351427873,0.277129374548945
"bivt",0.005,1000,"0.05",TRUE,0.00784209871996237,-0.00402478594974812,0.255254141154291
"bivt",0.005,1000,"0.1",TRUE,0.00638414214164256,-0.00400404548744027,0.255254141154291
"bivt",0.005,1000,"0.01",TRUE,0.00975077079601029,-0.00407656706409493,0.255254141154291
"bivt",0.005,1000,"0.05",TRUE,0.00631028927765368,-0.00375038531644046,0.301984851710351
"bivt",0.005,1000,"0.1",TRUE,0.00610304588841831,-0.00363823932325938,0.301984851710351
"bivt",0.005,1000,"0.01",TRUE,0.00866820561678432,-0.0039611060774278,0.301984851710351
"bivt",0.005,1000,"0.05",TRUE,0.00942769962501764,-0.00254379380676223,0.329728199130824
"bivt",0.005,1000,"0.1",TRUE,0.00849668839844675,-0.00243708689352318,0.329728199130824
"bivt",0.005,1000,"0.01",TRUE,0.0124798858829278,-0.00283697054631241,0.329728199130824
"bivt",0.005,1000,"0.05",TRUE,0.00617828686042494,-0.00377895265464908,0.296384466065147
"bivt",0.005,1000,"0.1",TRUE,0.00566823073174618,-0.00357969047229808,0.296384466065147
"bivt",0.005,1000,"0.01",TRUE,0.00716689113910209,-0.00403775065683318,0.296384466065147
"bivt",0.005,1000,"0.05",TRUE,0.00679357030563113,-0.00283254788547566,0.360679275598258
"bivt",0.005,1000,"0.1",TRUE,0.00592863421361021,-0.00273499640644273,0.360679275598258
"bivt",0.005,1000,"0.01",TRUE,0.00709910735458882,-0.00299321072609215,0.360679275598258
"bivt",0.005,1000,"0.05",TRUE,0.00611838393166545,-0.00354365533656257,0.337103897585504
"bivt",0.005,1000,"0.1",TRUE,0.00562548846940081,-0.00341096584478967,0.337103897585504
"bivt",0.005,1000,"0.01",TRUE,0.00819197929821859,-0.00374843771261361,0.337103897585504
"bivt",0.005,1000,"0.05",TRUE,0.00765966203126633,-0.00241667868082221,0.28196358174505
"bivt",0.005,1000,"0.1",FALSE,0.00675737138035086,-0.00223471660128458,0.28196358174505
"bivt",0.005,1000,"0.01",TRUE,0.00880208301127238,-0.00260971989744345,0.28196358174505
"bivt",0.005,1000,"0.05",TRUE,0.00735931095543751,-0.00380015555621228,0.253726623455245
"bivt",0.005,1000,"0.1",TRUE,0.00673469847828698,-0.0036869454225419,0.253726623455245
"bivt",0.005,1000,"0.01",TRUE,0.00889761704472378,-0.00394472227482431,0.253726623455245
"bivt",0.005,1000,"0.05",TRUE,0.00714225332396997,-0.00247787529985564,0.300559099203161
"bivt",0.005,1000,"0.1",TRUE,0.00683650041625892,-0.00237031743503507,0.300559099203161
"bivt",0.005,1000,"0.01",TRUE,0.0100868217059452,-0.00283804689229853,0.300559099203161
"bivt",0.005,1000,"0.05",TRUE,0.00758051861639969,-0.00371109432910921,0.241549282455284
"bivt",0.005,1000,"0.1",TRUE,0.00703679604816372,-0.00368810346093462,0.241549282455284
"bivt",0.005,1000,"0.01",TRUE,0.00993410289844457,-0.00383890079648245,0.241549282455284
"bivt",0.005,1000,"0.05",TRUE,0.00717730103540254,-0.00309181294173846,0.276534070083662
