"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate","xi_hat"
"bivt",0.005,1000,"0.1",TRUE,0.00693747394764018,-0.00449995304904431,0.220057276688835
"bivt",0.005,1000,"0.01",TRUE,0.0108617596295897,-0.00463338368776579,0.220057276688835
"bivt",0.005,1000,"0.05",TRUE,0.00560837681786385,-0.00427908566267298,0.322515831198222
"bivt",0.005,1000,"0.1",TRUE,0.00465122371079184,-0.00424136258202404,0.322515831198222
"bivt",0.005,1000,"0.01",TRUE,0.00867465700438506,-0.00429861788371721,0.322515831198222
"bivt",0.005,1000,"0.05",TRUE,0.00674873511134526,-0.00407213661863033,0.296020091239666
"bivt",0.005,1000,"0.1",TRUE,0.00549953380672459,-0.00399394785770979,0.296020091239666
"bivt",0.005,1000,"0.01",TRUE,0.00937675887917098,-0.00414385701359333,0.296020091239666
"bivt",0.005,1000,"0.05",TRUE,0.00728953587499468,-0.00450531091996596,0.272705994248668
"bivt",0.005,1000,"0.1",TRUE,0.00547227166490462,-0.00448152212831607,0.272705994248668
"bivt",0.005,1000,"0.01",TRUE,0.0125418543670821,-0.00456962771104208,0.272705994248668
"bivt",0.005,1000,"0.05",TRUE,0.0079994195857267,-0.00354310104301962,0.273436907072456
"bivt",0.005,1000,"0.1",TRUE,0.00774505849838992,-0.00346726855479657,0.273436907072456
"bivt",0.005,1000,"0.01",TRUE,0.00851876196319975,-0.00374459571239911,0.273436907072456
"bivt",0.005,1000,"0.05",TRUE,0.00852952229942301,-0.00352022521717672,0.289117261952374
"bivt",0.005,1000,"0.1",TRUE,0.0085230434298951,-0.00343027056221662,0.289117261952374
"bivt",0.005,1000,"0.01",TRUE,0.010215452126051,-0.00368126552433409,0.289117261952374
"bivt",0.005,1000,"0.05",TRUE,0.0119695309523047,-0.00350387975508096,0.346616262645121
"bivt",0.005,1000,"0.1",TRUE,0.0115832813420343,-0.00345166537130245,0.346616262645121
"bivt",0.005,1000,"0.01",TRUE,0.0127211704974195,-0.00356291339074679,0.346616262645121
"bivt",0.005,1000,"0.05",TRUE,0.00763943074437164,-0.00252399663781502,0.420895819280928
"bivt",0.005,1000,"0.1",TRUE,0.00740542619105859,-0.00224666819244197,0.420895819280928
"bivt",0.005,1000,"0.01",TRUE,0.0103424472163996,-0.00265065411516783,0.420895819280928
"bivt",0.005,1000,"0.05",TRUE,0.00395184222000446,-0.00323383371241997,0.390704791274822
"bivt",0.005,1000,"0.1",TRUE,0.00357350789574568,-0.00310176715869642,0.390704791274822
"bivt",0.005,1000,"0.01",TRUE,0.00599220663691386,-0.00329107442388122,0.390704791274822
"bivt",0.005,1000,"0.05",TRUE,0.00570745328226394,-0.00384619892316904,0.292105400201267
"bivt",0.005,1000,"0.1",TRUE,0.00541239023578878,-0.00379545538899598,0.292105400201267
"bivt",0.005,1000,"0.01",TRUE,0.00691640697784181,-0.00401579890041465,0.292105400201267
"bivt",0.005,1000,"0.05",TRUE,0.00681529262606063,-0.00425413044065941,0.316010160308346
"bivt",0.005,1000,"0.1",TRUE,0.00564741333395272,-0.00419956756766957,0.316010160308346
"bivt",0.005,1000,"0.01",TRUE,0.0103452434613727,-0.00439781240977225,0.316010160308346
"bivt",0.005,1000,"0.05",TRUE,0.00619283215541393,-0.0045782039453225,0.272914801919239
"bivt",0.005,1000,"0.1",TRUE,0.00539864631523095,-0.00452542142476184,0.272914801919239
"bivt",0.005,1000,"0.01",TRUE,0.00807277388373304,-0.00462659068718174,0.272914801919239
"bivt",0.005,1000,"0.05",TRUE,0.00667597887013745,-0.00425180004365115,0.256980578007025
"bivt",0.005,1000,"0.1",TRUE,0.00568218125204363,-0.00421831781121401,0.256980578007025
"bivt",0.005,1000,"0.01",TRUE,0.00912942207186885,-0.00433575393010586,0.256980578007025
"bivt",0.005,1000,"0.05",TRUE,0.0070382700668174,-0.00428621058485416,0.29891298770053
"bivt",0.005,1000,"0.1",TRUE,0.00690512009875966,-0.00422414782336075,0.29891298770053
"bivt",0.005,1000,"0.01",TRUE,0.00873989922345978,-0.00438136058112198,0.29891298770053
"bivt",0.005,1000,"0.05",TRUE,0.0133036769743501,-0.00325088103488219,0.381369345189352
"bivt",0.005,1000,"0.1",TRUE,0.0117082865145647,-0.00292708032557675,0.381369345189352
"bivt",0.005,1000,"0.01",TRUE,0.0141214258515608,-0.0034559884663266,0.381369345189352
"bivt",0.005,1000,"0.05",TRUE,0.00522971961039238,-0.00284655585157524,0.315614238795983
"bivt",0.005,1000,"0.1",TRUE,0.00471873224608727,-0.00278231044717064,0.315614238795983
"bivt",0.005,1000,"0.01",TRUE,0.00634223031722813,-0.00313905171644907,0.315614238795983
"bivt",0.005,1000,"0.05",TRUE,0.007360265760953,-0.00414386659665444,0.311481260208243
"bivt",0.005,1000,"0.1",TRUE,0.00675272101111834,-0.00411773545439577,0.311481260208243
