"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate","xi_hat"
"bivt",0.005,1000,"0.01",FALSE,0.00401845151977405,-0.0023514233596073,0.35638150845208
"bivt",0.005,1000,"0.05",TRUE,0.00560987672548861,-0.00240136824895905,0.333446523125285
"bivt",0.005,1000,"0.1",TRUE,0.00487128318288663,-0.00221173075340882,0.333446523125285
"bivt",0.005,1000,"0.01",TRUE,0.00704011371455253,-0.00266140620134343,0.333446523125285
"bivt",0.005,1000,"0.05",TRUE,0.00334750487195426,-0.00184668110970056,0.369827494752904
"bivt",0.005,1000,"0.1",TRUE,0.00295511980872868,-0.00176952049288696,0.369827494752904
"bivt",0.005,1000,"0.01",TRUE,0.00462648995363677,-0.00217861833860231,0.369827494752904
"bivt",0.005,1000,"0.05",TRUE,0.00454129336847155,-0.00224773762953955,0.391407166895213
"bivt",0.005,1000,"0.1",TRUE,0.00337144853784523,-0.00201925274078721,0.391407166895213
"bivt",0.005,1000,"0.01",TRUE,0.00570699549295697,-0.00249224362045537,0.391407166895213
"bivt",0.005,1000,"0.05",FALSE,0.0096689121779893,-0.00266095063890397,0.254701832692054
"bivt",0.005,1000,"0.1",FALSE,0.00871734758133953,-0.00248923889405571,0.254701832692054
"bivt",0.005,1000,"0.01",FALSE,0.0111730727219954,-0.00301170363917987,0.254701832692054
"bivt",0.005,1000,"0.05",FALSE,0.00793560960672454,-0.00316432964818171,0.206140630972652
"bivt",0.005,1000,"0.1",FALSE,0.00665216842746233,-0.00296893333892645,0.206140630972652
"bivt",0.005,1000,"0.01",FALSE,0.0106566112343288,-0.00346123028411331,0.206140630972652
"bivt",0.005,1000,"0.05",FALSE,0.00425990569436545,-0.00211865823634113,0.302746337795035
"bivt",0.005,1000,"0.1",FALSE,0.00373695837761276,-0.00198943698585064,0.302746337795035
"bivt",0.005,1000,"0.01",TRUE,0.00488886459517118,-0.00244159644044269,0.302746337795035
"bivt",0.005,1000,"0.05",TRUE,0.00428600420296285,-0.00272608541840072,0.289251819047638
"bivt",0.005,1000,"0.1",TRUE,0.00369489589671192,-0.00256104841905322,0.289251819047638
"bivt",0.005,1000,"0.01",TRUE,0.00587512665379743,-0.00326898873573467,0.289251819047638
"bivt",0.005,1000,"0.05",TRUE,0.00452070051270432,-0.00259444120191537,0.279029360249966
"bivt",0.005,1000,"0.1",TRUE,0.00406986883476693,-0.00239053849511019,0.279029360249966
"bivt",0.005,1000,"0.01",TRUE,0.0054617527731284,-0.00283544083599716,0.279029360249966
"bivt",0.005,1000,"0.05",TRUE,0.00643815523155804,-0.00237625516888252,0.305696915811651
"bivt",0.005,1000,"0.1",TRUE,0.00415764751707602,-0.00228062303138933,0.305696915811651
"bivt",0.005,1000,"0.01",TRUE,0.00762318851065407,-0.00264314835845154,0.305696915811651
"bivt",0.005,1000,"0.05",TRUE,0.00639150212544464,-0.00274086397826898,0.340077701953307
"bivt",0.005,1000,"0.1",TRUE,0.00570989089775949,-0.00257070701403681,0.340077701953307
"bivt",0.005,1000,"0.01",TRUE,0.00937639614696354,-0.00318864989184987,0.340077701953307
"bivt",0.005,1000,"0.05",TRUE,0.00574435251550285,-0.00229202288113515,0.306300681812581
"bivt",0.005,1000,"0.1",TRUE,0.00443427961032355,-0.00214844403619548,0.306300681812581
"bivt",0.005,1000,"0.01",TRUE,0.0067455677432581,-0.00250803757056836,0.306300681812581
"bivt",0.005,1000,"0.05",TRUE,0.0052360987424625,-0.00240534256717781,0.36236435752507
"bivt",0.005,1000,"0.1",TRUE,0.00456136431412364,-0.00227649872088833,0.36236435752507
"bivt",0.005,1000,"0.01",TRUE,0.00839161770453585,-0.00268650489370781,0.36236435752507
"bivt",0.005,1000,"0.05",TRUE,0.00622714397967576,-0.00246370649823595,0.29474173991119
"bivt",0.005,1000,"0.1",TRUE,0.00437772282635367,-0.0023722622996145,0.29474173991119
"bivt",0.005,1000,"0.01",TRUE,0.00696414402973356,-0.00286933654916078,0.29474173991119
"bivt",0.005,1000,"0.05",TRUE,0.00527708392527888,-0.00268142093903792,0.332069586806751
"bivt",0.005,1000,"0.1",TRUE,0.00439077808014261,-0.00248302000210439,0.332069586806751
"bivt",0.005,1000,"0.01",TRUE,0.00682387889912479,-0.00290923451312942,0.332069586806751
"bivt",0.005,1000,"0.05",TRUE,0.00744764623552447,-0.00257128791764573,0.293141867873528
"bivt",0.005,1000,"0.1",TRUE,0.00632235480605088,-0.00246184195367468,0.293141867873528
"bivt",0.005,1000,"0.01",TRUE,0.010295363095231,-0.00292922713995021,0.293141867873528
"bivt",0.005,1000,"0.05",FALSE,0.00914029793051234,-0.00325318852694277,0.219365801231882
"bivt",0.005,1000,"0.1",FALSE,0.00889359619978875,-0.0030569587964503,0.219365801231882
"bivt",0.005,1000,"0.01",FALSE,0.0117993851172457,-0.00352948702626744,0.219365801231882
"bivt",0.005,1000,"0.05",TRUE,0.00537583100480223,-0.00259593887490343,0.356537359112087
"bivt",0.005,1000,"0.1",TRUE,0.00336570432363123,-0.0023380510416878,0.356537359112087
"bivt",0.005,1000,"0.01",TRUE,0.00678076318332312,-0.00271210494087531,0.356537359112087
"bivt",0.005,1000,"0.05",TRUE,0.0049081687543433,-0.00262023444645179,0.307076703109503
"bivt",0.005,1000,"0.1",TRUE,0.00411901718160635,-0.00221792917449109,0.307076703109503
"bivt",0.005,1000,"0.01",TRUE,0.00738363543835897,-0.0028477045115446,0.307076703109503
"bivt",0.005,1000,"0.05",FALSE,0.00636625238994497,-0.00255777502490147,0.266453620621515
"bivt",0.005,1000,"0.1",FALSE,0.00423403641984046,-0.00237627130381803,0.266453620621515
"bivt",0.005,1000,"0.01",FALSE,0.00725383443705043,-0.00283774199543442,0.266453620621515
"bivt",0.005,1000,"0.05",TRUE,0.00402447963962959,-0.00241548968968051,0.32167925437269
"bivt",0.005,1000,"0.1",TRUE,0.00353565164261039,-0.00225865442983086,0.32167925437269
"bivt",0.005,1000,"0.01",TRUE,0.00532404855543603,-0.00273508409593749,0.32167925437269
"bivt",0.005,1000,"0.05",TRUE,0.00889353385447022,-0.003266226500958,0.247525799295299
"bivt",0.005,1000,"0.1",TRUE,0.00733413368013118,-0.00303432014417007,0.247525799295299
"bivt",0.005,1000,"0.01",TRUE,0.0114584390522573,-0.00351454332425409,0.247525799295299
"bivt",0.005,1000,"0.05",TRUE,0.0055168968735324,-0.00301974594510209,0.345560200756392
"bivt",0.005,1000,"0.1",TRUE,0.00489830940741411,-0.00272694585048273,0.345560200756392
"bivt",0.005,1000,"0.01",TRUE,0.00878319838996956,-0.00321873011961838,0.345560200756392
"bivt",0.005,1000,"0.05",TRUE,0.00514747900948435,-0.00245234660927882,0.301435155930689
"bivt",0.005,1000,"0.1",TRUE,0.00439791073647932,-0.00226439051060676,0.301435155930689
"bivt",0.005,1000,"0.01",TRUE,0.00625175649782824,-0.00281152373866387,0.301435155930689
"bivt",0.005,1000,"0.05",TRUE,0.00377424428520113,-0.00266576612957499,0.265723774448413
"bivt",0.005,1000,"0.1",TRUE,0.00309546403100068,-0.00236580011986276,0.265723774448413
"bivt",0.005,1000,"0.01",TRUE,0.00539059107289798,-0.00294233668026109,0.265723774448413
"bivt",0.005,1000,"0.05",TRUE,0.00602264893059017,-0.00288397975678734,0.28975743221794
"bivt",0.005,1000,"0.1",TRUE,0.00573385716404731,-0.00271636718275037,0.28975743221794
"bivt",0.005,1000,"0.01",TRUE,0.00736424091856676,-0.00331512506140649,0.28975743221794
"bivt",0.005,1000,"0.05",FALSE,0.0103069223104175,-0.00364240821064478,0.206692534956046
"bivt",0.005,1000,"0.1",FALSE,0.00749653376447012,-0.00342289955783604,0.206692534956046
"bivt",0.005,1000,"0.01",FALSE,0.0122795752066827,-0.00391058703635433,0.206692534956046
"bivt",0.005,1000,"0.05",TRUE,0.00622235412446368,-0.0031757755060821,0.240030433897205
