"dist","p","n","sim_id","theta","expected_r_bootstrapworld","true_r_bootstrapworld","true_bias","boot_bias"
"bivt",0.005,1000,1,0,3.80883158663669,3.80174591371791,-0.576681537737896,0.00708567291878426
"bivt",0.005,1000,1,0.0320570678937734,3.81078950854877,3.80370019325464,-0.57866112232144,0.00708931529413048
"bivt",0.005,1000,1,0.0641141357875468,3.81667335137403,3.80957309020717,-0.582388259019866,0.00710026116685292
"bivt",0.005,1000,1,0.0961712036813202,3.8265134731947,3.81939490618178,-0.587331333898525,0.00711856701291502
"bivt",0.005,1000,1,0.128228271575094,3.84025759377414,3.83321656875993,-0.592274891598946,0.00704102501421211
"bivt",0.005,1000,1,0.160285339468867,3.84117183141656,3.85111027937376,-0.598156613196884,-0.00993844795720289
"bivt",0.005,1000,1,0.19234240736264,3.86255736152765,3.87317044178165,-0.603756175650843,-0.0106130802539983
"bivt",0.005,1000,1,0.224399475256414,3.88882962549095,3.89951489357798,-0.610402108161023,-0.0106852680870322
"bivt",0.005,1000,1,0.256456543150187,3.91943419092154,3.93028647104943,-0.618155131857492,-0.010852280127887
"bivt",0.005,1000,1,0.288513611043961,3.95436897637894,3.96565494678429,-0.627358068032659,-0.0112859704053463
"bivt",0.005,1000,1,0.320570678937734,3.96689822947138,4.00581939015978,-0.635131855093542,-0.0389211606883992
"bivt",0.005,1000,1,0.352627746831507,3.95326369958338,3.90107885131861,-0.64354109839526,0.0521848482647718
"bivt",0.005,1000,1,0.384684814725281,3.96905330937806,3.86743298544031,-0.653495832530178,0.101620323937756
"bivt",0.005,1000,1,0.416741882619054,4.0137559750274,3.92031819321832,-0.664861518336403,0.093437781809079
"bivt",0.005,1000,1,0.448798950512828,4.07183547624336,3.97881499553171,-0.675306208300416,0.0930204807116497
"bivt",0.005,1000,1,0.480856018406601,4.12751433314824,4.04330165425284,-0.687221313491534,0.084212678895395
"bivt",0.005,1000,1,0.512913086300374,4.15167348568421,4.11421036315746,-0.702583212673717,0.0374631225267592
"bivt",0.005,1000,1,0.544970154194148,4.17794564269792,4.14659298296333,-0.716256049675327,0.0313526597345888
"bivt",0.005,1000,1,0.577027222087921,4.20485414852261,4.22239151851034,-0.726997014802003,-0.0175373699877364
"bivt",0.005,1000,1,0.609084289981695,4.2341782784298,4.18316502311946,-0.736265120635194,0.0510132553103348
"bivt",0.005,1000,1,0.641141357875468,4.27838613541353,4.24356538969482,-0.746582717309204,0.0348207457187089
"bivt",0.005,1000,1,0.673198425769241,4.35101469708427,4.34985183489064,-0.755167448582029,0.00116286219362749
"bivt",0.005,1000,1,0.705255493663015,4.4297809864859,4.46630659892499,-0.763751367351449,-0.036525612439096
"bivt",0.005,1000,1,0.737312561556788,4.48705987578833,4.53860344371652,-0.76894687791438,-0.0515435679281921
"bivt",0.005,1000,1,0.769369629450562,4.47720946482414,4.45185686314745,-0.773519839188819,0.0253526016766976
"bivt",0.005,1000,1,0.801426697344335,4.47369882069156,4.43118278239643,-0.776332963329605,0.0425160382951244
"bivt",0.005,1000,1,0.833483765238108,4.47619442688672,4.47487249195283,-0.773992965437791,0.00132193493389021
"bivt",0.005,1000,1,0.865540833131882,4.48464399528131,4.48055070254016,-0.770100355860326,0.00409329274115144
"bivt",0.005,1000,1,0.897597901025655,4.49616627907389,4.53605699789752,-0.763548165112121,-0.0398907188236342
"bivt",0.005,1000,1,0.929654968919429,4.46395006952069,4.45443661080006,-0.754033441008183,0.00951345872062959
"bivt",0.005,1000,1,0.961712036813202,4.42840956061809,4.3551885122699,-0.74475180639159,0.0732210483481825
"bivt",0.005,1000,1,0.993769104706975,4.38253766765571,4.26208743502469,-0.732555195780997,0.120450232631018
"bivt",0.005,1000,1,1.02582617260075,4.35161229834062,4.31262047583645,-0.720910942622392,0.0389918225041654
"bivt",0.005,1000,1,1.05788324049452,4.31513942306212,4.23255712524904,-0.708012008494333,0.0825822978130759
"bivt",0.005,1000,1,1.0899403083883,4.30034563568743,4.26812368688258,-0.697394461423024,0.0322219488048479
"bivt",0.005,1000,1,1.12199737628207,4.30536140258406,4.26268299773493,-0.683057295227394,0.0426784048491342
"bivt",0.005,1000,1,1.15405444417584,4.32480471674516,4.32437872970858,-0.670836189934778,0.000425987036586584
"bivt",0.005,1000,1,1.18611151206962,4.33287775376979,4.26604273340423,-0.6612714223311,0.0668350203655654
"bivt",0.005,1000,1,1.21816857996339,4.30129662146947,4.21353175476046,-0.6496088146785,0.0877648667090103
"bivt",0.005,1000,1,1.25022564785716,4.25803087392969,4.16652710823546,-0.640183293559325,0.0915037656942337
"bivt",0.005,1000,1,1.28228271575094,4.21534293764876,4.12475132510299,-0.630380773145966,0.0905916125457642
"bivt",0.005,1000,1,1.31433978364471,4.17774757032482,4.08796391694169,-0.622239738384413,0.0897836533831287
"bivt",0.005,1000,1,1.34639685153848,4.14522955161918,4.05595782799697,-0.614278898861215,0.089271723622212
"bivt",0.005,1000,1,1.37845391943226,4.13682874217853,4.02855647464822,-0.60711192704808,0.108272267530304
"bivt",0.005,1000,1,1.41051098732603,4.15516731748873,4.02675749160824,-0.601317937306459,0.128409825880492
"bivt",0.005,1000,1,1.4425680552198,4.18226323384924,4.00804765780971,-0.596424843462687,0.174215576039527
"bivt",0.005,1000,1,1.47462512311358,4.1988474338615,4.25845089869404,-0.591601310895889,-0.0596034648325361
"bivt",0.005,1000,1,1.50668219100735,4.18880584213486,4.24750002241879,-0.587149290919809,-0.0586941802839362
"bivt",0.005,1000,1,1.53873925890112,4.1826136615459,4.24095201051645,-0.584532889969844,-0.0583383489705493
"bivt",0.005,1000,1,1.5707963267949,4.18046470240782,4.23877307807979,-0.581107838720077,-0.0583083756719693
"bivt",0.005,1000,2,0,4.25317548765059,4.29730171333275,-0.576681537737896,-0.0441262256821542
"bivt",0.005,1000,2,0.0320570678937734,4.25536182361578,4.29951073229197,-0.57866112232144,-0.0441489086761901
"bivt",0.005,1000,2,0.0641141357875468,4.26193208420838,4.30614915861217,-0.582388259019866,-0.0442170744037824
"bivt",0.005,1000,2,0.0961712036813202,4.26509628828561,4.31725124369982,-0.587331333898525,-0.0521549554142133
"bivt",0.005,1000,2,0.128228271575094,4.27666554690604,4.33287455352278,-0.592274891598946,-0.0562090066167436
"bivt",0.005,1000,2,0.160285339468867,4.2284874891326,4.26495928694189,-0.598156613196884,-0.0364717978092832
"bivt",0.005,1000,2,0.19234240736264,4.20874271166946,4.1991015931143,-0.603756175650843,0.00964111855516236
"bivt",0.005,1000,2,0.224399475256414,4.20280813939881,4.17909309497509,-0.610402108161023,0.0237150444237146
"bivt",0.005,1000,2,0.256456543150187,4.2094219007337,4.20529223302362,-0.618155131857492,0.00412966771008083
"bivt",0.005,1000,2,0.288513611043961,4.2226136256359,4.21762788000492,-0.627358068032659,0.00498574563097431
"bivt",0.005,1000,2,0.320570678937734,4.23923596448802,4.21811052692818,-0.635131855093542,0.0211254375598395
"bivt",0.005,1000,2,0.352627746831507,4.26833186706876,4.22675686298866,-0.64354109839526,0.0415750040800997
"bivt",0.005,1000,2,0.384684814725281,4.28813398140221,4.27943265903886,-0.653495832530178,0.00870132236334875
"bivt",0.005,1000,2,0.416741882619054,4.28168875301491,4.27387369937646,-0.664861518336403,0.00781505363845181
"bivt",0.005,1000,2,0.448798950512828,4.28338809160461,4.20760526445042,-0.675306208300416,0.0757828271541934
"bivt",0.005,1000,2,0.480856018406601,4.3066080166122,4.27364561403564,-0.687221313491534,0.0329624025765582
"bivt",0.005,1000,2,0.512913086300374,4.35229857198809,4.32086735741249,-0.702583212673717,0.0314312145756084
"bivt",0.005,1000,2,0.544970154194148,4.41747861822614,4.40260119061098,-0.716256049675327,0.014877427615156
"bivt",0.005,1000,2,0.577027222087921,4.47758346074547,4.48746396437782,-0.726997014802003,-0.0098805036323526
"bivt",0.005,1000,2,0.609084289981695,4.53648384966722,4.58548816860915,-0.736265120635194,-0.0490043189419325
"bivt",0.005,1000,2,0.641141357875468,4.58435850573909,4.6134924977532,-0.746582717309204,-0.0291339920141089
"bivt",0.005,1000,2,0.673198425769241,4.606423603337,4.63124409402427,-0.755167448582029,-0.0248204906872678
"bivt",0.005,1000,2,0.705255493663015,4.61784971286821,4.723342561534,-0.763751367351449,-0.105492848665794
"bivt",0.005,1000,2,0.737312561556788,4.62683056632803,4.60183098460582,-0.76894687791438,0.0249995817222093
"bivt",0.005,1000,2,0.769369629450562,4.63310034846524,4.62126331595474,-0.773519839188819,0.0118370325104982
"bivt",0.005,1000,2,0.801426697344335,4.58537891531385,4.60469791535087,-0.776332963329605,-0.0193190000370222
"bivt",0.005,1000,2,0.833483765238108,4.51719328109106,4.59781813886122,-0.773992965437791,-0.0806248577701512
"bivt",0.005,1000,2,0.865540833131882,4.44702311827257,4.54518164926743,-0.770100355860326,-0.0981585309948612
"bivt",0.005,1000,2,0.897597901025655,4.37468083430885,4.4380581896304,-0.763548165112121,-0.0633773553215446
"bivt",0.005,1000,2,0.929654968919429,4.30790008420982,4.36046289611716,-0.754033441008183,-0.0525628119073387
"bivt",0.005,1000,2,0.961712036813202,4.24043686605933,4.26447277757499,-0.74475180639159,-0.0240359115156688
"bivt",0.005,1000,2,0.993769104706975,4.17358002894146,4.17331093501489,-0.732555195780997,0.00026909392656993
"bivt",0.005,1000,2,1.02582617260075,4.10892842979421,4.09007993046555,-0.720910942622392,0.0188484993286595
"bivt",0.005,1000,2,1.05788324049452,4.0523649345512,4.03424444953196,-0.708012008494333,0.0181204850192387
"bivt",0.005,1000,2,1.0899403083883,3.99584631424643,3.96471395884932,-0.697394461423024,0.031132355397105
"bivt",0.005,1000,2,1.12199737628207,3.94773591320004,3.90148069607203,-0.683057295227394,0.0462552171280031
"bivt",0.005,1000,2,1.15405444417584,3.91626577358364,3.84500269540055,-0.670836189934778,0.071263078183089
"bivt",0.005,1000,2,1.18611151206962,3.88940932957923,3.85615435778098,-0.6612714223311,0.0332549717982498
"bivt",0.005,1000,2,1.21816857996339,3.85484915153251,3.80868872000315,-0.6496088146785,0.0461604315293584
"bivt",0.005,1000,2,1.25022564785716,3.83216133684571,3.78344172720937,-0.640183293559325,0.0487196096363376
"bivt",0.005,1000,2,1.28228271575094,3.79672405472091,3.74550695875969,-0.630380773145966,0.0512170959612197
"bivt",0.005,1000,2,1.31433978364471,3.79350765825161,3.7126259738195,-0.622239738384413,0.0808816844321156
"bivt",0.005,1000,2,1.34639685153848,3.80973876980817,3.82275921917562,-0.614278898861215,-0.0130204493674531
"bivt",0.005,1000,2,1.37845391943226,3.79095744704742,3.79693331551145,-0.60711192704808,-0.00597586846402942
"bivt",0.005,1000,2,1.41051098732603,3.77516473564784,3.77530737189468,-0.601317937306459,-0.000142636246834194
"bivt",0.005,1000,2,1.4425680552198,3.80963005613621,3.79928849139748,-0.596424843462687,0.0103415647387242
"bivt",0.005,1000,2,1.47462512311358,3.84298782095462,3.82879119543106,-0.591601310895889,0.0141966255235682
"bivt",0.005,1000,2,1.50668219100735,3.94803695094671,3.83445497323455,-0.587149290919809,0.113581977712161
"bivt",0.005,1000,2,1.53873925890112,3.94307679025006,3.82854371798529,-0.584532889969844,0.114533072264773
"bivt",0.005,1000,2,1.5707963267949,3.94105090127579,3.82657667424803,-0.581107838720077,0.114474227027757
"bivt",0.005,1000,3,0,3.83752294262565,3.91985199756648,-0.576681537737896,-0.0823290549408351
"bivt",0.005,1000,3,0.0320570678937734,3.79825363218579,3.87050889535924,-0.57866112232144,-0.0722552631734414
"bivt",0.005,1000,3,0.0641141357875468,3.80411811967115,3.87648494466423,-0.582388259019866,-0.072366824993074
"bivt",0.005,1000,3,0.0961712036813202,3.81392231557108,3.88647927233646,-0.587331333898525,-0.0725569567653772
"bivt",0.005,1000,3,0.128228271575094,3.82772417388633,3.90054370045628,-0.592274891598946,-0.0728195265699512
"bivt",0.005,1000,3,0.160285339468867,3.84559224563455,3.9187516986115,-0.598156613196884,-0.0731594529769528
"bivt",0.005,1000,3,0.19234240736264,3.85101360165779,3.90526772298991,-0.603756175650843,-0.0542541213321206
"bivt",0.005,1000,3,0.224399475256414,3.85170272312407,3.903122253446,-0.610402108161023,-0.0514195303219327
"bivt",0.005,1000,3,0.256456543150187,3.88090522545894,3.93392229706175,-0.618155131857492,-0.0530170716028087
"bivt",0.005,1000,3,0.288513611043961,3.91466277974404,3.96932349143558,-0.627358068032659,-0.0546607116915383
"bivt",0.005,1000,3,0.320570678937734,3.94790351731714,4.00952509009964,-0.635131855093542,-0.0616215727824923
