"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate"
"bivt",0.005,3000,"0.1",TRUE,0.012,-0.00226472826901478
"bivt",0.005,3000,"0.01",TRUE,0.015,-0.00265604982225101
"bivt",0.005,3000,"0.05",TRUE,0.008,-0.00325588689970748
"bivt",0.005,3000,"0.1",TRUE,0.007,-0.00321330515567631
"bivt",0.005,3000,"0.01",TRUE,0.009,-0.00363104387106589
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.00254120012650801
"bivt",0.005,3000,"0.1",TRUE,0.009,-0.00246153111120359
"bivt",0.005,3000,"0.01",TRUE,0.011,-0.00273184369373737
"bivt",0.005,3000,"0.05",TRUE,0.0044805734078527,-0.00267970584816816
"bivt",0.005,3000,"0.1",TRUE,0.00402134848821651,-0.00255077039293499
"bivt",0.005,3000,"0.01",TRUE,0.006,-0.00281378977210016
"bivt",0.005,3000,"0.05",TRUE,0.013,-0.00255236509287055
"bivt",0.005,3000,"0.1",TRUE,0.011,-0.0023012469567861
"bivt",0.005,3000,"0.01",TRUE,0.016,-0.00268850078780823
"bivt",0.005,3000,"0.05",TRUE,0.008,-0.00289659422696536
"bivt",0.005,3000,"0.1",TRUE,0.007,-0.00279933023504529
"bivt",0.005,3000,"0.01",TRUE,0.009,-0.00316683720201507
"bivt",0.005,3000,"0.05",TRUE,0.012,-0.00375225788368269
"bivt",0.005,3000,"0.1",TRUE,0.011,-0.00356746737603864
"bivt",0.005,3000,"0.01",TRUE,0.014,-0.00403479396183245
"bivt",0.005,3000,"0.05",TRUE,0.01,-0.00348826521494565
"bivt",0.005,3000,"0.1",TRUE,0.009,-0.00341763259401707
"bivt",0.005,3000,"0.01",TRUE,0.012,-0.00365610906877142
"bivt",0.005,3000,"0.05",FALSE,0.012,-0.0016092175925581
"bivt",0.005,3000,"0.1",FALSE,0.011,-0.00118591403904805
"bivt",0.005,3000,"0.01",FALSE,0.014,-0.00203807129533932
"bivt",0.005,3000,"0.05",TRUE,0.00288205167379553,-0.00313938704945414
"bivt",0.005,3000,"0.1",TRUE,0.00263004206883257,-0.0030467624142511
"bivt",0.005,3000,"0.01",TRUE,0.006,-0.00330037004997313
"bivt",0.005,3000,"0.05",TRUE,0.007,-0.00314444917156238
"bivt",0.005,3000,"0.1",TRUE,0.006,-0.00303097939850254
"bivt",0.005,3000,"0.01",TRUE,0.008,-0.00324932821155359
"bivt",0.005,3000,"0.05",TRUE,0.011,-0.00289656893497753
"bivt",0.005,3000,"0.1",TRUE,0.01,-0.00264021046619569
"bivt",0.005,3000,"0.01",TRUE,0.014,-0.00307677551807603
"bivt",0.005,3000,"0.05",TRUE,0.00431020801812756,-0.00316720994471677
"bivt",0.005,3000,"0.1",TRUE,0.00403337745930439,-0.00290749060889455
"bivt",0.005,3000,"0.01",TRUE,0.006,-0.00337561006774496
"bivt",0.005,3000,"0.05",TRUE,0.013,-0.00226713388980338
"bivt",0.005,3000,"0.1",TRUE,0.012,-0.00209700129455625
"bivt",0.005,3000,"0.01",TRUE,0.015,-0.00273429274641984
"bivt",0.005,3000,"0.05",TRUE,0.01,-0.00213269762559027
"bivt",0.005,3000,"0.1",TRUE,0.009,-0.00208638279041842
"bivt",0.005,3000,"0.01",TRUE,0.013,-0.00278166264369783
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.00257038636400573
"bivt",0.005,3000,"0.1",TRUE,0.009,-0.00253441930185599
"bivt",0.005,3000,"0.01",TRUE,0.012,-0.00302239964394574
"bivt",0.005,3000,"0.05",TRUE,0.006,-0.0035372607086623
"bivt",0.005,3000,"0.1",TRUE,0.00485532451201758,-0.00343752697524476
"bivt",0.005,3000,"0.01",TRUE,0.008,-0.00372880058682584
"bivt",0.005,3000,"0.05",TRUE,0.016,-0.00137163860705972
"bivt",0.005,3000,"0.1",FALSE,0.014,-0.000979264591726913
"bivt",0.005,3000,"0.01",TRUE,0.018,-0.00187226617075011
"bivt",0.005,3000,"0.05",TRUE,0.008,-0.00328873588364742
"bivt",0.005,3000,"0.1",TRUE,0.007,-0.0031620031822204
"bivt",0.005,3000,"0.01",TRUE,0.009,-0.00348571560560161
"bivt",0.005,3000,"0.05",TRUE,0.008,-0.00271980816948207
"bivt",0.005,3000,"0.1",TRUE,0.007,-0.0024238418404298
"bivt",0.005,3000,"0.01",TRUE,0.01,-0.00295029012860825
"bivt",0.005,3000,"0.05",TRUE,0.008,-0.00277360546598461
"bivt",0.005,3000,"0.1",TRUE,0.007,-0.00249619200587193
"bivt",0.005,3000,"0.01",TRUE,0.01,-0.00329900452418798
"bivt",0.005,3000,"0.05",TRUE,0.013,-0.00340323315509338
"bivt",0.005,3000,"0.1",TRUE,0.012,-0.00320368828463538
"bivt",0.005,3000,"0.01",TRUE,0.016,-0.00355161470048857
"bivt",0.005,3000,"0.05",TRUE,0.011,-0.00295761263700179
"bivt",0.005,3000,"0.1",TRUE,0.01,-0.00283824808857429
"bivt",0.005,3000,"0.01",TRUE,0.013,-0.0031780358562129
"bivt",0.005,3000,"0.05",TRUE,0.00442964117159094,-0.00376845905461969
"bivt",0.005,3000,"0.1",TRUE,0.00351790815026597,-0.00360593078271235
"bivt",0.005,3000,"0.01",TRUE,0.007,-0.00391867251910357
"bivt",0.005,3000,"0.05",TRUE,0.011,-0.00252221404759866
"bivt",0.005,3000,"0.1",TRUE,0.01,-0.00231832927087673
"bivt",0.005,3000,"0.01",TRUE,0.013,-0.00289143083111425
"bivt",0.005,3000,"0.05",TRUE,0.008,-0.00289826503179369
"bivt",0.005,3000,"0.1",TRUE,0.007,-0.00278852903532393
"bivt",0.005,3000,"0.01",TRUE,0.01,-0.00304568339748107
"bivt",0.005,3000,"0.05",TRUE,0.016,-0.00162107400449675
"bivt",0.005,3000,"0.1",TRUE,0.015,-0.00144003135646455
"bivt",0.005,3000,"0.01",TRUE,0.018,-0.00219860417526546
"bivt",0.005,3000,"0.05",TRUE,0.00457924852178009,-0.00229071501463619
"bivt",0.005,3000,"0.1",TRUE,0.00411388511931131,-0.00216394600630878
"bivt",0.005,3000,"0.01",TRUE,0.007,-0.00263065888709663
"bivt",0.005,3000,"0.05",TRUE,0.008,-0.0032467876068606
"bivt",0.005,3000,"0.1",TRUE,0.007,-0.00309385271398182
"bivt",0.005,3000,"0.01",TRUE,0.011,-0.00345946452296583
"bivt",0.005,3000,"0.05",TRUE,0.0038504960553778,-0.00340714718614185
"bivt",0.005,3000,"0.1",TRUE,0.00242052092717799,-0.00331939793632325
"bivt",0.005,3000,"0.01",TRUE,0.00476154777574501,-0.00372712360920747
"bivt",0.005,3000,"0.05",TRUE,0.006,-0.00330838832563587
"bivt",0.005,3000,"0.1",TRUE,0.00455754545130855,-0.00323020732226304
"bivt",0.005,3000,"0.01",TRUE,0.007,-0.00351198095542484
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.0035294885759534
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00339252033363797
"bivt",0.005,3000,"0.01",TRUE,0.011,-0.00369823091243522
"bivt",0.005,3000,"0.05",TRUE,0.011,-0.00250611146411132
"bivt",0.005,3000,"0.1",TRUE,0.009,-0.0024230621056123
"bivt",0.005,3000,"0.01",TRUE,0.012,-0.00279965864877442
"bivt",0.005,3000,"0.05",TRUE,0.02,-0.00259156460833564
"bivt",0.005,3000,"0.1",TRUE,0.019,-0.00217112922614416
"bivt",0.005,3000,"0.01",TRUE,0.023,-0.00295854482666483
"bivt",0.005,3000,"0.05",FALSE,-0.00014622529431688,-0.00364607519539196
"bivt",0.005,3000,"0.1",FALSE,-0.000240153572080632,-0.00346022772061392
"bivt",0.005,3000,"0.01",FALSE,0.000253599790629212,-0.00382134522426213
"bivt",0.005,3000,"0.05",TRUE,0.006,-0.00354240029025021
"bivt",0.005,3000,"0.1",TRUE,0.0023294722747383,-0.00345371532217757
