"dist","p","n","sim_id","theta","true_bias","somrv_bias_est","in_sample_bias_est","xi_hat_ch","xi_hat_hill","beta_hat","rho_hat"
"bivt",0.005,1000,1,0,-0.388307422191491,-0.318522238943831,-0.201861359010848,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.0320570678937734,-0.390601394638091,-0.318685974634667,-0.201965125420315,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.0641141357875468,-0.394490391037914,-0.34726872143766,-0.220079251872041,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.0961712036813202,-0.399507699151223,-0.348764953078711,-0.221027478763384,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.128228271575094,-0.404350715029974,-0.353184056091072,-0.223828056024935,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.160285339468867,-0.409937717233353,-0.359231794750749,-0.227660770339743,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.19234240736264,-0.415177886489579,-0.361289568005575,-0.228964870509115,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.224399475256414,-0.421363652291059,-0.333966682487109,-0.211649172801025,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.256456543150187,-0.428383007223954,-0.365649526628315,-0.23172796540552,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.288513611043961,-0.436932349090396,-0.438196054888365,-0.277703847135634,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.320570678937734,-0.443805003856769,-0.460754368419947,-0.292000028907987,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.352627746831507,-0.451189700719564,-0.5170090815626,-0.327651080725891,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.384684814725281,-0.460010889690445,-0.577730571052618,-0.366132922465612,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.416741882619054,-0.470348150237043,-0.637219860324442,-0.403833865479256,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.448798950512828,-0.479738748570786,-0.693829990649687,-0.439710160582313,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.480856018406601,-0.490537585370262,-0.720891501623705,-0.456860213904227,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.512913086300374,-0.50503263945185,-0.738952501340977,-0.468306252837371,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.544970154194148,-0.517408260905157,-0.547845041998867,-0.347193166392215,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.577027222087921,-0.526999726885276,-0.451088658170347,-0.285874449063833,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.609084289981695,-0.535202126656877,-0.430943953967578,-0.273107876215651,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.641141357875468,-0.544953082450482,-0.446834273325588,-0.283178260849892,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.673198425769241,-0.553207217267621,-0.543836192201706,-0.344652584388244,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.705255493663015,-0.561543420583979,-0.426466636751353,-0.270270406088018,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.737312561556788,-0.566543695625072,-0.379328468730163,-0.240396904352031,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.769369629450562,-0.571179115597079,-0.613365398073196,-0.388716258041621,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.801426697344335,-0.574322967634718,-0.650465476764584,-0.412228187158048,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.833483765238108,-0.572297612285034,-0.86850249844546,-0.550407705351567,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.865540833131882,-0.568958059498916,-0.876419120518361,-0.555424812149855,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.897597901025655,-0.562829609450656,-0.779046936143744,-0.493715835304501,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.929654968919429,-0.554341209743792,-0.80266703702126,-0.508684917773966,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.961712036813202,-0.545990375059699,-0.729245045379795,-0.462154216925029,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,0.993769104706975,-0.534652354894845,-0.732334063089079,-0.464111861436358,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,1.02582617260075,-0.523973623752437,-0.6425416149871,-0.407206492244937,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,1.05788324049452,-0.512230903300586,-0.547511479810631,-0.346981773564966,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,1.0899403083883,-0.502625974767604,-0.57702192189319,-0.36568382075498,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,1.12199737628207,-0.4892612408082,-0.587288940446255,-0.372190475753335,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,1.15405444417584,-0.477957826643133,-0.845190813263772,-0.53563407928636,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,1.18611151206962,-0.469307865740372,-0.81343688971067,-0.515510240575412,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,1.21816857996339,-0.458501883795089,-0.786335787709373,-0.498335096702214,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,1.25022564785716,-0.449963377350488,-0.726037617856638,-0.460121530978514,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,1.28228271575094,-0.440913096185432,-0.672793091717844,-0.426378165234558,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,1.31433978364471,-0.433487387366323,-0.653043837295589,-0.413862206065282,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
"bivt",0.005,1000,1,1.34639685153848,-0.426150329364139,-0.837572826559545,-0.530806230674782,0.197198425605783,0.204276322376816,0.785941312361551,-0.739296091343551
