"dist","p","n","sim_id","theta","r_true","r_naive","r_lower","r_upper","xi_hat"
"bivt",0.005,1000,1,0,4.54076510043897,4.14382547040239,4.12803833112222,4.14382547040239,0.286992924463456
"bivt",0.005,1000,1,0.0320570678937734,4.53659951229314,4.14595559521988,4.13016034059378,4.14595559521988,0.286992924463456
"bivt",0.005,1000,1,0.0641141357875468,4.53633601327794,4.15235693306025,4.13653729062805,4.15235693306025,0.286992924463456
"bivt",0.005,1000,1,0.0961712036813202,4.53987633787882,4.16306251205603,4.14720208352705,4.16306251205603,0.286992924463456
"bivt",0.005,1000,1,0.128228271575094,4.54712212626594,4.16376742169919,4.16376742169919,4.17085585249473,0.286992924463456
"bivt",0.005,1000,1,0.160285339468867,4.5579706791512,4.18320416574187,4.18320416574187,4.19032568580516,0.286992924463456
"bivt",0.005,1000,1,0.19234240736264,4.57230999009857,4.20716664839938,4.20716664839938,4.21432896238384,0.286992924463456
"bivt",0.005,1000,1,0.224399475256414,4.59001290276698,4.2238805449389,4.2238805449389,4.25015981224848,0.286992924463456
"bivt",0.005,1000,1,0.256456543150187,4.61093024367142,4.19403170507335,4.19403170507335,4.32173654177549,0.286992924463456
"bivt",0.005,1000,1,0.288513611043961,4.634943849209,4.23177361261235,4.23177361261235,4.36062765954417,0.286992924463456
"bivt",0.005,1000,1,0.320570678937734,4.66172596695062,4.16602850110743,4.16602850110743,4.47017903495761,0.286992924463456
"bivt",0.005,1000,1,0.352627746831507,4.69108879723264,4.18221588631756,4.18221588631756,4.5391597820498,0.286992924463456
"bivt",0.005,1000,1,0.384684814725281,4.7226959784185,4.1880251689826,4.1880251689826,4.62361114258129,0.286992924463456
"bivt",0.005,1000,1,0.416741882619054,4.75615657810007,4.12909203155235,4.12909203155235,4.75679745295328,0.286992924463456
"bivt",0.005,1000,1,0.448798950512828,4.79099872305092,4.13183939218106,4.13183939218106,4.86321578216779,0.286992924463456
"bivt",0.005,1000,1,0.480856018406601,4.82666019534754,4.1783073417286,4.1783073417286,4.75982827394726,0.286992924463456
"bivt",0.005,1000,1,0.512913086300374,4.86248240415204,4.25158368970946,4.25158368970946,4.84330294548413,0.286992924463456
"bivt",0.005,1000,1,0.544970154194148,4.89771010838726,4.33200694813882,4.33200694813882,4.93491920729714,0.286992924463456
"bivt",0.005,1000,1,0.577027222087921,4.93144632361991,4.34265922717554,4.34265922717554,4.97783166806359,0.286992924463456
"bivt",0.005,1000,1,0.609084289981694,4.96288894583104,4.42689129314018,4.42689129314018,4.72867629254301,0.286992924463456
"bivt",0.005,1000,1,0.641141357875468,4.99101519587439,4.49584949898848,4.49584949898848,4.86022852930552,0.286992924463456
"bivt",0.005,1000,1,0.673198425769241,5.01490633352194,4.46336542946913,4.46336542946913,4.85716823985162,0.286992924463456
"bivt",0.005,1000,1,0.705255493663015,5.03370096816743,4.56574731860325,4.56574731860325,4.76979705876871,0.286992924463456
"bivt",0.005,1000,1,0.737312561556788,5.0466736376194,4.64303333216535,4.64303333216535,4.93825913775478,0.286992924463456
"bivt",0.005,1000,1,0.769369629450562,5.05329836743373,4.61920004782655,4.61920004782655,5.18868880188256,0.286992924463456
"bivt",0.005,1000,1,0.801426697344335,5.05329836743371,4.63772923737856,4.63772923737856,5.19758321564145,0.286992924463456
"bivt",0.005,1000,1,0.833483765238108,5.04667363761939,4.61802478968073,4.61802478968073,4.97277195051994,0.286992924463456
"bivt",0.005,1000,1,0.865540833131882,5.03370096816744,4.48964513393835,4.48964513393835,4.83453043381789,0.286992924463456
"bivt",0.005,1000,1,0.897597901025655,5.01490633352196,4.37856581597052,4.37856581597052,4.70847836163516,0.286992924463456
"bivt",0.005,1000,1,0.929654968919429,4.99101519587438,4.38376665163844,4.38376665163844,4.52588461366288,0.286992924463456
"bivt",0.005,1000,1,0.961712036813202,4.96288894583103,4.32409206251525,4.32409206251525,4.39793344293082,0.286992924463456
"bivt",0.005,1000,1,0.993769104706975,4.93144632361991,4.32570920754495,4.24729277271037,4.32570920754495,0.286992924463456
"bivt",0.005,1000,1,1.02582617260075,4.89771010838725,4.29196887765892,4.13096005925777,4.29196887765892,0.286992924463456
"bivt",0.005,1000,1,1.05788324049452,4.86248240415205,4.21228892184375,4.05426921541003,4.21228892184375,0.286992924463456
"bivt",0.005,1000,1,1.0899403083883,4.82666019534754,4.13968982198831,3.98439359645995,4.13968982198831,0.286992924463456
"bivt",0.005,1000,1,1.12199737628207,4.79099872305093,4.07366586741121,4.07366586741121,4.23104038840649,0.286992924463456
"bivt",0.005,1000,1,1.15405444417584,4.75615657810008,4.01377456128002,4.01377456128002,4.24349572582415,0.286992924463456
"bivt",0.005,1000,1,1.18611151206962,4.72269597841849,3.95962862434699,3.95962862434699,4.1862508436221,0.286992924463456
"bivt",0.005,1000,1,1.21816857996339,4.69108879723264,3.92833538764773,3.92833538764773,4.12421844617054,0.286992924463456
"bivt",0.005,1000,1,1.25022564785716,4.66172596695063,3.88451228933611,3.88451228933611,4.07821014682994,0.286992924463456
"bivt",0.005,1000,1,1.28228271575094,4.63494384920899,3.9154300646906,3.9154300646906,3.99525639448159,0.286992924463456
"bivt",0.005,1000,1,1.31433978364471,4.61093024367138,3.93925161336177,3.93925161336177,4.11137733825783,0.286992924463456
"bivt",0.005,1000,1,1.34639685153848,4.59001290276698,3.90840984467825,3.90840984467825,4.07918793750791,0.286992924463456
"bivt",0.005,1000,1,1.37845391943226,4.57230999009858,3.88200530012246,3.88200530012246,4.05162964553554,0.286992924463456
"bivt",0.005,1000,1,1.41051098732603,4.5579706791512,3.85989481759239,3.85989481759239,4.02855304476606,0.286992924463456
"bivt",0.005,1000,1,1.4425680552198,4.54712212626595,3.86442541868111,3.86442541868111,3.99630951339377,0.286992924463456
"bivt",0.005,1000,1,1.47462512311358,4.53987633787884,3.85049122445093,3.85049122445093,4.26234164889228,0.286992924463456
"bivt",0.005,1000,1,1.50668219100735,4.53633601327793,3.92944133043809,3.92944133043809,4.19788660031886,0.286992924463456
"bivt",0.005,1000,1,1.53873925890112,4.53659951229315,3.92338364274757,3.92338364274757,4.1914150732374,0.286992924463456
"bivt",0.005,1000,1,1.5707963267949,4.54076510043897,3.92136787179344,3.92136787179344,4.18926159207658,0.286992924463456
"bivt",0.005,1000,2,0,4.54076510043897,3.93612046635873,3.93612046635873,3.96273436256192,0.244302329074754
"bivt",0.005,1000,2,0.0320570678937734,4.53659951229314,3.93814382085325,3.93814382085325,3.96477139787413,0.244302329074754
"bivt",0.005,1000,2,0.0641141357875468,4.53633601327794,3.9442242981961,3.9442242981961,3.97089298808288,0.244302329074754
"bivt",0.005,1000,2,0.0961712036813202,4.53987633787882,3.95439327101856,3.95439327101856,3.98113071794402,0.244302329074754
"bivt",0.005,1000,2,0.128228271575094,4.54712212626594,3.96870346696213,3.96870346696213,3.99553767161458,0.244302329074754
"bivt",0.005,1000,2,0.160285339468867,4.5579706791512,3.98722963945357,3.98722963945357,4.01418910796315,0.244302329074754
"bivt",0.005,1000,2,0.19234240736264,4.57230999009857,3.99361055897472,3.99361055897472,4.04709271571205,0.244302329074754
"bivt",0.005,1000,2,0.224399475256414,4.59001290276698,4.00291920464935,4.00291920464935,4.0853699376142,0.244302329074754
"bivt",0.005,1000,2,0.256456543150187,4.61093024367142,4.03450675894249,4.03450675894249,4.11760812132825,0.244302329074754
"bivt",0.005,1000,2,0.288513611043961,4.634943849209,4.03706126292438,4.03706126292438,4.06892975942226,0.244302329074754
"bivt",0.005,1000,2,0.320570678937734,4.66172596695062,4.06850489766987,4.06850489766987,4.11582604246132,0.244302329074754
"bivt",0.005,1000,2,0.352627746831507,4.69108879723264,4.04099111997959,4.04099111997959,4.20645748695758,0.244302329074754
"bivt",0.005,1000,2,0.384684814725281,4.7226959784185,4.05523152901704,4.05523152901704,4.1858722464498,0.244302329074754
"bivt",0.005,1000,2,0.416741882619054,4.75615657810007,4.03424436949888,4.03424436949888,4.11694234815391,0.244302329074754
"bivt",0.005,1000,2,0.448798950512828,4.79099872305092,3.8666549087993,3.8666549087993,4.31551402762628,0.244302329074754
"bivt",0.005,1000,2,0.480856018406601,4.82666019534754,3.86951303177409,3.86951303177409,4.42146736711332,0.244302329074754
"bivt",0.005,1000,2,0.512913086300374,4.86248240415204,3.93737395253524,3.93737395253524,4.49900809231153,0.244302329074754
"bivt",0.005,1000,2,0.544970154194148,4.89771010838726,3.9651295606714,3.9651295606714,4.61224232136843,0.244302329074754
"bivt",0.005,1000,2,0.577027222087921,4.93144632361991,3.87218960296411,3.87218960296411,4.8106337046626,0.244302329074754
"bivt",0.005,1000,2,0.609084289981695,4.96288894583104,3.89746465391471,3.89746465391471,4.67056888962983,0.244302329074754
"bivt",0.005,1000,2,0.641141357875468,4.99101519587439,3.9734257964636,3.9734257964636,4.78908394308264,0.244302329074754
"bivt",0.005,1000,2,0.673198425769241,5.01490633352194,4.0729461913139,4.0729461913139,4.85518812770402,0.244302329074754
"bivt",0.005,1000,2,0.705255493663015,5.03370096816743,4.13600613375225,4.13600613375225,4.81338927533264,0.244302329074754
"bivt",0.005,1000,2,0.737312561556788,5.0466736376194,4.2166219006685,4.2166219006685,4.74120530867963,0.244302329074754
"bivt",0.005,1000,2,0.769369629450562,5.05329836743373,4.26428645982745,4.26428645982745,4.51037937164146,0.244302329074754
"bivt",0.005,1000,2,0.801426697344335,5.05329836743371,4.34480150113016,4.34480150113016,4.36545217411332,0.244302329074754
"bivt",0.005,1000,2,0.833483765238108,5.04667363761939,4.45006979804631,4.18958587948151,4.45006979804631,0.244302329074754
"bivt",0.005,1000,2,0.865540833131882,5.03370096816744,4.36650218746151,4.18354122504257,4.36650218746151,0.244302329074754
"bivt",0.005,1000,2,0.897597901025655,5.01490633352196,4.3541880916433,4.04282252778334,4.3541880916433,0.244302329074754
"bivt",0.005,1000,2,0.929654968919429,4.99101519587438,4.24779569219128,3.94403818952404,4.24779569219128,0.244302329074754
"bivt",0.005,1000,2,0.961712036813202,4.96288894583103,4.2326037159158,4.02909238499894,4.2326037159158,0.244302329074754
"bivt",0.005,1000,2,0.993769104706975,4.93144632361991,4.14212313984115,4.10932065244596,4.14212313984115,0.244302329074754
"bivt",0.005,1000,2,1.02582617260075,4.89771010838725,4.05951413340372,4.05951413340372,4.12491096948569,0.244302329074754
"bivt",0.005,1000,2,1.05788324049452,4.86248240415205,4.09460211037016,4.09460211037016,4.10238068234414,0.244302329074754
"bivt",0.005,1000,2,1.0899403083883,4.82666019534754,4.08673975358273,3.99392163857683,4.08673975358273,0.244302329074754
"bivt",0.005,1000,2,1.12199737628207,4.79099872305093,4.04621607389764,4.04621607389764,4.41341277288119,0.244302329074754
"bivt",0.005,1000,2,1.15405444417584,4.75615657810008,3.98672833645374,3.98672833645374,4.38801357685299,0.244302329074754
"bivt",0.005,1000,2,1.18611151206962,4.72269597841849,3.93294725388943,3.93294725388943,4.32881914458828,0.244302329074754
"bivt",0.005,1000,2,1.21816857996339,4.69108879723264,3.88453636769766,3.88453636769766,4.41554971855981,0.244302329074754
"bivt",0.005,1000,2,1.25022564785716,4.66172596695063,3.88310355528378,3.88310355528378,4.34106410724991,0.244302329074754
"bivt",0.005,1000,2,1.28228271575094,4.63494384920899,3.8769435894136,3.8769435894136,4.27780637189687,0.244302329074754
"bivt",0.005,1000,2,1.31433978364471,4.61093024367138,3.84236630341478,3.84236630341478,4.23965391211578,0.244302329074754
"bivt",0.005,1000,2,1.34639685153848,4.59001290276698,3.81228308346373,3.81228308346373,4.20646018952844,0.244302329074754
"bivt",0.005,1000,2,1.37845391943226,4.57230999009858,3.78652795477024,3.78652795477024,4.17804206811577,0.244302329074754
"bivt",0.005,1000,2,1.41051098732603,4.5579706791512,3.76496127628298,3.76496127628298,4.15424546841662,0.244302329074754
"bivt",0.005,1000,2,1.4425680552198,4.54712212626595,3.91138341421879,3.91138341421879,4.03625627207721,0.244302329074754
"bivt",0.005,1000,2,1.47462512311358,4.53987633787884,3.89727990068249,3.89727990068249,4.02170249686757,0.244302329074754
"bivt",0.005,1000,2,1.50668219100735,4.53633601327793,3.92306474395671,3.92306474395671,3.98980250484155,0.244302329074754
"bivt",0.005,1000,2,1.53873925890112,4.53659951229315,3.91701688651079,3.91701688651079,3.98365176342852,0.244302329074754
"bivt",0.005,1000,2,1.5707963267949,4.54076510043897,4.0288112575387,3.94515417853757,4.0288112575387,0.244302329074754
"bivt",0.005,1000,3,0,4.54076510043897,3.64250591981924,3.64250591981924,4.22022833245081,0.25842190200291
"bivt",0.005,1000,3,0.0320570678937734,4.53659951229314,3.64437834237011,3.64437834237011,4.22239773199976,0.25842190200291
