"dist","p","n","sim_id","theta","true_bias","somrv_bias_est","in_sample_bias_est","xi_hat"
"bivt",0.005,1000,1,0,-0.240621589481945,-1.24289661405215,-0.788531522804856,0.19563505399488
"bivt",0.005,1000,1,0.0320570678937734,-0.243146400089052,-1.24353552245746,-0.788936865785176,0.19563505399488
"bivt",0.005,1000,1,0.0641141357875468,-0.247179456014904,-1.25239089412353,-0.794554983676801,0.19563505399488
"bivt",0.005,1000,1,0.0961712036813202,-0.252252029565301,-1.25561979998754,-0.796603500045063,0.19563505399488
"bivt",0.005,1000,1,0.128228271575094,-0.257007070137223,-1.2722988556466,-0.807185201699966,0.19563505399488
"bivt",0.005,1000,1,0.160285339468867,-0.262400013103388,-0.662943724675241,-0.420591720052876,0.19563505399488
"bivt",0.005,1000,1,0.19234240736264,-0.267317180208293,-0.749432403977218,-0.475462776280974,0.19563505399488
"bivt",0.005,1000,1,0.224399475256414,-0.273107481925828,-0.807109509187611,-0.51205489109433,0.19563505399488
"bivt",0.005,1000,1,0.256456543150187,-0.279637589157356,-0.827129007733553,-0.524755871606904,0.19563505399488
"bivt",0.005,1000,1,0.288513611043961,-0.287649748865635,-0.834732706121213,-0.529579889792152,0.19563505399488
"bivt",0.005,1000,1,0.320570678937734,-0.29380482715718,-0.836666815400069,-0.530806947712887,0.19563505399488
"bivt",0.005,1000,1,0.352627746831507,-0.300385495150982,-0.84610566624526,-0.536795242593039,0.19563505399488
"bivt",0.005,1000,1,0.384684814725281,-0.308411391649977,-0.878556593745325,-0.557383100817731,0.19563505399488
"bivt",0.005,1000,1,0.416741882619054,-0.317917870671534,-0.941826025636606,-0.59752315825467,0.19563505399488
"bivt",0.005,1000,1,0.448798950512828,-0.326391063705024,-1.02564132008185,-0.650698137586032,0.19563505399488
"bivt",0.005,1000,1,0.480856018406601,-0.336320463855126,-0.956622097841028,-0.60691023777116,0.19563505399488
"bivt",0.005,1000,1,0.512913086300374,-0.350065133418356,-0.8690781616568,-0.551369694389501,0.19563505399488
"bivt",0.005,1000,1,0.544970154194148,-0.361587943404788,-0.89748822457758,-0.569393904870587,0.19563505399488
"bivt",0.005,1000,1,0.577027222087921,-0.370324469400643,-0.728658322582479,-0.462283065392826,0.19563505399488
