"dist","n","theta","true_bias","somrv_bias_correction"
"bivt",5000,0.801426697344335,-0.905624726121139,-0.906580971112788
"bivt",5000,0.833483765238108,-0.90211057388518,-0.903425037002325
"bivt",5000,0.865540833131882,-0.896869809533659,-0.898596369515264
"bivt",5000,0.897597901025655,-0.889001129289098,-0.89076588479656
"bivt",5000,0.929654968919429,-0.879394523597817,-0.880626368998017
"bivt",5000,0.961712036813202,-0.867994440433992,-0.868658066809718
"bivt",5000,0.993769104706975,-0.854199397785789,-0.857583095071034
"bivt",5000,1.02582617260075,-0.839458979757399,-0.840840070786922
"bivt",5000,1.05788324049452,-0.82492657052178,-0.8258043996511
"bivt",5000,1.0899403083883,-0.810356385681322,-0.808034097063458
"bivt",5000,1.12199737628207,-0.79702228096911,-0.792366634337722
"bivt",5000,1.15405444417584,-0.782761430089345,-0.778513353019125
"bivt",5000,1.18611151206962,-0.769525310014541,-0.765354070251991
"bivt",5000,1.21816857996339,-0.756479576217708,-0.752926354904897
"bivt",5000,1.25022564785716,-0.745738025592087,-0.74214056237151
"bivt",5000,1.28228271575094,-0.735012175574338,-0.731008716973078
"bivt",5000,1.31433978364471,-0.725850415480513,-0.721081737128009
"bivt",5000,1.34639685153848,-0.716569342546514,-0.711506402103332
"bivt",5000,1.37845391943226,-0.7087385775385,-0.704305243654344
"bivt",5000,1.41051098732603,-0.702043461723029,-0.695259031145376
"bivt",5000,1.4425680552198,-0.695350966827875,-0.689096756483989
"bivt",5000,1.47462512311358,-0.690179873456878,-0.68377498303792
"bivt",5000,1.50668219100735,-0.68568009913488,-0.678775340159305
"bivt",5000,1.53873925890112,-0.68291852545058,-0.676055977164832
"bivt",5000,1.5707963267949,-0.680575693820591,-0.673220445464006
"bivt",10000,0,-0.729588362235472,-0.745984565956897
"bivt",10000,0.0320570678937734,-0.731874547199146,-0.748978161479334
"bivt",10000,0.0641141357875468,-0.735651996905156,-0.751784374410616
"bivt",10000,0.0961712036813202,-0.740055682353601,-0.755131234637459
"bivt",10000,0.128228271575094,-0.744957390733523,-0.760514358392983
"bivt",10000,0.160285339468867,-0.750364731541641,-0.767759410778456
"bivt",10000,0.19234240736264,-0.75799290592335,-0.775847042693546
"bivt",10000,0.224399475256414,-0.766313719117333,-0.783578130719646
"bivt",10000,0.256456543150187,-0.775126920450398,-0.792831721176919
"bivt",10000,0.288513611043961,-0.785775636033552,-0.803325003395498
"bivt",10000,0.320570678937734,-0.796020089340207,-0.813524492512628
"bivt",10000,0.352627746831507,-0.808290870785576,-0.825677011097163
