"dist","p","n","sim_id","theta","true_bias","somrv_bias_est","in_sample_bias_est"
"bivt",0.005,1000,1,0,-0.576681537737896,-0.221929989074126,-0.135592156218847
"bivt",0.005,1000,1,0.0320570678937734,-0.57866112232144,-0.286473032251045,-0.175025900300912
"bivt",0.005,1000,1,0.0641141357875468,-0.582388259019866,-0.286915345396827,-0.175296139548031
"bivt",0.005,1000,1,0.0961712036813202,-0.587331333898525,-0.287655068629864,-0.175748086887781
"bivt",0.005,1000,1,0.128228271575094,-0.592274891598946,-0.288696037525502,-0.176384085734557
"bivt",0.005,1000,1,0.160285339468867,-0.598156613196884,-0.330518145415828,-0.201936061878586
"bivt",0.005,1000,1,0.19234240736264,-0.603756175650843,-0.332679848438462,-0.203256793588467
"bivt",0.005,1000,1,0.224399475256414,-0.610402108161023,-0.333373245150789,-0.203680436899278
"bivt",0.005,1000,1,0.256456543150187,-0.618155131857492,-0.413070637617864,-0.252373005824791
"bivt",0.005,1000,1,0.288513611043961,-0.627358068032659,-0.464259849393538,-0.283647984158109
"bivt",0.005,1000,1,0.320570678937734,-0.635131855093542,-0.509194630799413,-0.311101704700627
"bivt",0.005,1000,1,0.352627746831507,-0.64354109839526,-0.549022654184797,-0.335435358711466
"bivt",0.005,1000,1,0.384684814725281,-0.653495832530178,-0.589888184407627,-0.36040289636177
"bivt",0.005,1000,1,0.416741882619054,-0.664861518336403,-0.637389217196322,-0.389424514779866
"bivt",0.005,1000,1,0.448798950512828,-0.675306208300416,-0.691518973901713,-0.422496072426967
"bivt",0.005,1000,1,0.480856018406601,-0.687221313491534,-0.748547223424404,-0.457338516886266
"bivt",0.005,1000,1,0.512913086300374,-0.702583212673717,-0.793641458222571,-0.484889658373865
"bivt",0.005,1000,1,0.544970154194148,-0.716256049675327,-0.831661263546769,-0.508118548729944
"bivt",0.005,1000,1,0.577027222087921,-0.726997014802003,-0.882845333532305,-0.539390385593223
"bivt",0.005,1000,1,0.609084289981695,-0.736265120635194,-0.876720436941279,-0.535648268816399
"bivt",0.005,1000,1,0.641141357875468,-0.746582717309204,-0.9639164484784,-0.588922255208804
"bivt",0.005,1000,1,0.673198425769241,-0.755167448582029,-1.03470398899885,-0.632171188318928
"bivt",0.005,1000,1,0.705255493663015,-0.763751367351449,-1.12672202208746,-0.688391276327555
"bivt",0.005,1000,1,0.737312561556788,-0.76894687791438,-1.06726747119096,-0.652066438991638
"bivt",0.005,1000,1,0.769369629450562,-0.773519839188819,-1.19132138814715,-0.727859431897455
"bivt",0.005,1000,1,0.801426697344335,-0.776332963329605,-1.38077261919223,-0.84360810120928
"bivt",0.005,1000,1,0.833483765238108,-0.773992965437791,-1.33971675303766,-0.818524274365711
"bivt",0.005,1000,1,0.865540833131882,-0.770100355860326,-1.19948451734223,-0.732846843890184
"bivt",0.005,1000,1,0.897597901025655,-0.763548165112121,-1.09551727098249,-0.669326167081858
"bivt",0.005,1000,1,0.929654968919429,-0.754033441008183,-1.02877576172475,-0.628549230232035
"bivt",0.005,1000,1,0.961712036813202,-0.74475180639159,-0.968287286454672,-0.591592698027994
"bivt",0.005,1000,1,0.993769104706975,-0.732555195780997,-0.95556660756258,-0.583820768300326
"bivt",0.005,1000,1,1.02582617260075,-0.720910942622392,-0.865844567574282,-0.529003458962724
"bivt",0.005,1000,1,1.05788324049452,-0.708012008494333,-0.746809981009231,-0.456277117091084
"bivt",0.005,1000,1,1.0899403083883,-0.697394461423024,-0.680008110121656,-0.41546330120758
"bivt",0.005,1000,1,1.12199737628207,-0.683057295227394,-0.653041136113584,-0.398987338820943
"bivt",0.005,1000,1,1.15405444417584,-0.670836189934778,-0.611320977524693,-0.373497650453633
"bivt",0.005,1000,1,1.18611151206962,-0.6612714223311,-0.548783628384306,-0.335289321558867
"bivt",0.005,1000,1,1.21816857996339,-0.6496088146785,-0.500035897402917,-0.305506010244708
"bivt",0.005,1000,1,1.25022564785716,-0.640183293559325,-0.479079918610527,-0.292702574521618
"bivt",0.005,1000,1,1.28228271575094,-0.630380773145966,-0.432985431018653,-0.264540310428965
"bivt",0.005,1000,1,1.31433978364471,-0.622239738384413,-0.574006057867449,-0.350699422793789
"bivt",0.005,1000,1,1.34639685153848,-0.614278898861215,-0.491196777458247,-0.30010558943013
"bivt",0.005,1000,1,1.37845391943226,-0.60711192704808,-0.469420820871155,-0.286801173385728
"bivt",0.005,1000,1,1.41051098732603,-0.601317937306459,-0.465653638908532,-0.284499545168146
"bivt",0.005,1000,1,1.4425680552198,-0.596424843462687,-0.434063649979681,-0.26519906787951
"bivt",0.005,1000,1,1.47462512311358,-0.591601310895889,-0.387173549210617,-0.23655070947098
"bivt",0.005,1000,1,1.50668219100735,-0.587149290919809,-0.386177907899887,-0.235942404335178
"bivt",0.005,1000,1,1.53873925890112,-0.584532889969844,-0.385582570048444,-0.235578671865796
"bivt",0.005,1000,1,1.5707963267949,-0.581107838720077,-0.385384463970656,-0.235457635360728
