date,temp,relHum
04/01/73,98.47392272949219,19.02324867248535
04/02/73,83.92840576171875,29.172033309936523
04/03/73,97.717437744140625,28.747066497802734
04/04/73,93.54700469970703,32.06398391723633
04/05/73,95.9072036743164,27.312665939331055
04/06/73,88.34809875488281,55.23151397705078
04/07/73,93.43846893310547,23.141090393066406
04/08/73,89.61302947998047,51.631141662597656
04/09/73,95.87825775146484,35.86541748046875
04/10/73,94.64546203613281,47.630306243896484
04/11/73,107.16636657714844,14.77752685546875
04/12/73,103.60028076171875,24.513086318969727
04/13/73,92.33919525146484,33.974632263183594
04/14/73,92.78441619873047,7.62795352935791
04/15/73,95.33336639404297,24.333173751831055
04/16/73,99.83162689208984,18.405397415161133
04/17/73,99.0450439453125,12.681281089782715
04/18/73,99.48638916015625,15.270687103271484
04/19/73,89.40330505371094,40.7876091003418
04/20/73,91.5328140258789,37.4630126953125
04/21/73,89.8470458984375,58.46490478515625
04/22/73,97.42194366455078,51.12306594848633
04/23/73,93.18451690673828,39.376487731933594
04/24/73,89.34253692626953,55.74274444580078
04/25/73,90.667877197265625,55.03275680541992
04/26/73,89.71337127685547,50.05256652832031
04/27/73,93.706298828125,41.16328048706055
04/28/73,91.779266357421875,50.547119140625
04/29/73,90.14356994628906,66.78399658203125
04/30/73,90.3612060546875,62.44272232055664
05/01/73,92.74269104003906,53.91017532348633
05/02/73,91.55757141113281,63.36305618286133
05/03/73,91.746490478515625,54.44437026977539
05/04/73,91.43816375732422,55.51856994628906
05/05/73,98.10980224609375,46.77627182006836
05/06/73,90.12522888183594,65.28857421875
05/07/73,97.944488525390625,54.963375091552734
05/08/73,93.84477233886719,63.563785552978516
05/09/73,106.20550537109375,17.84773826599121
05/10/73,108.38381958007812,21.4188175201416
05/11/73,90.31391143798828,71.13716888427734
05/12/73,91.64356231689453,59.535945892333984
05/13/73,90.80645751953125,62.74784851074219
05/14/73,90.38390350341797,62.47452926635742
05/16/73,84.22150421142578,81.13163757324219
05/17/73,87.03887939453125,70.29890441894531
05/18/73,89.899871826171875,66.23674774169922
05/19/73,91.96163177490234,83.79548645019531
05/20/73,89.33824157714844,71.9324951171875
05/21/73,83.91619873046875,75.69935607910156
05/22/73,90.17134857177734,61.4072151184082
05/23/73,89.88214111328125,55.998268127441406
05/24/73,94.8487777709961,49.12000274658203
05/25/73,97.224884033203125,37.476261138916016
05/26/73,92.29737854003906,56.65623092651367
05/27/73,93.40579986572266,52.38376998901367
05/28/73,94.06681060791016,55.63139343261719
05/29/73,89.42530059814453,62.260650634765625
05/30/73,89.18350982666016,70.9304428100586
05/31/73,91.80305480957031,54.82394790649414
06/01/73,84.133514404296875,76.08109283447266
06/02/73,97.42402648925781,46.41896438598633
06/04/73,84.05248260498047,84.1225357055664
06/05/73,93.94671630859375,52.25333023071289
06/06/73,93.90437316894531,47.53528594970703
06/07/73,91.57185363769531,59.69626998901367
06/08/73,98.5743408203125,45.88713455200195
06/09/73,95.84874725341797,49.218223571777344
06/10/73,93.618408203125,52.824581146240234
06/11/73,95.82273864746094,47.912620544433594
06/12/73,91.604827880859375,57.9826774597168
06/13/73,93.39008331298828,54.60077667236328
06/14/73,94.011474609375,59.46236038208008
06/15/73,85.9169921875,96.67919921875
06/16/73,94.41516876220703,58.54191207885742
06/17/73,91.9097671508789,59.22560501098633
06/18/73,91.734954833984375,69.682525634765625
06/19/73,88.40851593017578,72.77061462402344
06/20/73,86.26280212402344,94.757659912109375
06/21/73,90.26583099365234,60.00102996826172
06/22/73,89.329742431640625,71.66166687011719
06/23/73,92.28545379638672,58.37416458129883
06/24/73,89.86907196044922,67.157012939453125
06/25/73,89.51995849609375,72.3592758178711
06/26/73,93.83850860595703,56.49000930786133
06/27/73,87.30769348144531,77.75071716308594
06/28/73,87.87745666503906,64.2779541015625
06/29/73,87.38441467285156,63.19449234008789
06/30/73,88.17382049560547,68.75164031982422
07/01/73,90.36997985839844,60.3512077331543
07/02/73,92.171142578125,63.152584075927734
07/03/73,87.99483489990234,76.4262466430664
07/04/73,86.44515228271484,75.16166687011719
07/06/73,93.9877700805664,59.49380111694336
07/07/73,90.97309875488281,73.32301330566406
07/09/73,102.97389221191406,44.23208999633789
07/10/73,95.03410339355469,72.66211700439453
07/11/73,84.95059967041016,82.4985122680664
07/12/73,87.9874267578125,73.3181381225586
07/13/73,88.35623931884766,74.843048095703125
07/14/73,81.66902923583984,85.422210693359375
07/15/73,82.4046630859375,78.90206146240234
07/17/73,90.02852630615234,59.55622863769531
07/18/73,85.97100830078125,78.82106018066406
07/19/73,84.99848175048828,81.58696746826172
07/20/73,88.3918685913086,87.41474151611328
07/21/73,88.4456558227539,65.13398742675781
07/22/73,86.16059112548828,74.90846252441406
07/23/73,86.873931884765625,71.41535186767578
07/24/73,99.72776794433594,48.74367904663086
07/26/73,86.7878646850586,68.243133544921875
07/27/73,84.64752960205078,84.38085174560547
07/28/73,88.288360595703125,71.87635040283203
07/29/73,87.81568145751953,68.49522399902344
07/30/73,86.10408782958984,75.8287582397461
07/31/73,87.3118896484375,72.44050598144531
08/01/73,84.63423919677734,68.5240707397461
08/02/73,89.04373931884766,63.8147087097168
08/03/73,90.27821350097656,60.94786834716797
08/04/73,89.755126953125,69.056488037109375
08/05/73,87.70954132080078,71.633941650390625
08/06/73,83.28520965576172,88.61958312988281
08/07/73,88.945343017578125,64.7319564819336
08/08/73,88.14881896972656,71.9210205078125
08/09/73,84.80815887451172,74.50081634521484
08/10/73,89.68363952636719,63.43516540527344
08/11/73,86.49766540527344,68.4568862915039
