"dist","p","n","alpha","is_covered","c_plus_raw","c_minus_raw","xi_hat","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"bivt",0.005,1000,"0.05",FALSE,0.00582910435223721,-0.00237397700721137,0.25,FALSE,1.39759988225589,1.53663634398162,0.350358180820317,0.350358180820317
"bivt",0.005,1000,"0.1",FALSE,0.00504202921768394,-0.00215015765996727,0.25,FALSE,1.24013514896733,1.36350665562188,0.310884037899465,0.310884037899465
"bivt",0.005,1000,"0.01",FALSE,0.00705014989783157,-0.0026254118167846,0.25,FALSE,1.60366574742405,1.76320211698404,0.40201592819573,0.40201592819573
"bivt",0.005,1000,"0.05",TRUE,0.0101269206264587,-0.00313059490049491,0.25,FALSE,2.3341346796055,2.51949420527915,0.520604458041862,0.520604458041862
"bivt",0.005,1000,"0.1",TRUE,0.00841333872462458,-0.0028741262612821,0.25,FALSE,2.0490496586076,2.21176986328124,0.457019209877198,0.457019209877198
"bivt",0.005,1000,"0.01",TRUE,0.0122232315724381,-0.00345274175347744,0.25,FALSE,2.72028951980617,2.9363145758974,0.606732277939936,0.606732277939936
"bivt",0.005,1000,"0.05",TRUE,0.0060286393233775,-0.00289935730215669,0.25,FALSE,1.96066032923343,2.10206405451032,0.421530806442016,0.421530806442016
"bivt",0.005,1000,"0.1",TRUE,0.00530358387518265,-0.00264850073794587,0.25,FALSE,1.73455985686891,1.8596571120232,0.372920492339318,0.372920492339318
"bivt",0.005,1000,"0.01",TRUE,0.008105196055815,-0.00330342230284772,0.25,FALSE,2.43870952460368,2.61459037785787,0.524308661350809,0.524308661350809
"bivt",0.005,1000,"0.05",TRUE,0.00585976507631053,-0.00271018716724251,0.25,FALSE,1.76887047485708,1.9872403676718,0.391870314515138,0.391870314515138
"bivt",0.005,1000,"0.1",TRUE,0.00529099290711382,-0.00239883582198937,0.25,FALSE,1.54639606797083,1.73730113898185,0.342583994777607,0.342583994777607
"bivt",0.005,1000,"0.01",TRUE,0.00898837264437785,-0.00299933048873756,0.25,FALSE,2.18524390766486,2.45501576754587,0.484112448910714,0.484112448910714
"bivt",0.005,1000,"0.05",TRUE,0.00448019453640493,-0.00267006066388033,0.25,FALSE,1.44789538138351,1.58556803373877,0.358143661478317,0.358143661478317
"bivt",0.005,1000,"0.1",FALSE,0.00421619573690554,-0.00247457894947511,0.25,FALSE,1.32591537734689,1.45198960145523,0.327971339752234,0.327971339752234
"bivt",0.005,1000,"0.01",TRUE,0.00625803916251095,-0.00291355927971333,0.25,FALSE,1.7297086584305,1.89417743281146,0.427851487190402,0.427851487190402
"bivt",0.005,1000,"0.05",FALSE,0.00751653179406051,-0.00264370898931218,0.25,FALSE,1.5935230368749,1.73165940484526,0.411930856132548,0.411930856132548
"bivt",0.005,1000,"0.1",FALSE,0.00600398856817729,-0.00240264380970097,0.25,FALSE,1.38056660523131,1.50024260123186,0.356880930166048,0.356880930166048
"bivt",0.005,1000,"0.01",FALSE,0.00935993473412824,-0.00309813085523961,0.25,FALSE,1.95426536070222,2.12367308982242,0.505183912949886,0.505183912949887
"bivt",0.005,1000,"0.05",FALSE,0.00503081825185383,-0.00289419139658292,0.25,FALSE,1.50937464697997,1.65090309731528,0.401081716477721,0.401081716477721
"bivt",0.005,1000,"0.1",FALSE,0.00419075668163003,-0.00264672331642489,0.25,FALSE,1.31149657292716,1.43447073176694,0.348500153806581,0.348500153806582
"bivt",0.005,1000,"0.01",FALSE,0.00645234593671322,-0.00326774170070523,0.25,FALSE,1.84613858560283,2.01924413871874,0.490569014294013,0.490569014294013
"bivt",0.005,1000,"0.05",FALSE,0.00853240440723052,-0.00265782964776628,0.25,FALSE,1.6631671682677,1.82407952121051,0.429105539338079,0.429105539338079
"bivt",0.005,1000,"0.1",FALSE,0.0070945393851315,-0.00244873784475599,0.25,FALSE,1.4780104529424,1.62100879020801,0.381334170525836,0.381334170525836
"bivt",0.005,1000,"0.01",FALSE,0.0126335340124792,-0.00306980883630243,0.25,FALSE,2.08883259001185,2.29092831037923,0.538929370556045,0.538929370556045
"bivt",0.005,1000,"0.05",FALSE,0.00551333697582424,-0.00266602666863541,0.25,FALSE,1.48062881687234,1.58803866113665,0.379375515413306,0.379375515413306
"bivt",0.005,1000,"0.1",FALSE,0.00458768499686036,-0.0024881791456441,0.25,FALSE,1.31919008739789,1.41488861779779,0.338010724654056,0.338010724654057
"bivt",0.005,1000,"0.01",TRUE,0.00788971139513799,-0.00305993303010856,0.25,FALSE,1.86493182367946,2.00022031358479,0.477843915880015,0.477843915880015
"bivt",0.005,1000,"0.05",FALSE,0.00865885865121243,-0.00307748808183279,0.25,FALSE,1.88213091912064,2.02265642961056,0.492079180457738,0.492079180457738
"bivt",0.005,1000,"0.1",FALSE,0.00705501991502546,-0.00284111794534385,0.25,FALSE,1.64897430586998,1.77209164790132,0.431120873040797,0.431120873040798
"bivt",0.005,1000,"0.01",FALSE,0.0121508967294423,-0.0034071074115254,0.25,FALSE,2.28057610751146,2.45085072468257,0.596251839101639,0.596251839101639
"bivt",0.005,1000,"0.05",TRUE,0.00548799139774254,-0.00283760750127253,0.25,FALSE,1.87793771913439,2.05651299571928,0.402190486165741,0.402190486165741
"bivt",0.005,1000,"0.1",TRUE,0.00505604978570146,-0.00257261848790498,0.25,FALSE,1.67291233693928,1.83199151205107,0.358281011798628,0.358281011798628
"bivt",0.005,1000,"0.01",TRUE,0.00699493892986938,-0.00320341041469939,0.25,FALSE,2.27904256816036,2.49575937022001,0.488093523625125,0.488093523625126
"bivt",0.005,1000,"0.05",TRUE,0.00570751792086485,-0.00293208100363139,0.25,FALSE,1.67886883075858,1.85439177254275,0.420331555036442,0.420331555036442
"bivt",0.005,1000,"0.1",FALSE,0.00408914000133306,-0.00258615344258278,0.25,FALSE,1.35187583698852,1.49321220555279,0.338463650266723,0.338463650266724
"bivt",0.005,1000,"0.01",TRUE,0.00695154934408148,-0.00325561918387006,0.25,FALSE,1.98478669890193,2.19229284460121,0.496922966392878,0.496922966392878
"bivt",0.005,1000,"0.05",TRUE,0.00643850106351169,-0.00265565859814694,0.25,FALSE,1.76583061256135,1.93807664757339,0.395362210412395,0.395362210412395
"bivt",0.005,1000,"0.1",TRUE,0.00542555657899992,-0.00248782823122099,0.25,FALSE,1.58816331648094,1.74307898747988,0.355583233653997,0.355583233653997
"bivt",0.005,1000,"0.01",TRUE,0.00893391861503938,-0.00301381456482734,0.25,FALSE,2.16906224289608,2.38064107065875,0.485644113751972,0.485644113751972
"bivt",0.005,1000,"0.05",FALSE,0.00680613608322198,-0.00255280201707522,0.25,FALSE,1.51808672104082,1.63906391255024,0.388864096280307,0.388864096280307
"bivt",0.005,1000,"0.1",FALSE,0.00613366143791003,-0.00233691853002108,0.25,FALSE,1.37396245875108,1.4834543060845,0.351946079522386,0.351946079522386
"bivt",0.005,1000,"0.01",FALSE,0.0103567457808811,-0.00285281614138979,0.25,FALSE,1.87357537805433,2.02288166219257,0.479923963566862,0.479923963566862
"bivt",0.005,1000,"0.05",FALSE,0.00626188554143358,-0.00249946448986669,0.25,FALSE,1.42676107247079,1.49308143373006,0.37286237271011,0.37286237271011
"bivt",0.005,1000,"0.1",FALSE,0.00485504094654539,-0.00233451741893958,0.25,FALSE,1.24871173287708,1.30675579843999,0.326331877519762,0.326331877519762
"bivt",0.005,1000,"0.01",FALSE,0.00831671995575118,-0.00287945307731106,0.25,FALSE,1.74635242334847,1.82752840006748,0.456382726387491,0.456382726387491
"bivt",0.005,1000,"0.05",TRUE,0.0094517185886929,-0.00309321700457295,0.25,FALSE,2.23389299469245,2.39389242317347,0.505585334633331,0.505585334633331
"bivt",0.005,1000,"0.1",TRUE,0.00811038997616009,-0.00285737100449314,0.25,FALSE,1.98880448576312,2.13124979618695,0.450115732420411,0.450115732420411
"bivt",0.005,1000,"0.01",TRUE,0.0154943124200817,-0.00354474080032906,0.25,FALSE,2.91026032524586,3.11870360783668,0.658664020123357,0.658664020123357
"bivt",0.005,1000,"0.05",FALSE,0.0071541945912254,-0.00265109756337921,0.25,FALSE,1.68598182460732,1.81941602896194,0.407018833753635,0.407018833753635
"bivt",0.005,1000,"0.1",FALSE,0.0060727505256179,-0.00253988548194615,0.25,FALSE,1.55025891161632,1.67295155361047,0.374253485424861,0.374253485424861
"bivt",0.005,1000,"0.01",TRUE,0.00980721714784164,-0.00298159775572535,0.25,FALSE,2.03907631887736,2.20045559489128,0.492260624124712,0.492260624124712
