"dist","p","n","alpha","is_covered","c_plus_raw","c_minus_raw","xi_hat"
"bivt",0.005,1000,"0.05",TRUE,0.00653546712366496,-0.00279348573555874,0.293912295203783
"bivt",0.005,1000,"0.1",TRUE,0.00559992411273024,-0.00261225967714248,0.293912295203783
"bivt",0.005,1000,"0.01",TRUE,0.00730279122990274,-0.0031578246284868,0.293912295203783
"bivt",0.005,1000,"0.05",FALSE,0.00738490380279538,-0.00269505164032414,0.22762799631237
"bivt",0.005,1000,"0.1",FALSE,0.00576342485106259,-0.0025757535464537,0.22762799631237
"bivt",0.005,1000,"0.01",TRUE,0.00955359396654276,-0.00308471592291619,0.22762799631237
"bivt",0.005,1000,"0.05",TRUE,0.00902237757718274,-0.0031498523599644,0.222758700268531
"bivt",0.005,1000,"0.1",TRUE,0.00687717240196598,-0.00295846413750513,0.222758700268531
"bivt",0.005,1000,"0.01",TRUE,0.013337482559237,-0.00354743754478223,0.222758700268531
"bivt",0.005,1000,"0.05",TRUE,0.00483234626989752,-0.00220669837035151,0.34319339414921
"bivt",0.005,1000,"0.1",TRUE,0.00381300079311709,-0.00208331277798717,0.34319339414921
"bivt",0.005,1000,"0.01",TRUE,0.00712072757899762,-0.00258582250890578,0.34319339414921
"bivt",0.005,1000,"0.05",TRUE,0.00391375817908699,-0.00191311362603717,0.43262228880675
"bivt",0.005,1000,"0.1",FALSE,0.00271967514328964,-0.00170145612961824,0.43262228880675
"bivt",0.005,1000,"0.01",TRUE,0.00484000442643707,-0.00224460826727711,0.43262228880675
"bivt",0.005,1000,"0.05",FALSE,0.00894184447091188,-0.00328060359769646,0.239199281295778
"bivt",0.005,1000,"0.1",FALSE,0.00749005562759438,-0.00247160607113156,0.239199281295778
"bivt",0.005,1000,"0.01",TRUE,0.0131022200712723,-0.00366350189788922,0.239199281295778
"bivt",0.005,1000,"0.05",FALSE,0.00666942709585828,-0.00310601391596345,0.23740014055961
"bivt",0.005,1000,"0.1",FALSE,0.00596097390046822,-0.00282648006887656,0.23740014055961
"bivt",0.005,1000,"0.01",FALSE,0.0121677962347674,-0.00342332616764564,0.23740014055961
"bivt",0.005,1000,"0.05",TRUE,0.0115991239251212,-0.00327456937294288,0.218413322080855
"bivt",0.005,1000,"0.1",FALSE,0.00893013922161695,-0.00310168123733541,0.218413322080855
"bivt",0.005,1000,"0.01",TRUE,0.0138264503982545,-0.00367182261770951,0.218413322080855
"bivt",0.005,1000,"0.05",TRUE,0.00445975619117105,-0.00225850493908591,0.331831299583986
"bivt",0.005,1000,"0.1",TRUE,0.00381597624595364,-0.00207423709420396,0.331831299583986
