"dist","p","n","alpha","is_covered","c_plus_adj","c_minus_adj","c_plus_raw","c_minus_raw","beta_frac_pos","beta_frac_neg","xi_hat"
"bivt",0.005,1000,"0.05",TRUE,0.014292231963192,-0.00421507996929456,0.0073557057393972,-0.00368138589116535,0.518754705601067,0.445584566363209,0.349606324066475
"bivt",0.005,1000,"0.1",TRUE,0.0128106290438401,-0.00399259027156758,0.00640681347389517,-0.00330761780904688,0.518754705601067,0.445584566363209,0.349606324066475
"bivt",0.005,1000,"0.01",TRUE,0.0172139681759434,-0.00451792072060932,0.00922693105753425,-0.00419013846695939,0.518754705601067,0.445584566363209,0.349606324066475
"bivt",0.005,1000,"0.05",TRUE,0.0103397513448032,-0.0041988092408759,0.0065373111559068,-0.0038538880689964,0.358031493607021,0.284861354369163,0.347563962265765
"bivt",0.005,1000,"0.1",TRUE,0.00935516406690612,-0.00395062994449463,0.00579678482468343,-0.00349886493702516,0.358031493607021,0.284861354369163,0.347563962265765
"bivt",0.005,1000,"0.01",TRUE,0.0123710298510638,-0.00455547567858559,0.00806507334997739,-0.00436410321438141,0.358031493607021,0.284861354369163,0.347563962265765
"bivt",0.005,1000,"0.05",TRUE,0.0109357746155318,-0.00456723729446243,0.00698559129917569,-0.00361723954869052,1.16164755357725,0.284861354369163,0.301082142806762
"bivt",0.005,1000,"0.1",TRUE,0.00963024471536099,-0.00444484968485038,0.00600367807626587,-0.00322618749143982,1.16164755357725,0.284861354369163,0.301082142806762
"bivt",0.005,1000,"0.01",TRUE,0.014437928851104,-0.00473589039477294,0.00961962637729064,-0.00415611878693361,1.16164755357725,0.284861354369163,0.301082142806762
"bivt",0.005,1000,"0.05",TRUE,0.0119203863802802,-0.00463831210372388,0.00772613604741356,-0.00364283609069026,1.3223707655713,0.284861354369163,0.27597864154117
"bivt",0.005,1000,"0.1",TRUE,0.010365481782766,-0.0045535608119469,0.00655666349495595,-0.003324823252408,1.3223707655713,0.284861354369163,0.27597864154117
"bivt",0.005,1000,"0.01",TRUE,0.01572603881865,-0.0047798831341324,0.0105884377461684,-0.00417405401380137,1.3223707655713,0.284861354369163,0.27597864154117
"bivt",0.005,1000,"0.05",TRUE,0.0152284180907595,-0.00349938871163167,0.00603178524289932,-0.00344347212378412,0.036585069618929,0.606307778357255,0.383299977126384
"bivt",0.005,1000,"0.1",TRUE,0.0136914378117369,-0.00312668872675897,0.00519357652659373,-0.00305688439089404,0.036585069618929,0.606307778357255,0.383299977126384
"bivt",0.005,1000,"0.01",TRUE,0.0184400409899186,-0.00406935176282626,0.00778327831298204,-0.00403467344585474,0.036585069618929,0.606307778357255,0.383299977126384
"bivt",0.005,1000,"0.05",TRUE,0.00738919098790862,-0.00438533892119746,0.00738919098790862,-0.00357593298193692,0.840201129589159,0,0.339330904373446
"bivt",0.005,1000,"0.1",TRUE,0.0063453463141398,-0.00424775857090989,0.0063453463141398,-0.00325718229812953,0.840201129589159,0,0.339330904373446
"bivt",0.005,1000,"0.01",TRUE,0.00936618830739807,-0.00465751584366996,0.00936618830739807,-0.00420652143423669,0.840201129589159,0,0.339330904373446
"bivt",0.005,1000,"0.05",TRUE,0.00907122670275883,-0.00439362640205671,0.00742852098170645,-0.00359513369036226,0.840201129589159,0.124138142375117,0.339970207671047
"bivt",0.005,1000,"0.1",TRUE,0.00781772692124899,-0.00423890405010266,0.00632135750092726,-0.00323666785288941,0.840201129589159,0.124138142375117,0.339970207671047
"bivt",0.005,1000,"0.01",TRUE,0.0121248831003123,-0.00459298939330613,0.0101256868656499,-0.00405702443023761,0.840201129589159,0.124138142375117,0.339970207671047
"bivt",0.005,1000,"0.05",TRUE,0.018247887158452,-0.00438931733246946,0.00767848515551274,-0.00379521624172681,0.679477917595113,0.606307778357255,0.343481500141386
"bivt",0.005,1000,"0.1",TRUE,0.0162662228693965,-0.00422197536547583,0.00659776323438688,-0.00346507606478897,0.679477917595113,0.606307778357255,0.343481500141386
"bivt",0.005,1000,"0.01",TRUE,0.0215660913941769,-0.00461241873693458,0.00948810350314408,-0.00423536128405204,0.679477917595113,0.606307778357255,0.343481500141386
"bivt",0.005,1000,"0.05",TRUE,0.0136257044367734,-0.00476428408450559,0.00900873734878426,-0.00411552159568341,1.3223707655713,0.284861354369163,0.285232822350173
"bivt",0.005,1000,"0.1",TRUE,0.0120242224938023,-0.00466859385928698,0.00780423311196147,-0.00375646252437495,1.3223707655713,0.284861354369163,0.285232822350173
"bivt",0.005,1000,"0.01",TRUE,0.0174148939964243,-0.00489829504442496,0.0118586570114793,-0.00461837181579607,1.3223707655713,0.284861354369163,0.285232822350173
"bivt",0.005,1000,"0.05",TRUE,0.0164693369471239,-0.00436863760666532,0.00670853367996715,-0.0035372388267289,0.840201129589159,0.606307778357255,0.287040784489332
"bivt",0.005,1000,"0.1",TRUE,0.0146216899602529,-0.00422887169442287,0.00570089953515176,-0.00321342456104979,0.840201129589159,0.606307778357255,0.287040784489332
"bivt",0.005,1000,"0.01",TRUE,0.0193101834307815,-0.00458690619874903,0.00825781984634675,-0.00404293068486806,0.840201129589159,0.606307778357255,0.287040784489332
"bivt",0.005,1000,"0.05",TRUE,0.00664556741733919,-0.00416005768261726,0.00664556741733919,-0.0033429219205432,0.679477917595113,0,0.297406596922683
"bivt",0.005,1000,"0.1",TRUE,0.00576524670288702,-0.0039839993235286,0.00576524670288702,-0.00299558563147513,0.679477917595113,0,0.297406596922683
"bivt",0.005,1000,"0.01",TRUE,0.00883663681388265,-0.00440642899992895,0.00883663681388265,-0.00382897495165636,0.679477917595113,0,0.297406596922683
"bivt",0.005,1000,"0.05",TRUE,0.00906624673388866,-0.00466101582545612,0.00906624673388866,-0.00372802741740936,1.3223707655713,0,0.228652934792759
"bivt",0.005,1000,"0.1",TRUE,0.00757964813924545,-0.00457143455789743,0.00757964813924545,-0.00339189102873667,1.3223707655713,0,0.228652934792759
"bivt",0.005,1000,"0.01",TRUE,0.0117696371301125,-0.00477188036742713,0.0117696371301125,-0.00414402517883388,1.3223707655713,0,0.228652934792759
"bivt",0.005,1000,"0.05",TRUE,0.00692307504480708,-0.00436461603583999,0.00692307504480708,-0.0035279215190765,0.840201129589159,0,0.249723304185759
"bivt",0.005,1000,"0.1",TRUE,0.00601208238938802,-0.00421808682627727,0.00601208238938802,-0.0031884378235615,0.840201129589159,0,0.249723304185759
"bivt",0.005,1000,"0.01",TRUE,0.00917083589050632,-0.00459959741781753,0.00917083589050632,-0.00407233411891933,0.840201129589159,0,0.249723304185759
"bivt",0.005,1000,"0.05",TRUE,0.00714846711016,-0.00454130299673325,0.00714846711016,-0.00353437445709754,1.16164755357725,0,0.293564502952847
"bivt",0.005,1000,"0.1",TRUE,0.00623528532327895,-0.00444383870491703,0.00623528532327895,-0.00322295721523761,1.16164755357725,0,0.293564502952847
"bivt",0.005,1000,"0.01",TRUE,0.00879053019862495,-0.00473134898649826,0.00879053019862495,-0.00414160811012362,1.16164755357725,0,0.293564502952847
"bivt",0.005,1000,"0.05",TRUE,0.00846033687276822,-0.00475631029463812,0.00846033687276822,-0.00373893370716554,1.64381718955939,0,0.217302071451311
