"dist","p","n","alpha","is_covered","c_plus_adj","c_minus_adj","c_plus_raw","c_minus_raw","beta_frac_pos","beta_frac_neg","xi_hat","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"bivt",0.005,1000,"0.05",TRUE,0.00582910435223721,-0.00403483268564307,0.00582910435223721,-0.00237397700721137,1.00092434158321,0,0.25,FALSE,2.72989117197244,3.00146704591621,0.684344437197508,0.684344437197508
"bivt",0.005,1000,"0.1",TRUE,0.00504202921768394,-0.00395257022302415,0.00504202921768394,-0.00215015765996727,1.00092434158321,0,0.25,FALSE,2.54546001428267,2.7986882510216,0.638110199691367,0.638110199691368
"bivt",0.005,1000,"0.01",TRUE,0.00705014989783157,-0.0041272449229152,0.00705014989783157,-0.0026254118167846,1.00092434158321,0,0.25,FALSE,2.96990495424614,3.26535795316425,0.744512438924501,0.744512438924501
"bivt",0.005,1000,"0.05",TRUE,0.0213621342317108,-0.00435541318941676,0.00724230627860457,-0.00258131260474138,1.3223707655713,0.767030990351301,0.25,FALSE,3.9029221357862,4.17346353498532,1.00893939357721,1.00893939357721
"bivt",0.005,1000,"0.1",TRUE,0.0202672818331966,-0.00431036056940254,0.00673386799076848,-0.00241226135770583,1.3223707655713,0.767030990351301,0.25,FALSE,3.76758532771459,4.02874549712101,0.973953648969998,0.973953648969998
"bivt",0.005,1000,"0.01",TRUE,0.0251716406622785,-0.00444091273404051,0.00901140221307651,-0.00290213311717896,1.3223707655713,0.767030990351301,0.25,FALSE,4.22143035118209,4.51404999208107,1.09127654366902,1.09127654366902
"bivt",0.005,1000,"0.05",TRUE,0.00570488813171773,-0.0039988554066069,0.00570488813171773,-0.00268051525477947,0.840201129589159,0,0.25,FALSE,2.94471865558262,3.1967840739806,0.668223041611318,0.668223041611318
"bivt",0.005,1000,"0.1",TRUE,0.00460156376797633,-0.00390135210051162,0.00460156376797633,-0.00245461638603558,0.840201129589159,0,0.25,FALSE,2.69299355308496,2.92351151629158,0.611100941568919,0.611100941568919
"bivt",0.005,1000,"0.01",TRUE,0.00765413476076254,-0.00413467526599516,0.00765413476076254,-0.00299518717532727,0.840201129589159,0,0.25,FALSE,3.33847958247513,3.62425060211884,0.757576271923143,0.757576271923143
"bivt",0.005,1000,"0.05",TRUE,0.00726557035957623,-0.00436531549375538,0.00726557035957623,-0.00261846908745962,1.3223707655713,0,0.25,FALSE,3.67040975079366,4.02373705348166,0.876296507462094,0.876296507462094
