"dist","p","n","method","alpha","is_covered","c_plus_adj","c_minus_adj","c_plus_raw","c_minus_raw","beta_frac_pos","beta_frac_neg","b_marg","B_marg1","B_marg2","eta_hat","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac","n_truth_pts","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.05",TRUE,0.0478986902742924,-0.00476936078787871,0.0149581263639214,-0.00434228812228834,0.679477917595113,0.606307778357255,0.368434404746226,-0.181365606175397,-0.181365606175397,0.773167084016958,-1.03265149098899,-0.483567377079172,0.009,0.9982,50,FALSE,0.114839904478372,0.43114269215005,0.0838627751420616,0.393745032150359
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.1",TRUE,0.0415956258139456,-0.00475919338919756,0.0125800456150928,-0.00431329383802713,0.679477917595113,0.606307778357255,0.368434404746226,-0.181365606175397,-0.181365606175397,0.773167084016958,-1.03265149098899,-0.483567377079172,0.009,0.9982,50,FALSE,0.114674102049942,0.430332024330878,0.0837416965689249,0.392429883423501
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.01",TRUE,0.0581452412429286,-0.00479791811385499,0.0188240436100009,-0.00442372480565858,0.679477917595113,0.606307778357255,0.368434404746226,-0.181365606175397,-0.181365606175397,0.773167084016958,-1.03265149098899,-0.483567377079172,0.009,0.9982,50,FALSE,0.115324996268301,0.433469604204926,0.0856454838966767,0.39887038514445
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.05",TRUE,0.0207175673723336,-0.00470410958537513,0.0092622952671347,-0.00442595128766129,0.358031493607021,0.284861354369163,0.304693598899859,-0.181365606175397,0.0232929922807543,0.934910859295032,-0.865110001444992,-0.662327544709808,0.0079,0.9978,50,FALSE,0.107904896132094,0.439351771676392,0.0783080938880492,0.411381753729797
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.1",TRUE,0.0189504085325462,-0.00467804191316844,0.00828227484793719,-0.00437537812636815,0.358031493607021,0.284861354369163,0.304693598899859,-0.181365606175397,0.0232929922807543,0.934910859295032,-0.865110001444992,-0.662327544709808,0.0079,0.9978,50,FALSE,0.101432867247107,0.433024880519697,0.073611251912025,0.406621482393253
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.01",TRUE,0.0240387403873695,-0.00471140128216643,0.0111041316075593,-0.00444009770453361,0.358031493607021,0.284861354369163,0.304693598899859,-0.181365606175397,0.0232929922807543,0.934910859295032,-0.865110001444992,-0.662327544709808,0.0079,0.9978,50,FALSE,0.119227898730854,0.442755178387381,0.0875448460918369,0.414594806741042
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.05",TRUE,0.0295353915646259,-0.00472216186107454,0.010630568629126,-0.00443758402026107,0.358031493607021,0.445584566363209,0.347171549916343,-0.0790363069473212,-0.181365606175397,0.820520444252433,-1.04364450699695,-0.828847273681834,0.0126,0.9994,50,FALSE,0.115527256143242,0.436465893897384,0.0842706578300745,0.385674963604309
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.1",TRUE,0.0265123481689573,-0.00463723412428554,0.00926235228281929,-0.00426566839889272,0.358031493607021,0.445584566363209,0.347171549916343,-0.0790363069473212,-0.181365606175397,0.820520444252433,-1.04364450699695,-0.828847273681834,0.0126,0.9994,50,FALSE,0.114218046842814,0.432350805025475,0.0824851284003431,0.369879394845736
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.01",TRUE,0.0352158188551807,-0.00475322526258949,0.0132015054155709,-0.00450046434858684,0.358031493607021,0.445584566363209,0.347171549916343,-0.0790363069473212,-0.181365606175397,0.820520444252433,-1.04364450699695,-0.828847273681834,0.0126,0.9994,50,FALSE,0.115793622237398,0.437995861444889,0.0845727348025501,0.39284833111439
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.05",TRUE,0.0256589500258459,-0.00473592479792158,0.00842260247027268,-0.00435102860008805,0.518754705601067,0.445584566363209,0.380400023259627,-0.0790363069473212,-0.181365606175397,0.748846837411318,-1.11108568698786,-0.752409701156708,0.0115,0.9996,50,FALSE,0.0894335509327771,0.427415849681162,0.0649002844066608,0.385411106223373
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.1",TRUE,0.0229878024433019,-0.00464310128747031,0.00725316411345707,-0.00412291250645949,0.518754705601067,0.445584566363209,0.380400023259627,-0.0790363069473212,-0.181365606175397,0.748846837411318,-1.11108568698786,-0.752409701156708,0.0115,0.9996,50,FALSE,0.0814056662685163,0.420594347110468,0.0591794697844473,0.374055957086934
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.01",TRUE,0.0310215623201721,-0.00478788591214859,0.0107703740987289,-0.00447872433514943,0.518754705601067,0.445584566363209,0.380400023259627,-0.0790363069473212,-0.181365606175397,0.748846837411318,-1.11108568698786,-0.752409701156708,0.0115,0.9996,50,FALSE,0.0915526714526598,0.430837841368599,0.0664380912252199,0.398623647756967
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.05",TRUE,0.0361499642372683,-0.00467008022487375,0.0108776666777801,-0.00443197832957542,0.036585069618929,0.445584566363209,0.506724981302882,-0.283694905403472,-0.0790363069473212,0.879342015500263,-1.14419597463144,-0.407848810786221,0.01,0.9952,50,FALSE,0.109026764996917,0.44026870681661,0.0787105598487921,0.403418319394252
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.1",TRUE,0.0315594005140134,-0.00453796655950202,0.00910640291092273,-0.004204518715002,0.036585069618929,0.445584566363209,0.506724981302882,-0.283694905403472,-0.0790363069473212,0.879342015500263,-1.14419597463144,-0.407848810786221,0.01,0.9952,50,FALSE,0.10348804092126,0.43519737465477,0.0746919087119742,0.386578019576782
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.01",TRUE,0.0427976023961998,-0.00467533147274894,0.0134426502649691,-0.00444101938384002,0.036585069618929,0.445584566363209,0.506724981302882,-0.283694905403472,-0.0790363069473212,0.879342015500263,-1.14419597463144,-0.407848810786221,0.01,0.9952,50,FALSE,0.10908273803702,0.440474223331402,0.0787509689109439,0.404219995169011
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.05",TRUE,0.0466953987742313,-0.0047602340018609,0.0140867515479893,-0.00440504564516039,0.358031493607021,0.445584566363209,0.550789754481629,-0.283694905403472,-0.181365606175397,0.808992111304916,-0.901608320368944,-0.477929944261211,0.006,0.9948,50,FALSE,0.120493838560912,0.444650905283431,0.0881172622419227,0.409651270305816
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.1",TRUE,0.0384317737498975,-0.00474859238418614,0.0110356916574555,-0.00437615818327365,0.358031493607021,0.445584566363209,0.550789754481629,-0.283694905403472,-0.181365606175397,0.808992111304916,-0.901608320368944,-0.477929944261211,0.006,0.9948,50,FALSE,0.119634310360375,0.443829983252676,0.0879490301505292,0.40821139599357
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.01",TRUE,0.0580423506933412,-0.00477188840329864,0.0182762240589353,-0.00443396482862362,0.358031493607021,0.445584566363209,0.550789754481629,-0.283694905403472,-0.181365606175397,0.808992111304916,-0.901608320368944,-0.477929944261211,0.006,0.9948,50,FALSE,0.120806614542323,0.445485850180942,0.0882897220364882,0.412745603321386
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.05",TRUE,0.0400838273470577,-0.00474216301280639,0.0101720383411221,-0.0044022810239574,0.518754705601067,0.767030990351301,0.322038445516824,-0.181365606175397,0.0232929922807543,0.884556978630309,-0.854449067662829,-0.624065047191658,0.01,0.995,50,FALSE,0.12537452442304,0.446125745025997,0.0911696945408623,0.422410529961075
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.1",TRUE,0.0368292103330218,-0.00470973325516801,0.00907676367106138,-0.00432710219977122,0.518754705601067,0.767030990351301,0.322038445516824,-0.181365606175397,0.0232929922807543,0.884556978630309,-0.854449067662829,-0.624065047191658,0.01,0.995,50,FALSE,0.11842410777219,0.444598735501528,0.0859848714861738,0.419531571599019
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.01",TRUE,0.0463800334423585,-0.00476496484353925,0.0122908974953403,-0.00445514034048092,0.518754705601067,0.767030990351301,0.322038445516824,-0.181365606175397,0.0232929922807543,0.884556978630309,-0.854449067662829,-0.624065047191658,0.01,0.995,50,FALSE,0.12567928783433,0.447230834225174,0.0913913120284855,0.424016046809132
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.05",TRUE,0.0181124944451397,-0.00472560496580853,0.00954898133480148,-0.00424042356883709,0.840201129589159,0.284861354369163,0.17799102219122,-0.0790363069473212,0.0232929922807543,0.697440471136532,-0.790131847151731,-1.0615095167364,0.0116,0.9996,50,FALSE,0.0901320315020282,0.409265926461396,0.0662082934878233,0.365973271629334
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.1",TRUE,0.0157931432777832,-0.00467510622180544,0.00808898328384187,-0.00410063366388818,0.840201129589159,0.284861354369163,0.17799102219122,-0.0790363069473212,0.0232929922807543,0.697440471136532,-0.790131847151731,-1.0615095167364,0.0116,0.9996,50,FALSE,0.0829521045633839,0.400240371718062,0.0608123129388855,0.359959982592779
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.01",TRUE,0.0237760498361458,-0.0048024628429264,0.0131141076290639,-0.00445318045119092,0.840201129589159,0.284861354369163,0.17799102219122,-0.0790363069473212,0.0232929922807543,0.697440471136532,-0.790131847151731,-1.0615095167364,0.0116,0.9996,50,FALSE,0.103120407626596,0.423605931037225,0.075597726326308,0.380907087233791
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.05",TRUE,0.0690786021362791,-0.0048196221411114,0.0119392228762177,-0.00438459998373017,0.518754705601067,0.767030990351301,0.708463917062008,0.0232929922807543,-0.386024204631547,0.855806151527952,-1.10132737581311,-1.03844635781357,0.0122,0.9996,50,FALSE,0.122423622191713,0.448569430891834,0.0887869590308321,0.423255889964533
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.1",TRUE,0.0629739671654886,-0.00478972317832566,0.0105433032804627,-0.00428259288431029,0.518754705601067,0.767030990351301,0.708463917062008,0.0232929922807543,-0.386024204631547,0.855806151527952,-1.10132737581311,-1.03844635781357,0.0122,0.9996,50,FALSE,0.12222115806616,0.44697485716954,0.0886401232021017,0.417662201989814
"gausscopula_unifbeta52margs",0.005,1000,"percoord_full","0.01",TRUE,0.0857888511968127,-0.00483608002933853,0.0157602808469494,-0.00444074980580448,0.518754705601067,0.767030990351301,0.708463917062008,0.0232929922807543,-0.386024204631547,0.855806151527952,-1.10132737581311,-1.03844635781357,0.0122,0.9996,50,FALSE,0.122536151125201,0.449454400385809,0.097107385245301,0.426402140152631
