"dist","p","n","alpha","is_covered","c_plus_raw","c_minus_raw","b_marg","B_marg1","B_marg2","beta_frac_pos","beta_frac_neg","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac"
"t4copula_unifbeta52margs",0.005,1000,"0.05",FALSE,0.0064262101402518,-0.00443984535771985,0.197308281612975,0.12562229150883,-0.0790363069473212,0.197308281612975,0.606307778357255,-0.830732202484407,-0.717571704438357,0.0112,1
"t4copula_unifbeta52margs",0.005,1000,"0.1",FALSE,0.00587300132249196,-0.00369616260078607,0.197308281612975,0.12562229150883,-0.0790363069473212,0.197308281612975,0.606307778357255,-0.830732202484407,-0.717571704438357,0.0112,1
"t4copula_unifbeta52margs",0.005,1000,"0.01",TRUE,0.00816128832900644,-0.00450904179282837,0.197308281612975,0.12562229150883,-0.0790363069473212,0.197308281612975,0.606307778357255,-0.830732202484407,-0.717571704438357,0.0112,1
"t4copula_unifbeta52margs",0.005,1000,"0.05",FALSE,0.00764672151717214,-0.00443066243414389,0.197308281612975,0.12562229150883,0.0232929922807543,0.358031493607021,0.445584566363209,-0.702108546608553,-0.753600463064398,0.0081,0.9914
"t4copula_unifbeta52margs",0.005,1000,"0.1",FALSE,0.00694044164617642,-0.00426569790960099,0.197308281612975,0.12562229150883,0.0232929922807543,0.358031493607021,0.445584566363209,-0.702108546608553,-0.753600463064398,0.0081,0.9914
"t4copula_unifbeta52margs",0.005,1000,"0.01",FALSE,0.00937120640430504,-0.00445135440255204,0.197308281612975,0.12562229150883,0.0232929922807543,0.358031493607021,0.445584566363209,-0.702108546608553,-0.753600463064398,0.0081,0.9914
"t4copula_unifbeta52margs",0.005,1000,"0.05",TRUE,0.00631638641285778,-0.00370878790191176,0.284861354369163,0.0232929922807543,-0.181365606175397,0.197308281612975,0.767030990351301,-1.14462446909102,-0.750293889248995,0.0137,0.9946
"t4copula_unifbeta52margs",0.005,1000,"0.1",TRUE,0.00566142643794114,-0.00334013575341917,0.284861354369163,0.0232929922807543,-0.181365606175397,0.197308281612975,0.767030990351301,-1.14462446909102,-0.750293889248995,0.0137,0.9946
"t4copula_unifbeta52margs",0.005,1000,"0.01",TRUE,0.00798238735675059,-0.00425415925983382,0.284861354369163,0.0232929922807543,-0.181365606175397,0.197308281612975,0.767030990351301,-1.14462446909102,-0.750293889248995,0.0137,0.9946
"t4copula_unifbeta52margs",0.005,1000,"0.05",TRUE,0.00751610782689036,-0.00441740921930837,0.445584566363209,-0.283694905403472,-0.0790363069473212,0.197308281612975,0.606307778357255,-1.10321661501588,-0.704261623671405,0.009,0.9982
"t4copula_unifbeta52margs",0.005,1000,"0.1",TRUE,0.00655494031200186,-0.00435596877240905,0.445584566363209,-0.283694905403472,-0.0790363069473212,0.197308281612975,0.606307778357255,-1.10321661501588,-0.704261623671405,0.009,0.9982
