"dist","p","n","alpha","is_covered","c_plus_adj","c_minus_adj","xi_hat"
"bivt",0.005,1000,"0.01",TRUE,0.00627498323584808,-0.00283743714312244,0.294847812427598
"bivt",0.005,1000,"0.05",TRUE,0.00526597760391746,-0.00279894014910232,0.268330077581733
"bivt",0.005,1000,"0.1",TRUE,0.00459926216531178,-0.00265999558764116,0.268330077581733
"bivt",0.005,1000,"0.01",TRUE,0.0063996515479266,-0.00308939201786855,0.268330077581733
"bivt",0.005,1000,"0.05",TRUE,0.00720036086743464,-0.00314410009945513,0.2361927355773
"bivt",0.005,1000,"0.1",TRUE,0.00622007805882518,-0.00293236486983684,0.2361927355773
"bivt",0.005,1000,"0.01",TRUE,0.00919611394191197,-0.00349325242565519,0.2361927355773
"bivt",0.005,1000,"0.05",TRUE,0.00699645838301515,-0.00377934654729471,0.226473803580953
"bivt",0.005,1000,"0.1",TRUE,0.00544701344059914,-0.00365497590030904,0.226473803580953
"bivt",0.005,1000,"0.01",TRUE,0.0107196120553909,-0.00409038189494648,0.226473803580953
"bivt",0.005,1000,"0.05",TRUE,0.00403269669314743,-0.00222733328865666,0.322108281796194
"bivt",0.005,1000,"0.1",TRUE,0.00338139128096856,-0.00199685343387767,0.322108281796194
"bivt",0.005,1000,"0.01",TRUE,0.00512747782539686,-0.00252171720990685,0.322108281796194
"bivt",0.005,1000,"0.05",TRUE,0.00486613871284284,-0.00313742889205562,0.249244013742882
"bivt",0.005,1000,"0.1",FALSE,0.00434678055521309,-0.00291581878819743,0.249244013742882
"bivt",0.005,1000,"0.01",TRUE,0.00563354493262992,-0.00339121262783976,0.249244013742882
"bivt",0.005,1000,"0.05",FALSE,0.00944838976899418,-0.00330293435007759,0.239386409869613
"bivt",0.005,1000,"0.1",FALSE,0.00726147915716312,-0.00303711279144971,0.239386409869613
"bivt",0.005,1000,"0.01",FALSE,0.0124187653358236,-0.00367506983948896,0.239386409869613
"bivt",0.005,1000,"0.05",TRUE,0.00887414089609469,-0.00350351586435371,0.246230001080333
"bivt",0.005,1000,"0.1",TRUE,0.00704476773900728,-0.00332839997594967,0.246230001080333
"bivt",0.005,1000,"0.01",TRUE,0.0112807995521575,-0.00394719398703706,0.246230001080333
"bivt",0.005,1000,"0.05",TRUE,0.00675323312008015,-0.00308684847036069,0.284730571760507
"bivt",0.005,1000,"0.1",TRUE,0.00546759163900941,-0.00292962080491999,0.284730571760507
"bivt",0.005,1000,"0.01",TRUE,0.0103381059039685,-0.00361025176726089,0.284730571760507
"bivt",0.005,1000,"0.05",TRUE,0.00461357388116186,-0.00279496984650119,0.299159488005166
"bivt",0.005,1000,"0.1",TRUE,0.00389217519382579,-0.00264614419064811,0.299159488005166
"bivt",0.005,1000,"0.01",TRUE,0.0064849516285862,-0.00321334353770837,0.299159488005166
"bivt",0.005,1000,"0.05",TRUE,0.00368492727424582,-0.00237396098183034,0.301452166285422
"bivt",0.005,1000,"0.1",TRUE,0.00317209485169426,-0.00214237358801651,0.301452166285422
"bivt",0.005,1000,"0.01",TRUE,0.00466548467433959,-0.00277052290077435,0.301452166285422
"bivt",0.005,1000,"0.05",TRUE,0.00464640694770412,-0.00263816533540719,0.315992851262517
"bivt",0.005,1000,"0.1",TRUE,0.00389000276898952,-0.00244991931382674,0.315992851262517
"bivt",0.005,1000,"0.01",TRUE,0.00683235425345841,-0.00289929884529361,0.315992851262517
"bivt",0.005,1000,"0.05",FALSE,0.00315297602595914,-0.00237209322226293,0.334620642276556
"bivt",0.005,1000,"0.1",FALSE,0.00279639570385585,-0.00219084487495072,0.334620642276556
"bivt",0.005,1000,"0.01",TRUE,0.00453023018230315,-0.00279582683174646,0.334620642276556
"bivt",0.005,1000,"0.05",TRUE,0.00763844900508061,-0.00348006928479555,0.216227570249227
"bivt",0.005,1000,"0.1",TRUE,0.00608842091537496,-0.00332228411965711,0.216227570249227
"bivt",0.005,1000,"0.01",TRUE,0.00978143872505473,-0.00369825059355885,0.216227570249227
"bivt",0.005,1000,"0.05",TRUE,0.00384342446347165,-0.0023473433553676,0.310738677488263
