"dist","p","n","alpha","is_covered","c_plus_raw","c_minus_raw","xi_hat"
"bivt",0.005,1000,"0.1",TRUE,0.00515862220031242,-0.00314828154129048,0.367117797555799
"bivt",0.005,1000,"0.01",TRUE,0.00734403098868843,-0.00415512455715904,0.367117797555799
"bivt",0.005,1000,"0.05",FALSE,0.00881900182265704,-0.00390463744945426,0.217205262754311
"bivt",0.005,1000,"0.1",FALSE,0.00745806234006156,-0.00355706824657129,0.217205262754311
"bivt",0.005,1000,"0.01",TRUE,0.0117051407777169,-0.00445788771192276,0.217205262754311
"bivt",0.005,1000,"0.05",TRUE,0.00708828151360139,-0.00354717877687172,0.326839350187676
"bivt",0.005,1000,"0.1",TRUE,0.00607237362086897,-0.00318883591593463,0.326839350187676
"bivt",0.005,1000,"0.01",TRUE,0.00980335858862474,-0.0041466514274622,0.326839350187676
"bivt",0.005,1000,"0.05",TRUE,0.00847030129434125,-0.00404170016972108,0.263408171230636
"bivt",0.005,1000,"0.1",TRUE,0.00739136237473754,-0.00370556081775423,0.263408171230636
"bivt",0.005,1000,"0.01",TRUE,0.0103807195399426,-0.00454904439148525,0.263408171230636
"bivt",0.005,1000,"0.05",TRUE,0.00944284906475151,-0.00390603065467685,0.2304274869656
"bivt",0.005,1000,"0.1",TRUE,0.00792315852591395,-0.00358833812841612,0.2304274869656
"bivt",0.005,1000,"0.01",TRUE,0.0126320155315368,-0.00443261889494847,0.2304274869656
"bivt",0.005,1000,"0.05",TRUE,0.00561770299230253,-0.00350889548341636,0.354277199860871
"bivt",0.005,1000,"0.1",TRUE,0.00495013281165414,-0.00318126098445404,0.354277199860871
"bivt",0.005,1000,"0.01",TRUE,0.00691102463896575,-0.00404284489575498,0.354277199860871
"bivt",0.005,1000,"0.05",TRUE,0.00684872360145552,-0.00340097145801005,0.307428561682666
"bivt",0.005,1000,"0.1",TRUE,0.00567705295067533,-0.003093501239225,0.307428561682666
"bivt",0.005,1000,"0.01",TRUE,0.00958985379056417,-0.00395334148327323,0.307428561682666
"bivt",0.005,1000,"0.05",TRUE,0.00756632121088421,-0.00359974442504222,0.28999576701152
"bivt",0.005,1000,"0.1",TRUE,0.00669997670622509,-0.00325746426501448,0.28999576701152
"bivt",0.005,1000,"0.01",TRUE,0.00976134764421828,-0.00408761639657098,0.28999576701152
"bivt",0.005,1000,"0.05",FALSE,0.0088936333654608,-0.00373739270439798,0.216294175128013
"bivt",0.005,1000,"0.1",FALSE,0.00777796263911167,-0.00344006936394609,0.216294175128013
"bivt",0.005,1000,"0.01",TRUE,0.0119362499678646,-0.00426532228433269,0.216294175128013
"bivt",0.005,1000,"0.05",TRUE,0.00906624673388866,-0.00372802741740936,0.228652934792759
"bivt",0.005,1000,"0.1",TRUE,0.00757964813924545,-0.00339189102873667,0.228652934792759
"bivt",0.005,1000,"0.01",TRUE,0.0117696371301125,-0.00414402517883388,0.228652934792759
"bivt",0.005,1000,"0.05",TRUE,0.00714037469878612,-0.00353170909169241,0.233968543387867
"bivt",0.005,1000,"0.1",TRUE,0.00623683109652371,-0.00325536318834418,0.233968543387867
"bivt",0.005,1000,"0.01",TRUE,0.00982385345593883,-0.00403572446486767,0.233968543387867
"bivt",0.005,1000,"0.05",TRUE,0.00709264347085396,-0.0036484924429313,0.295500804813194
"bivt",0.005,1000,"0.1",TRUE,0.00622043274403424,-0.00331896711495876,0.295500804813194
"bivt",0.005,1000,"0.01",TRUE,0.00891724194412168,-0.00413555808194398,0.295500804813194
"bivt",0.005,1000,"0.05",TRUE,0.00869283223176699,-0.00395374463166747,0.306804098435245
"bivt",0.005,1000,"0.1",TRUE,0.00744521464427804,-0.00363156688393633,0.306804098435245
"bivt",0.005,1000,"0.01",TRUE,0.010936128050286,-0.00445132774878722,0.306804098435245
"bivt",0.005,1000,"0.05",FALSE,0.00531531425465629,-0.00331843929470592,0.360341952099165
"bivt",0.005,1000,"0.1",FALSE,0.0044525598508572,-0.00293203767790008,0.360341952099165
"bivt",0.005,1000,"0.01",TRUE,0.00706871427122922,-0.0039465607309092,0.360341952099165
"bivt",0.005,1000,"0.05",TRUE,0.0102582929333286,-0.00403405712326758,0.265211477237571
"bivt",0.005,1000,"0.1",TRUE,0.00906947589604595,-0.00367993713800121,0.265211477237571
"bivt",0.005,1000,"0.01",TRUE,0.0130892021693201,-0.00452641450470917,0.265211477237571
"bivt",0.005,1000,"0.05",TRUE,0.00808187498393486,-0.00373996643731074,0.245250672293776
"bivt",0.005,1000,"0.1",TRUE,0.00714371824521062,-0.0034009025165475,0.245250672293776
"bivt",0.005,1000,"0.01",TRUE,0.0105694709064096,-0.00426268501836951,0.245250672293776
"bivt",0.005,1000,"0.05",TRUE,0.00655301876700275,-0.00353513649871642,0.248828761307239
"bivt",0.005,1000,"0.1",TRUE,0.00559862408303325,-0.00322291572024513,0.248828761307239
"bivt",0.005,1000,"0.01",TRUE,0.00850395105019914,-0.00404267143155454,0.248828761307239
