"dist","p","n","alpha","is_covered","c_plus_raw","c_minus_raw","b_marg","B_marg1","B_marg2","beta_frac_pos","beta_frac_neg","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac"
"t4copula_beta23beta27margs",0.005,1000,"0.05",TRUE,0.00944775066789854,-0.00354399552619968,0.036585069618929,0.0232929922807543,0.0232929922807543,0.358031493607021,0.284861354369163,-0.090092349294463,-0.709615598202345,0.0036,0.7464
"t4copula_beta23beta27margs",0.005,1000,"0.1",TRUE,0.0077446407935946,-0.00327050124952613,0.036585069618929,0.0232929922807543,0.0232929922807543,0.358031493607021,0.284861354369163,-0.090092349294463,-0.709615598202345,0.0036,0.7464
"t4copula_beta23beta27margs",0.005,1000,"0.01",TRUE,0.0108498680965121,-0.00414107597924217,0.036585069618929,0.0232929922807543,0.0232929922807543,0.358031493607021,0.284861354369163,-0.090092349294463,-0.709615598202345,0.0036,0.7464
"t4copula_beta23beta27margs",0.005,1000,"0.05",TRUE,0.00879910981531937,-0.00442534719696771,0.284861354369163,-0.181365606175397,0.0232929922807543,0.197308281612975,0.445584566363209,-0.442557170651526,-0.397130426478727,0.0029,0.9806
"t4copula_beta23beta27margs",0.005,1000,"0.1",TRUE,0.00671246630816813,-0.00441247782657629,0.284861354369163,-0.181365606175397,0.0232929922807543,0.197308281612975,0.445584566363209,-0.442557170651526,-0.397130426478727,0.0029,0.9806
"t4copula_beta23beta27margs",0.005,1000,"0.01",TRUE,0.0127775330208074,-0.00448743392130839,0.284861354369163,-0.181365606175397,0.0232929922807543,0.197308281612975,0.445584566363209,-0.442557170651526,-0.397130426478727,0.0029,0.9806
"t4copula_beta23beta27margs",0.005,1000,"0.05",TRUE,0.00867913031383716,-0.00415143551865629,0.358031493607021,-0.0790363069473212,0.227951590736905,0.358031493607021,0.767030990351301,-0.255732341256391,-0.353583085177827,0.0029,0.913
"t4copula_beta23beta27margs",0.005,1000,"0.1",TRUE,0.00793372786347787,-0.00370708446294635,0.358031493607021,-0.0790363069473212,0.227951590736905,0.358031493607021,0.767030990351301,-0.255732341256391,-0.353583085177827,0.0029,0.913
"t4copula_beta23beta27margs",0.005,1000,"0.01",TRUE,0.0106057230167352,-0.00450109356278518,0.358031493607021,-0.0790363069473212,0.227951590736905,0.358031493607021,0.767030990351301,-0.255732341256391,-0.353583085177827,0.0029,0.913
"t4copula_beta23beta27margs",0.005,1000,"0.05",TRUE,0.00900932508171318,-0.00361582687381224,0.284861354369163,0.12562229150883,-0.181365606175397,0.197308281612975,0.445584566363209,-0.38470872137953,-0.389460399809031,0.0029,0.8718
"t4copula_beta23beta27margs",0.005,1000,"0.1",TRUE,0.00811616877439674,-0.00326095870261424,0.284861354369163,0.12562229150883,-0.181365606175397,0.197308281612975,0.445584566363209,-0.38470872137953,-0.389460399809031,0.0029,0.8718
"t4copula_beta23beta27margs",0.005,1000,"0.01",TRUE,0.0109352777083451,-0.00446741179087376,0.284861354369163,0.12562229150883,-0.181365606175397,0.197308281612975,0.445584566363209,-0.38470872137953,-0.389460399809031,0.0029,0.8718
"t4copula_beta23beta27margs",0.005,1000,"0.05",TRUE,0.0085531689253504,-0.00404866323640286,0.284861354369163,-0.181365606175397,-0.0790363069473212,0.036585069618929,0.284861354369163,-0.61300477907191,-0.390168094154989,0.0037,0.9722
"t4copula_beta23beta27margs",0.005,1000,"0.1",TRUE,0.00764452183883321,-0.00347177275205215,0.284861354369163,-0.181365606175397,-0.0790363069473212,0.036585069618929,0.284861354369163,-0.61300477907191,-0.390168094154989,0.0037,0.9722
"t4copula_beta23beta27margs",0.005,1000,"0.01",TRUE,0.010099174924023,-0.00451615478282363,0.284861354369163,-0.181365606175397,-0.0790363069473212,0.036585069618929,0.284861354369163,-0.61300477907191,-0.390168094154989,0.0037,0.9722
"t4copula_beta23beta27margs",0.005,1000,"0.05",TRUE,0.00989581251615358,-0.00440376930857278,0.124138142375117,-0.0790363069473212,0.0232929922807543,0.036585069618929,0.606307778357255,-0.378396329274386,-0.44875738803125,0.0038,0.9502
"t4copula_beta23beta27margs",0.005,1000,"0.1",TRUE,0.00859210020809662,-0.00437462626267524,0.124138142375117,-0.0790363069473212,0.0232929922807543,0.036585069618929,0.606307778357255,-0.378396329274386,-0.44875738803125,0.0038,0.9502
"t4copula_beta23beta27margs",0.005,1000,"0.01",TRUE,0.0129386844134747,-0.00448127892183319,0.124138142375117,-0.0790363069473212,0.0232929922807543,0.036585069618929,0.606307778357255,-0.378396329274386,-0.44875738803125,0.0038,0.9502
"t4copula_beta23beta27margs",0.005,1000,"0.05",TRUE,0.0082985075348153,-0.00412910359754636,0.284861354369163,-0.0790363069473212,-0.181365606175397,0.197308281612975,0.606307778357255,-0.611627716975944,-0.623950312841353,0.0056,0.9912
"t4copula_beta23beta27margs",0.005,1000,"0.1",TRUE,0.00741795651565101,-0.00371121890503221,0.284861354369163,-0.0790363069473212,-0.181365606175397,0.197308281612975,0.606307778357255,-0.611627716975944,-0.623950312841353,0.0056,0.9912
"t4copula_beta23beta27margs",0.005,1000,"0.01",TRUE,0.010450325062082,-0.0045167673544941,0.284861354369163,-0.0790363069473212,-0.181365606175397,0.197308281612975,0.606307778357255,-0.611627716975944,-0.623950312841353,0.0056,0.9912
"t4copula_beta23beta27margs",0.005,1000,"0.05",TRUE,0.00824042618922423,-0.00389250150830015,0.036585069618929,0.0232929922807543,0.0232929922807543,0.036585069618929,0.606307778357255,-0.533202567091756,-0.162472610442761,0.0031,0.865
"t4copula_beta23beta27margs",0.005,1000,"0.1",TRUE,0.00732259713185169,-0.00342196056430859,0.036585069618929,0.0232929922807543,0.0232929922807543,0.036585069618929,0.606307778357255,-0.533202567091756,-0.162472610442761,0.0031,0.865
"t4copula_beta23beta27margs",0.005,1000,"0.01",TRUE,0.0120361432313262,-0.00450089673951971,0.036585069618929,0.0232929922807543,0.0232929922807543,0.036585069618929,0.606307778357255,-0.533202567091756,-0.162472610442761,0.0031,0.865
"t4copula_beta23beta27margs",0.005,1000,"0.05",FALSE,0.00812509272417159,-0.00410687106243755,0.124138142375117,0.0232929922807543,-0.0790363069473212,0.036585069618929,0.927754202345347,-0.48748442952123,-0.100687658040791,0.0026,0.8618
"t4copula_beta23beta27margs",0.005,1000,"0.1",FALSE,0.00725843898347565,-0.00342521020478175,0.124138142375117,0.0232929922807543,-0.0790363069473212,0.036585069618929,0.927754202345347,-0.48748442952123,-0.100687658040791,0.0026,0.8618
