"dist","p","n","alpha","is_covered","c_plus_adj","c_minus_adj","c_plus_raw","c_minus_raw","beta_frac_max","xi_hat"
"bivt",0.005,1000,"0.05",TRUE,0.0227132108630984,-0.00416841748144545,0.00518570110558695,-0.0027374339333276,1.00092434158321,0.359856353022888
"bivt",0.005,1000,"0.1",TRUE,0.0216684916971056,-0.00409376553638237,0.00480172549133396,-0.00253432124884691,1.00092434158321,0.359856353022888
"bivt",0.005,1000,"0.01",TRUE,0.029266443973602,-0.00429639350279157,0.00759427346728706,-0.0030856305305201,1.00092434158321,0.359856353022888
"bivt",0.005,1000,"0.05",TRUE,0.0487629809145398,-0.0046122545928765,0.0072006736285704,-0.00329137721756073,1.48309397756534,0.202353658488785
"bivt",0.005,1000,"0.1",TRUE,0.0451265645655486,-0.00457353338602726,0.0063754454083911,-0.00312074995809955,1.48309397756534,0.202353658488785
"bivt",0.005,1000,"0.01",TRUE,0.0588589792126324,-0.00471210932595015,0.00949180366069102,-0.00373139293078281,1.48309397756534,0.202353658488785
"bivt",0.005,1000,"0.05",TRUE,0.00925334461796752,-0.00325069732642818,0.00348446533389342,-0.00206128637853608,0.518754705601067,0.363798925200132
"bivt",0.005,1000,"0.1",TRUE,0.00831335658554304,-0.0031401125259596,0.00292492677721482,-0.00187551117543738,0.518754705601067,0.363798925200132
"bivt",0.005,1000,"0.01",TRUE,0.0128403430834282,-0.00337599006509087,0.00561966692682804,-0.0022717699519858,0.518754705601067,0.363798925200132
"bivt",0.005,1000,"0.05",TRUE,0.0125919580451097,-0.00364298948751172,0.00391703908879966,-0.00232282523775725,0.679477917595113,0.352178222663563
"bivt",0.005,1000,"0.1",TRUE,0.0108950776270518,-0.0034678519133853,0.00305692170004504,-0.00197730551697637,0.679477917595113,0.352178222663563
"bivt",0.005,1000,"0.01",TRUE,0.0157901783205795,-0.00376570086151816,0.00553815796242521,-0.00256491606204113,0.679477917595113,0.352178222663563
"bivt",0.005,1000,"0.05",TRUE,0.0114643463016164,-0.00348851774997688,0.00480058920803669,-0.00246080907332385,0.518754705601067,0.316106246248778
"bivt",0.005,1000,"0.1",TRUE,0.00983150053432017,-0.00335210374111397,0.00382861921225371,-0.00223164249622979,0.518754705601067,0.316106246248778
"bivt",0.005,1000,"0.01",TRUE,0.0135992961488738,-0.0036409309564262,0.00607144236244809,-0.00271685325175587,0.518754705601067,0.316106246248778
"bivt",0.005,1000,"0.05",TRUE,0.0125694298187602,-0.00323616023158858,0.00545840272785044,-0.00203686501380197,0.518754705601067,0.318655212539968
"bivt",0.005,1000,"0.1",TRUE,0.00997130356653895,-0.00314406222808795,0.00391183855565878,-0.0018821464156509,0.518754705601067,0.318655212539968
"bivt",0.005,1000,"0.01",TRUE,0.0131024112557748,-0.00349796829094494,0.0057756659841011,-0.00247668536156866,0.518754705601067,0.318655212539968
"bivt",0.005,1000,"0.05",TRUE,0.0172602661153981,-0.00374436485928343,0.00460805847714405,-0.00209090317854679,0.840201129589159,0.302191975781332
"bivt",0.005,1000,"0.1",TRUE,0.0156676085334035,-0.00369750810582256,0.00392062971494763,-0.0019823439099054,0.840201129589159,0.302191975781332
"bivt",0.005,1000,"0.01",TRUE,0.0217620312822633,-0.00386724960696076,0.00655112702580307,-0.00237560660654196,0.840201129589159,0.302191975781332
"bivt",0.005,1000,"0.05",TRUE,0.0102333662744962,-0.00325942660544093,0.00475620609721251,-0.00228226404990183,0.445584566363209,0.306539228943083
"bivt",0.005,1000,"0.1",TRUE,0.00909830660964348,-0.00320418956125877,0.00402925738322566,-0.00219601678149001,0.445584566363209,0.306539228943083
"bivt",0.005,1000,"0.01",TRUE,0.0119762780721396,-0.00348244377109835,0.00587245357663804,-0.00263048364839207,0.445584566363209,0.306539228943083
"bivt",0.005,1000,"0.05",TRUE,0.00812056363018254,-0.00308878260989767,0.0034030621059747,-0.00201582005919967,0.445584566363209,0.392252331672923
"bivt",0.005,1000,"0.1",TRUE,0.00666256691156307,-0.00291404640605409,0.00246928842656636,-0.00174298648352062,0.445584566363209,0.392252331672923
"bivt",0.005,1000,"0.01",TRUE,0.0104878942528708,-0.00325979666319563,0.00491921848526805,-0.00228284185906902,0.445584566363209,0.392252331672923
"bivt",0.005,1000,"0.05",TRUE,0.0132738070506294,-0.00368726941202934,0.00426265577451982,-0.0024101827750067,0.679477917595113,0.325050706062576
"bivt",0.005,1000,"0.1",TRUE,0.0121851665741744,-0.0035894243256249,0.00371084399454018,-0.00221714934341513,0.679477917595113,0.325050706062576
"bivt",0.005,1000,"0.01",TRUE,0.016061747109421,-0.00388530645661198,0.00567581117301089,-0.00280087965824132,0.679477917595113,0.325050706062576
"bivt",0.005,1000,"0.05",TRUE,0.0490195612101119,-0.0044575898340983,0.00725890054219286,-0.00260983792493737,1.48309397756534,0.302438771483812
"bivt",0.005,1000,"0.1",TRUE,0.0426120164092733,-0.0044128711716488,0.00580480775296042,-0.00241278252709719,1.48309397756534,0.302438771483812
"bivt",0.005,1000,"0.01",TRUE,0.0580556581051551,-0.00456314590011682,0.00930950241019208,-0.00307497689476266,1.48309397756534,0.302438771483812
"bivt",0.005,1000,"0.05",TRUE,0.0359628080398117,-0.00438389478256051,0.0059167004544184,-0.00268818427695468,1.3223707655713,0.305523078029006
"bivt",0.005,1000,"0.1",TRUE,0.0338555664582586,-0.00434330861316301,0.00535511480558903,-0.00253589252240461,1.3223707655713,0.305523078029006
"bivt",0.005,1000,"0.01",TRUE,0.0457062100222121,-0.00447176224965516,0.0085133437496113,-0.00301788996069779,1.3223707655713,0.305523078029006
"bivt",0.005,1000,"0.05",TRUE,0.0154508380439517,-0.00376563818630904,0.00449716061634462,-0.0023419704520962,0.767030990351301,0.256367674032351
"bivt",0.005,1000,"0.1",TRUE,0.0145965447790152,-0.00366152120858209,0.0041004355367598,-0.00211776876328248,0.767030990351301,0.256367674032351
"bivt",0.005,1000,"0.01",TRUE,0.019694195105486,-0.00392815515673703,0.00646773235913978,-0.00269192854756071,0.767030990351301,0.256367674032351
"bivt",0.005,1000,"0.05",TRUE,0.0470307308298133,-0.00455249777308408,0.00680756637210323,-0.00302805530109783,1.48309397756534,0.238999609814162
"bivt",0.005,1000,"0.1",TRUE,0.0440880693220238,-0.00451474969417147,0.00613977503975569,-0.00286171618672411,1.48309397756534,0.238999609814162
"bivt",0.005,1000,"0.01",TRUE,0.0665283276253398,-0.00462494570959299,0.0112322431849796,-0.00334730136458613,1.48309397756534,0.238999609814162
"bivt",0.005,1000,"0.05",TRUE,0.0121187418245953,-0.00354280435226241,0.00367717451403428,-0.00212517524671221,0.679477917595113,0.296012479639634
"bivt",0.005,1000,"0.1",TRUE,0.0114816759301533,-0.00345566876424761,0.00335425756139523,-0.00195327002197031,0.679477917595113,0.296012479639634
"bivt",0.005,1000,"0.01",TRUE,0.0147494713765993,-0.00366866193238949,0.00501064280603043,-0.00237347305579501,0.679477917595113,0.296012479639634
"bivt",0.005,1000,"0.05",TRUE,0.0134005756061253,-0.00353232239824695,0.00432691241733857,-0.00210449595020645,0.679477917595113,0.319691599778975
"bivt",0.005,1000,"0.1",TRUE,0.0120173787656553,-0.00345458093959678,0.00362579544887222,-0.00195112390985538,0.679477917595113,0.319691599778975
"bivt",0.005,1000,"0.01",TRUE,0.0171069170069979,-0.00365514386106276,0.00620558851827467,-0.00234680396291986,0.679477917595113,0.319691599778975
"bivt",0.005,1000,"0.05",TRUE,0.208210283751638,-0.00486592777846106,0.0134459655432378,-0.0034503073948325,2.44743324952962,0.186010613435325
"bivt",0.005,1000,"0.1",TRUE,0.187439730560513,-0.00484964740584074,0.0116489935504432,-0.0032621284210713,2.44743324952962,0.186010613435325
"bivt",0.005,1000,"0.01",TRUE,0.261174506794985,-0.00488170141476331,0.0180281846374161,-0.00363262918568239,2.44743324952962,0.186010613435325
"bivt",0.005,1000,"0.05",TRUE,0.0320056496186314,-0.0043655042787893,0.00486210690475942,-0.00261917746680351,1.3223707655713,0.261002361616303
"bivt",0.005,1000,"0.1",TRUE,0.0297036175116648,-0.00431456315952193,0.00424860904778184,-0.00242803076468457,1.3223707655713,0.261002361616303
"bivt",0.005,1000,"0.01",TRUE,0.0387893064638478,-0.00444655932084521,0.0066699700203158,-0.00292332084256603,1.3223707655713,0.261002361616303
"bivt",0.005,1000,"0.05",TRUE,0.0103625406179404,-0.00344447596924673,0.00414472685583824,-0.00238682177375554,0.518754705601067,0.308397731022756
"bivt",0.005,1000,"0.1",TRUE,0.00935325273052915,-0.00334880028223299,0.00354393677307656,-0.00222609290223549,0.518754705601067,0.308397731022756
"bivt",0.005,1000,"0.01",TRUE,0.0123284322547495,-0.00356919612693647,0.00531494618959882,-0.00259634344876996,0.518754705601067,0.308397731022756
