"dist","p","n","alpha","is_covered","c_plus_adj","c_minus_adj","c_plus_raw","c_minus_raw","beta_frac_pos","beta_frac_neg","xi_hat","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.00798207322366066,-0.00346536435404039,0.00476405776491814,-0.00197239794180544,0.679477917595113,0.284861354369163,0.25,FALSE,3.42399584260906,3.8449955174979,0.555728070641232,0.555728070641232
"t4copula_loggamma",0.005,1000,"0.1",TRUE,0.00694781187923,-0.00336518044993165,0.00398617064804088,-0.00177475037961297,0.679477917595113,0.284861354369163,0.25,FALSE,3.19236108386857,3.5848799536965,0.518132832946605,0.518132832946605
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.0105813373475608,-0.00362152247211747,0.00671901246397074,-0.00228047409065465,0.679477917595113,0.284861354369163,0.25,FALSE,3.86556136036405,4.3408540157243,0.627395901013565,0.627395901013565
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.0088512663230488,-0.00352373209452807,0.00387104048573221,-0.00208754859121066,0.679477917595113,0.445584566363209,0.25,FALSE,3.7535475348256,4.03132982088307,0.581475985674699,0.5814759856747
"t4copula_loggamma",0.005,1000,"0.1",TRUE,0.00827440541343141,-0.00341971154925154,0.00350159004239355,-0.0018823319211803,0.679477917595113,0.445584566363209,0.25,FALSE,3.55224509547168,3.81512994083501,0.5502914773513,0.550291477351301
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.0111967802367106,-0.0036160821295731,0.00537322435850338,-0.00226974112460633,0.679477917595113,0.445584566363209,0.25,FALSE,4.08802775844054,4.39056334262325,0.633291559051801,0.633291559051801
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.0199236247240067,-0.00431467031749838,0.00859236664954331,-0.00198005472794377,1.48309397756534,0.606307778357255,0.25,FALSE,6.87148612454812,7.61166987049637,0.974240045352355,0.974240045352355
"t4copula_loggamma",0.005,1000,"0.1",TRUE,0.015992661856237,-0.00428571309553255,0.00644857379532815,-0.00185245303812878,1.48309397756534,0.606307778357255,0.25,FALSE,6.54521042909071,7.25024836202294,0.927980641989198,0.927980641989198
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.0236587201956834,-0.00438791544278107,0.0106293411139027,-0.00230281365032286,1.48309397756534,0.606307778357255,0.25,FALSE,7.36565924729213,8.15907440585036,1.04430396410118,1.04430396410118
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.00658894824868059,-0.00343355345275783,0.00371626266354219,-0.00190963988555302,0.679477917595113,0.284861354369163,0.25,FALSE,3.27515587900815,3.5874967772299,0.526177559805502,0.526177559805502
"t4copula_loggamma",0.005,1000,"0.1",TRUE,0.00624899228180574,-0.00336754752735994,0.00346057548315833,-0.00177942026233898,0.679477917595113,0.284861354369163,0.25,FALSE,3.15206069122347,3.45266240421564,0.506401424584739,0.506401424584739
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.00789171405493414,-0.003556806786004,0.00469609696021186,-0.0021527999127542,0.679477917595113,0.284861354369163,0.25,FALSE,3.57995117487525,3.92135940302016,0.575145135989423,0.575145135989423
