"dist","p","n","alpha","is_covered","c_plus_adj","c_minus_adj","c_plus_raw","c_minus_raw","beta_frac_pos","beta_frac_neg","xi_hat"
"bivt",0.005,1000,"0.1",TRUE,0.00646906078160956,-0.00418867089410155,0.00646906078160956,-0.00240764676281639,1.16164755357725,0,0.257416968462021
"bivt",0.005,1000,"0.01",TRUE,0.00923766430631691,-0.00434607746085493,0.00923766430631691,-0.0029105911535827,1.16164755357725,0,0.257416968462021
"bivt",0.005,1000,"0.05",TRUE,0.00711138187367681,-0.00431358462529106,0.00569747271607378,-0.00242435900415336,1.3223707655713,0.124138142375117,0.278156739811962
"bivt",0.005,1000,"0.1",TRUE,0.00604809300668931,-0.00425990856454547,0.00475831451244836,-0.002222949962856,1.3223707655713,0.124138142375117,0.278156739811962
"bivt",0.005,1000,"0.01",TRUE,0.00874594369524987,-0.0044046675508445,0.00714121222254723,-0.00276613007415098,1.3223707655713,0.124138142375117,0.278156739811962
"bivt",0.005,1000,"0.05",TRUE,0.012402543250028,-0.00438242502436266,0.0061454550165435,-0.00268266929345077,1.3223707655713,0.445584566363209,0.293200057919802
"bivt",0.005,1000,"0.1",TRUE,0.011543365275374,-0.00430659643684336,0.00559519467067734,-0.00239813717795922,1.3223707655713,0.445584566363209,0.293200057919802
"bivt",0.005,1000,"0.01",TRUE,0.0172566519627454,-0.00442801289552502,0.00925426787945173,-0.00285372896694504,1.3223707655713,0.445584566363209,0.293200057919802
"bivt",0.005,1000,"0.05",TRUE,0.00641176749006226,-0.00421239762706304,0.00641176749006226,-0.00248345825848854,1.16164755357725,0,0.230362279076377
"bivt",0.005,1000,"0.1",TRUE,0.00482345495868972,-0.00417640604573751,0.00482345495868972,-0.00236845820279932,1.16164755357725,0,0.230362279076377
"bivt",0.005,1000,"0.01",TRUE,0.00915241996407826,-0.00430248646119467,0.00915241996407826,-0.00277130948815273,1.16164755357725,0,0.230362279076377
"bivt",0.005,1000,"0.05",TRUE,0.00949781467273749,-0.00431152649391336,0.00590407498793713,-0.00340492192097428,0.840201129589159,0.284861354369163,0.231560575553532
"bivt",0.005,1000,"0.1",TRUE,0.0088690440459592,-0.00416858765739452,0.00543116495153727,-0.00307375651989935,0.840201129589159,0.284861354369163,0.231560575553532
"bivt",0.005,1000,"0.01",TRUE,0.0115693951486865,-0.00448625751518561,0.00746214904000592,-0.00380974450208035,0.840201129589159,0.284861354369163,0.231560575553532
"bivt",0.005,1000,"0.05",TRUE,0.00826696337249022,-0.00449725521730498,0.00826696337249022,-0.00278462575266149,1.48309397756534,0,0.256608528407759
"bivt",0.005,1000,"0.1",TRUE,0.00667759621116764,-0.00444031497555261,0.00667759621116764,-0.00253371525183197,1.48309397756534,0,0.256608528407759
"bivt",0.005,1000,"0.01",TRUE,0.0113244884222195,-0.00457973967502314,0.0113244884222195,-0.00314809833303304,1.48309397756534,0,0.256608528407759
"bivt",0.005,1000,"0.05",TRUE,0.0077263064381009,-0.00440535207953686,0.00624060964454165,-0.00276869863573605,1.3223707655713,0.124138142375117,0.266652977573385
"bivt",0.005,1000,"0.1",TRUE,0.00670002269118721,-0.00433489245583751,0.00533413650249495,-0.00250431251905132,1.3223707655713,0.124138142375117,0.266652977573385
"bivt",0.005,1000,"0.01",TRUE,0.00958680703558023,-0.00453389951569714,0.00788391134102527,-0.00325104803915053,1.3223707655713,0.124138142375117,0.266652977573385
"bivt",0.005,1000,"0.05",TRUE,0.011341955254345,-0.00474125399143839,0.011341955254345,-0.0031533831167901,1.96526361354748,0,0.232756928058409
"bivt",0.005,1000,"0.1",TRUE,0.00920664515896295,-0.00471329689427715,0.00920664515896295,-0.00295385908196356,1.96526361354748,0,0.232756928058409
"bivt",0.005,1000,"0.01",TRUE,0.0155129088601377,-0.00477969456839905,0.0155129088601377,-0.00342772558417928,1.96526361354748,0,0.232756928058409
"bivt",0.005,1000,"0.05",TRUE,0.00493934173806053,-0.00417643315042054,0.00493934173806053,-0.00236854480749809,1.16164755357725,0,0.34498349242476
"bivt",0.005,1000,"0.1",TRUE,0.00408692840026503,-0.00408109932323557,0.00408692840026503,-0.00206393481172775,1.16164755357725,0,0.34498349242476
"bivt",0.005,1000,"0.01",TRUE,0.00712307042447558,-0.00429876446960165,0.00712307042447558,-0.00275941700594696,1.16164755357725,0,0.34498349242476
"bivt",0.005,1000,"0.05",TRUE,0.0083806442248529,-0.00388526290085887,0.00506383039845786,-0.00241734039872699,0.840201129589159,0.284861354369163,0.288877611051672
"bivt",0.005,1000,"0.1",TRUE,0.00769112608595364,-0.00375502076902514,0.00454523103284183,-0.00211559114096047,0.840201129589159,0.284861354369163,0.288877611051672
"bivt",0.005,1000,"0.01",TRUE,0.0102847322337491,-0.00400999053958851,0.00649593026325184,-0.00270631349736829,0.840201129589159,0.284861354369163,0.288877611051672
"bivt",0.005,1000,"0.05",TRUE,0.00881240235730805,-0.00445205969153336,0.00881240235730805,-0.00294395992024223,1.3223707655713,0,0.244665226818382
"bivt",0.005,1000,"0.1",TRUE,0.00683801570958209,-0.00442796898568132,0.00683801570958209,-0.00285356420374517,1.3223707655713,0,0.244665226818382
"bivt",0.005,1000,"0.01",TRUE,0.0109227055553213,-0.00453282240787809,0.0109227055553213,-0.00324700640028592,1.3223707655713,0,0.244665226818382
"bivt",0.005,1000,"0.05",TRUE,0.00795510916173628,-0.00412754612118547,0.00474377759443453,-0.00221234130441594,1.16164755357725,0.284861354369163,0.247715010519452
"bivt",0.005,1000,"0.1",TRUE,0.00713056839669528,-0.00405295695549431,0.00412362521039799,-0.00197401450986053,1.16164755357725,0.284861354369163,0.247715010519452
"bivt",0.005,1000,"0.01",TRUE,0.0124331168533792,-0.00428502757573035,0.00811177013458293,-0.002715524976144,1.16164755357725,0.284861354369163,0.247715010519452
"bivt",0.005,1000,"0.05",TRUE,0.00871779540524522,-0.00337694219038134,0.00378555906563034,-0.00267819848253596,0.358031493607021,0.445584566363209,0.359337678015757
"bivt",0.005,1000,"0.1",TRUE,0.00778054163726146,-0.00328334009653164,0.0031852950950103,-0.00254429968838942,0.358031493607021,0.445584566363209,0.359337678015757
"bivt",0.005,1000,"0.01",TRUE,0.00995188112115471,-0.00354394393256405,0.00457592899234815,-0.00291709625692272,0.358031493607021,0.445584566363209,0.359337678015757
"bivt",0.005,1000,"0.05",TRUE,0.0053338637492583,-0.0041528588702002,0.0053338637492583,-0.00269510213213818,1.00092434158321,0,0.299607237066302
"bivt",0.005,1000,"0.1",TRUE,0.00471975746128537,-0.00409821162563,0.00471975746128537,-0.002546418148958,1.00092434158321,0,0.299607237066302
"bivt",0.005,1000,"0.01",TRUE,0.00702917496492692,-0.00430361346426972,0.00702917496492692,-0.00310527457002149,1.00092434158321,0,0.299607237066302
"bivt",0.005,1000,"0.05",TRUE,0.00689467719963042,-0.0040304567872277,0.00394620707119206,-0.00236207108200863,1.00092434158321,0.284861354369163,0.371523647679833
"bivt",0.005,1000,"0.1",TRUE,0.00611916822398521,-0.00394077811512317,0.00336293240427586,-0.00211807374454579,1.00092434158321,0.284861354369163,0.371523647679833
"bivt",0.005,1000,"0.01",TRUE,0.00979221902600734,-0.0041586033914558,0.00612550195588329,-0.00271073180035774,1.00092434158321,0.284861354369163,0.371523647679833
"bivt",0.005,1000,"0.05",TRUE,0.00637942912685903,-0.00399747793843674,0.00505096973068311,-0.00267732389118544,0.840201129589159,0.124138142375117,0.314676322126367
"bivt",0.005,1000,"0.1",TRUE,0.0055567132163348,-0.00387095528069089,0.00432429947144201,-0.00238419203340691,0.840201129589159,0.124138142375117,0.314676322126367
"bivt",0.005,1000,"0.01",TRUE,0.00785286861367416,-0.00415504031433731,0.00635239667546869,-0.00304236958961292,0.840201129589159,0.124138142375117,0.314676322126367
"bivt",0.005,1000,"0.05",TRUE,0.0122779375594518,-0.00330759878709185,0.00606565132927958,-0.00257900200411754,0.358031493607021,0.445584566363209,0.328157871258629
"bivt",0.005,1000,"0.1",TRUE,0.00946508435760195,-0.0031566152822942,0.0042641601116492,-0.00236301848925211,0.358031493607021,0.445584566363209,0.328157871258629
"bivt",0.005,1000,"0.01",TRUE,0.013092247209979,-0.00360315693107677,0.00658717576677656,-0.0030018010831992,0.358031493607021,0.445584566363209,0.328157871258629
