"dist","p","n","alpha","is_covered","c_plus_raw","c_minus_raw","xi_hat","xi_marg_hat","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"gauss_copula_t4",0.005,1000,"0.05",TRUE,0.00922454452344814,-0.00312011298014949,0.2125,0.25,FALSE,1.73349934093728,2.22631457830323,0.430663256326332,0.507068746401915
"gauss_copula_t4",0.005,1000,"0.1",TRUE,0.00734365665972531,-0.00284955798445262,0.2125,0.25,FALSE,1.49508139418406,1.91895289208932,0.371431199264742,0.437062594974593
"gauss_copula_t4",0.005,1000,"0.01",TRUE,0.0117837719210607,-0.00339705660292031,0.2125,0.25,FALSE,2.01579274687547,2.5911875304433,0.500796064273145,0.590174727806689
"gauss_copula_t4",0.005,1000,"0.05",FALSE,0.00697770217239771,-0.00309646402509464,0.2125,0.25,FALSE,1.44875729225994,1.75792836863005,0.397576848098741,0.469267762017298
"gauss_copula_t4",0.005,1000,"0.1",FALSE,0.00611671918778198,-0.00279819585875144,0.2125,0.25,FALSE,1.26395885883859,1.53082564773655,0.346860161664692,0.408641475814408
"gauss_copula_t4",0.005,1000,"0.01",FALSE,0.00857001558265132,-0.00362548955217848,0.2125,0.25,FALSE,1.84887077304213,2.25485583374469,0.507391056135745,0.601930005717064
"gauss_copula_t4",0.005,1000,"0.05",FALSE,0.0093635587240514,-0.00316252106667294,0.2125,0.25,FALSE,1.67616238859124,2.05427703146967,0.438307422700653,0.516244095464705
"gauss_copula_t4",0.005,1000,"0.1",FALSE,0.00740285508344149,-0.00296607033373149,0.2125,0.25,FALSE,1.47815890013923,1.81189370619057,0.386530988175655,0.455332821171087
"gauss_copula_t4",0.005,1000,"0.01",FALSE,0.0141167811881178,-0.00339275093375935,0.2125,0.25,FALSE,1.99306876794438,2.43905202770623,0.521172600815248,0.612935983892041
"gauss_copula_t4",0.005,1000,"0.05",FALSE,0.0145623974633169,-0.00308010748511495,0.2125,0.25,FALSE,1.88555166724379,2.40712198841893,0.477621753193462,0.559321194676582
"gauss_copula_t4",0.005,1000,"0.1",FALSE,0.0113093113127193,-0.00293714651254869,0.2125,0.25,FALSE,1.69569416980782,2.16748011195886,0.429532532808455,0.503639830716411
"gauss_copula_t4",0.005,1000,"0.01",TRUE,0.0185501267733419,-0.0034512319968032,0.2125,0.25,FALSE,2.22601762997284,2.84741048950618,0.563869133784906,0.661631781961731
