"dist","p","n","alpha","is_covered","c_plus_adj","c_minus_adj","c_plus_raw","c_minus_raw","beta_frac_pos","beta_frac_neg","b_marg","B_marg1","B_marg2","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"t4copula_gauss5gauss10margs",0.005,1000,"0.05",TRUE,0.0259130699623137,-0.00462486639035721,0.011253141653703,-0.00444337107328721,0.197308281612975,0.445584566363209,0.197308281612975,0.12562229150883,-0.0790363069473212,-0.250354907106247,-0.294603457458782,0.0029,0.8464,FALSE,5.5138391662971,6.80317996392965,0.573681953309097,0.95243315227004
"t4copula_gauss5gauss10margs",0.005,1000,"0.1",TRUE,0.0218356891480572,-0.00460285163980049,0.00910938019516806,-0.00441070525327203,0.197308281612975,0.445584566363209,0.197308281612975,0.12562229150883,-0.0790363069473212,-0.250354907106247,-0.294603457458782,0.0029,0.8464,FALSE,4.97922139631401,6.53426095870347,0.532234359402281,0.920446125908308
"t4copula_gauss5gauss10margs",0.005,1000,"0.01",TRUE,0.0296954198093583,-0.0046496224562148,0.0132417849014562,-0.00448010449842889,0.197308281612975,0.445584566363209,0.197308281612975,0.12562229150883,-0.0790363069473212,-0.250354907106247,-0.294603457458782,0.0029,0.8464,FALSE,5.66642518555353,6.90570539978542,0.583800072541881,0.96695300134795
"t4copula_gauss5gauss10margs",0.005,1000,"0.05",TRUE,0.0335546796181941,-0.00462533671356318,0.00846623092600451,-0.00439320114789048,0.036585069618929,0.606307778357255,0.445584566363209,-0.283694905403472,-0.0790363069473212,-0.339181100485365,-0.18429462465961,0.0041,0.9278,FALSE,4.87032718121264,5.89865837093691,0.574468442410209,0.850968629361427
"t4copula_gauss5gauss10margs",0.005,1000,"0.1",TRUE,0.0296007365114849,-0.00458885313382222,0.00708521281171826,-0.00433411290757155,0.036585069618929,0.606307778357255,0.445584566363209,-0.283694905403472,-0.0790363069473212,-0.339181100485365,-0.18429462465961,0.0041,0.9278,FALSE,4.81570426691273,5.83617833592068,0.567724366275567,0.840214957287635
"t4copula_gauss5gauss10margs",0.005,1000,"0.01",TRUE,0.0429391087597156,-0.00469276963127295,0.0117439884169219,-0.00450241445632492,0.036585069618929,0.606307778357255,0.445584566363209,-0.283694905403472,-0.0790363069473212,-0.339181100485365,-0.18429462465961,0.0041,0.9278,FALSE,4.98298504786503,6.02790698495825,0.58863261812051,0.873260290542966
"t4copula_gauss5gauss10margs",0.005,1000,"0.05",TRUE,0.0485285395080907,-0.00446814405588578,0.0076001164058175,-0.00391163085435477,0.358031493607021,1.08847741433939,0.358031493607021,0.227951590736905,-0.181365606175397,-0.62956777030357,-0.116046316783878,0.0071,0.9108,FALSE,4.88348676979443,5.31591145832423,0.565514255745967,0.738309917067775
"t4copula_gauss5gauss10margs",0.005,1000,"0.1",TRUE,0.043637536405408,-0.00421635089536325,0.00644882012534076,-0.00339637120551578,0.358031493607021,1.08847741433939,0.358031493607021,0.227951590736905,-0.181365606175397,-0.62956777030357,-0.116046316783878,0.0071,0.9108,FALSE,4.59827739010763,5.01274282174187,0.5319295366128,0.694710624726603
"t4copula_gauss5gauss10margs",0.005,1000,"0.01",TRUE,0.0662210776401266,-0.00475323240273457,0.0117647740263439,-0.00449502446671721,0.358031493607021,1.08847741433939,0.358031493607021,0.227951590736905,-0.181365606175397,-0.62956777030357,-0.116046316783878,0.0071,0.9108,FALSE,5.40330182556798,5.87525152372296,0.625301460118091,0.826933909793544
"t4copula_gauss5gauss10margs",0.005,1000,"0.05",TRUE,0.0283542984896751,-0.00419875700851554,0.00993295617552866,-0.00381110352439276,0.197308281612975,0.606307778357255,0.197308281612975,0.12562229150883,0.12562229150883,0.0602897601441505,-0.306425628124281,0.0035,0.7938,FALSE,5.66249519794186,6.11472532688836,0.629183035016018,0.834302764598187
