"dist","p","n","alpha","is_covered","c_plus_adj","c_minus_adj","c_plus_raw","c_minus_raw","beta_frac_pos","beta_frac_neg","b_marg","B_marg1","B_marg2","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.0337718507489877,-0.00360602258120364,0.0123584327746541,-0.00350020076983964,0.036585069618929,0.767030990351301,0.036585069618929,0.0232929922807543,0.0232929922807543,0.174898286212228,0.242517970432965,8e-04,0.272,FALSE,4.50564309454337,5.05989985366752,0.975322438438372,1.03015699158459
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.0238168920502471,-0.0031811935971206,0.00790152710705301,-0.00304312149819139,0.036585069618929,0.767030990351301,0.036585069618929,0.0232929922807543,0.0232929922807543,0.174898286212228,0.242517970432965,8e-04,0.272,FALSE,3.89747549515556,4.38265076633505,0.842872175109248,0.888886845369437
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.0382863292671885,-0.00447395755859158,0.0143795968500589,-0.00443402379549501,0.036585069618929,0.767030990351301,0.036585069618929,0.0232929922807543,0.0232929922807543,0.174898286212228,0.242517970432965,8e-04,0.272,FALSE,6.74413892077511,7.52637122692351,1.45518982536756,1.52975517989363
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.0269053000694562,-0.00458975357259952,0.00808678587969359,-0.00443422048911103,0.036585069618929,0.606307778357255,0.284861354369163,-0.181365606175397,0.0232929922807543,0.0101274884100624,-0.0863553886584983,2e-04,0.6848,FALSE,6.63788540186381,6.7808334517348,1.31707955469396,1.41192259549748
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.0225331465084543,-0.00449808346428735,0.00629343376072241,-0.00430779630700995,0.036585069618929,0.606307778357255,0.284861354369163,-0.181365606175397,0.0232929922807543,0.0101274884100624,-0.0863553886584983,2e-04,0.6848,FALSE,6.15215904558444,6.35735386123041,1.22779279716249,1.30011412963088
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.0432330192518292,-0.00460918809624045,0.0147840231530719,-0.00446102305104825,0.036585069618929,0.606307778357255,0.284861354369163,-0.181365606175397,0.0232929922807543,0.0101274884100624,-0.0863553886584983,2e-04,0.6848,FALSE,6.71005799818321,6.85573489509464,1.33138854684543,1.42803584418778
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.0566970013891172,-0.00462035326073168,0.00830544498978468,-0.00438513002491909,0.197308281612975,1.24920062633344,0.284861354369163,0.12562229150883,-0.181365606175397,-0.154329737801578,-0.235566403633091,0.0013,0.8524,FALSE,5.56916774525314,5.70638365524758,1.05472588021105,1.11601369121259
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.0507008242368726,-0.00455663215420473,0.00701232209155795,-0.00428192830834998,0.197308281612975,1.24920062633344,0.284861354369163,0.12562229150883,-0.181365606175397,-0.154329737801578,-0.235566403633091,0.0013,0.8524,FALSE,5.42922345748153,5.56094043159354,1.02781010333762,1.08756894604676
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.0745260033925288,-0.00466328865307832,0.0121504098995541,-0.00445466752094275,0.197308281612975,1.24920062633344,0.284861354369163,0.12562229150883,-0.181365606175397,-0.154329737801578,-0.235566403633091,0.0013,0.8524,FALSE,5.67437541073808,5.81608411065304,1.0750465970253,1.13746812147197
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.0260743842598077,-0.00396591552751589,0.00774596422118389,-0.00378561268805399,0.036585069618929,0.767030990351301,0.124138142375117,0.0232929922807543,-0.0790363069473212,-0.152672289465498,-0.127159461868677,0.0013,0.774,FALSE,4.11379362304358,4.24960603761957,0.866106594115773,0.897780434291099
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.0232388833608702,-0.0036072791067927,0.00658291002500669,-0.00336444446580833,0.036585069618929,0.767030990351301,0.124138142375117,0.0232929922807543,-0.0790363069473212,-0.152672289465498,-0.127159461868677,0.0013,0.774,FALSE,3.7023392095401,3.83008061638888,0.782321039920015,0.810760284881088
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.0340070428296003,-0.0045489487819735,0.0109997497657046,-0.00447030354793613,0.036585069618929,0.767030990351301,0.124138142375117,0.0232929922807543,-0.0790363069473212,-0.152672289465498,-0.127159461868677,0.0013,0.774,FALSE,4.93504578757101,5.05181553095685,1.04026756884574,1.08109713917144
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.0179845358952929,-0.00407384817411107,0.0080019445712887,-0.00372272446007472,0.197308281612975,0.445584566363209,0.124138142375117,0.0232929922807543,-0.0790363069473212,0.421410383621608,-0.20114796518806,8e-04,0.5676,FALSE,5.47012258292544,6.68641965834466,1.06031795299344,1.33992704055785
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.0158323330084197,-0.00376662552806936,0.00678448154446191,-0.00329902722153226,0.197308281612975,0.445584566363209,0.124138142375117,0.0232929922807543,-0.0790363069473212,0.421410383621608,-0.20114796518806,8e-04,0.5676,FALSE,4.66887354855695,5.59056693056964,0.903089943978309,1.12211210428493
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.0251757215604597,-0.00462093770037535,0.0120698708433825,-0.00447722717821812,0.197308281612975,0.445584566363209,0.124138142375117,0.0232929922807543,-0.0790363069473212,0.421410383621608,-0.20114796518806,8e-04,0.5676,FALSE,8.47766990842084,10.807597652568,1.64076961753253,2.20102033619304
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.0350590682761939,-0.00407814635722115,0.01143126527346,-0.00395630287679457,0,0.767030990351301,0.124138142375117,-0.0790363069473212,-0.0790363069473212,0.498636982962067,-0.175437721141394,9e-04,0.4318,FALSE,5.95218123764838,6.73556046762665,1.1223354943352,1.44649765279254
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.0240154664249699,-0.0035462745956262,0.0069014456995042,-0.00335413242182137,0,0.767030990351301,0.124138142375117,-0.0790363069473212,-0.0790363069473212,0.498636982962067,-0.175437721141394,9e-04,0.4318,FALSE,4.8079349890214,5.12325297939103,0.908417253258362,1.09875081970952
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.0405635257312084,-0.00453421639474314,0.0136890611863911,-0.00447265272242412,0,0.767030990351301,0.124138142375117,-0.0790363069473212,-0.0790363069473212,0.498636982962067,-0.175437721141394,9e-04,0.4318,FALSE,7.92799148759391,9.65980696064918,1.48768477714355,2.1133390691817
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.0367439120460258,-0.00425520575156106,0.00741540530338709,-0.00379374277819256,0.197308281612975,0.927754202345347,0.284861354369163,0.12562229150883,-0.181365606175397,0.256641201778709,0.40336469388155,3e-04,0.539,FALSE,7.3001363891479,7.4238815097192,1.31470555311737,1.37544923673577
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.030738601122917,-0.00390413019487669,0.00562931565752334,-0.00322514624762294,0.197308281612975,0.927754202345347,0.284861354369163,0.12562229150883,-0.181365606175397,0.256641201778709,0.40336469388155,3e-04,0.539,FALSE,6.12856352668653,6.30693159876012,1.10849662623911,1.14304023150652
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.0625422636100254,-0.00467345306369982,0.0150883083718195,-0.00447112964285535,0.197308281612975,0.927754202345347,0.284861354369163,0.12562229150883,-0.181365606175397,0.256641201778709,0.40336469388155,3e-04,0.539,FALSE,10.3045849200187,10.7650183440386,1.86639335469708,2.00968314813625
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.0202362359352719,-0.00454815395401459,0.00715614708645732,-0.00437684957669313,0.197308281612975,0.606307778357255,0.124138142375117,-0.0790363069473212,0.0232929922807543,0.833428692596544,0.16712585072168,0,0.675,FALSE,13.2425996149542,24.0344693063216,2.48863585824881,4.41391336982893
