"dist","p","n","alpha","is_covered","c_plus_adj","c_minus_adj","xi_hat"
"bivt",0.005,1000,"0.05",TRUE,0.00592247286990902,-0.00356634600577017,0.315402136333191
"bivt",0.005,1000,"0.1",TRUE,0.00504586144293866,-0.00324933163662033,0.315402136333191
"bivt",0.005,1000,"0.01",TRUE,0.00769033011725925,-0.00420121714246502,0.315402136333191
"bivt",0.005,1000,"0.05",TRUE,0.00977027798387512,-0.00472232285523238,0.176366873949156
"bivt",0.005,1000,"0.1",TRUE,0.00786426004020846,-0.00440492107781998,0.176366873949156
"bivt",0.005,1000,"0.01",TRUE,0.0155102773356547,-0.00530963695112776,0.176366873949156
"bivt",0.005,1000,"0.05",TRUE,0.00816920645748477,-0.00403871425485207,0.257811004354325
"bivt",0.005,1000,"0.1",TRUE,0.00690938221599135,-0.00369959808336759,0.257811004354325
"bivt",0.005,1000,"0.01",TRUE,0.0126117366369661,-0.00463578334790694,0.257811004354325
"bivt",0.005,1000,"0.05",TRUE,0.00606735822010481,-0.0038517219131501,0.332880164158181
"bivt",0.005,1000,"0.1",TRUE,0.00521689146149498,-0.00350588243883147,0.332880164158181
"bivt",0.005,1000,"0.01",TRUE,0.00774661795086627,-0.00442956060924644,0.332880164158181
"bivt",0.005,1000,"0.05",TRUE,0.00637169808646591,-0.00366252322361036,0.338220839641718
"bivt",0.005,1000,"0.1",TRUE,0.00527848763887055,-0.00337695828837974,0.338220839641718
"bivt",0.005,1000,"0.01",TRUE,0.00994162209533847,-0.00420774704817145,0.338220839641718
"bivt",0.005,1000,"0.05",TRUE,0.00615274031331982,-0.00403283316887592,0.31992834035208
"bivt",0.005,1000,"0.1",TRUE,0.00522317922060757,-0.00367038492186372,0.31992834035208
"bivt",0.005,1000,"0.01",TRUE,0.00785787982510356,-0.00447123447900142,0.31992834035208
"bivt",0.005,1000,"0.05",TRUE,0.00570312173504752,-0.00380474942006884,0.307777515236528
"bivt",0.005,1000,"0.1",TRUE,0.00488970760957589,-0.00342168710423801,0.307777515236528
"bivt",0.005,1000,"0.01",TRUE,0.00753684174241223,-0.00433206040483148,0.307777515236528
"bivt",0.005,1000,"0.05",TRUE,0.00584789265099321,-0.00375076149125797,0.271479184894022
"bivt",0.005,1000,"0.1",TRUE,0.00495842708129767,-0.00343033303465593,0.271479184894022
"bivt",0.005,1000,"0.01",TRUE,0.00748439489117252,-0.00422722857764229,0.271479184894022
"bivt",0.005,1000,"0.05",TRUE,0.00611293854271526,-0.00399606598234778,0.327967603683437
"bivt",0.005,1000,"0.1",TRUE,0.00535399943140379,-0.00365708675344429,0.327967603683437
"bivt",0.005,1000,"0.01",TRUE,0.0076314717656306,-0.0045640653975646,0.327967603683437
"bivt",0.005,1000,"0.05",TRUE,0.00623710141277304,-0.00363311947178544,0.295511640218545
"bivt",0.005,1000,"0.1",TRUE,0.00533863903795405,-0.00334934570602422,0.295511640218545
"bivt",0.005,1000,"0.01",TRUE,0.00817293175219181,-0.00412797346704899,0.295511640218545
"bivt",0.005,1000,"0.05",TRUE,0.00398444012370281,-0.00310475824645433,0.373325705361921
"bivt",0.005,1000,"0.1",TRUE,0.00349739273266781,-0.00281378961553219,0.373325705361921
"bivt",0.005,1000,"0.01",TRUE,0.0050351415464802,-0.00370855198013626,0.373325705361921
"bivt",0.005,1000,"0.05",TRUE,0.00629693047096566,-0.00389285969164178,0.331312113877321
"bivt",0.005,1000,"0.1",TRUE,0.00533737069448026,-0.00359437663128464,0.331312113877321
"bivt",0.005,1000,"0.01",TRUE,0.0082802515175186,-0.00429398669515976,0.331312113877321
"bivt",0.005,1000,"0.05",TRUE,0.00864494148688863,-0.00466804374810645,0.292916596276657
"bivt",0.005,1000,"0.1",TRUE,0.00718682563964701,-0.00430773440568469,0.292916596276657
"bivt",0.005,1000,"0.01",TRUE,0.0113708781540864,-0.00514728124204136,0.292916596276657
"bivt",0.005,1000,"0.05",TRUE,0.00832124315986811,-0.00427801340777102,0.218970021948196
"bivt",0.005,1000,"0.1",TRUE,0.00703905773705531,-0.00394274864710353,0.218970021948196
"bivt",0.005,1000,"0.01",TRUE,0.0117921409020347,-0.0048272465754219,0.218970021948196
"bivt",0.005,1000,"0.05",TRUE,0.00959437757422166,-0.00472334019302539,0.223416697187935
"bivt",0.005,1000,"0.1",TRUE,0.00794430252674148,-0.00435174944890716,0.223416697187935
"bivt",0.005,1000,"0.01",TRUE,0.0125750053671177,-0.0053461541955797,0.223416697187935
"bivt",0.005,1000,"0.05",TRUE,0.0174799402090683,-0.00565407957074503,0.20413129223529
"bivt",0.005,1000,"0.1",TRUE,0.0135701398915113,-0.00525921839748237,0.20413129223529
"bivt",0.005,1000,"0.01",TRUE,0.0243419420722326,-0.00620696440858441,0.20413129223529
"bivt",0.005,1000,"0.05",TRUE,0.00471623128747363,-0.00334033509751439,0.40148436616514
"bivt",0.005,1000,"0.1",TRUE,0.00401245698236106,-0.00301582917173673,0.40148436616514
"bivt",0.005,1000,"0.01",TRUE,0.00626329908178955,-0.003967521691177,0.40148436616514
"bivt",0.005,1000,"0.05",TRUE,0.00579169873590977,-0.00387462645169415,0.319610836161909
"bivt",0.005,1000,"0.1",TRUE,0.00505604181844366,-0.00352205134308598,0.319610836161909
"bivt",0.005,1000,"0.01",TRUE,0.00769450389803989,-0.00447369987871232,0.319610836161909
"bivt",0.005,1000,"0.05",TRUE,0.00710759657450856,-0.00443532665616335,0.3323041980185
"bivt",0.005,1000,"0.1",TRUE,0.00616571642133757,-0.00408100606970235,0.3323041980185
"bivt",0.005,1000,"0.01",TRUE,0.00895129814299561,-0.00500987176614511,0.3323041980185
"bivt",0.005,1000,"0.05",TRUE,0.00617618461162423,-0.0039393678688705,0.337063304387311
"bivt",0.005,1000,"0.1",TRUE,0.00527154412421695,-0.00358895166148159,0.337063304387311
"bivt",0.005,1000,"0.01",TRUE,0.00835134092196266,-0.00453006508659669,0.337063304387311
"bivt",0.005,1000,"0.05",TRUE,0.00577744485700487,-0.00400998625582437,0.364058760653812
"bivt",0.005,1000,"0.1",TRUE,0.00490485787007143,-0.00354522247753961,0.364058760653812
"bivt",0.005,1000,"0.01",TRUE,0.00738155773399862,-0.00458436876655678,0.364058760653812
"bivt",0.005,1000,"0.05",TRUE,0.00736950999128992,-0.00440242186553446,0.23770967840948
"bivt",0.005,1000,"0.1",TRUE,0.00631014437404049,-0.00405111185238084,0.23770967840948
"bivt",0.005,1000,"0.01",TRUE,0.0100298270794277,-0.00506823781304768,0.23770967840948
"bivt",0.005,1000,"0.05",TRUE,0.0077963294711056,-0.00458253092513117,0.327900141954118
"bivt",0.005,1000,"0.1",TRUE,0.00647345055075404,-0.00412521946792156,0.327900141954118
"bivt",0.005,1000,"0.01",TRUE,0.0106475598858942,-0.00532057872887305,0.327900141954118
"bivt",0.005,1000,"0.05",TRUE,0.00751229614025492,-0.00449764733875783,0.25115344925078
"bivt",0.005,1000,"0.1",TRUE,0.00630063669969249,-0.00413810557475274,0.25115344925078
"bivt",0.005,1000,"0.01",TRUE,0.00956534180809102,-0.00502114936027679,0.25115344925078
"bivt",0.005,1000,"0.05",TRUE,0.00658452019809846,-0.00408578357126578,0.303102050643324
"bivt",0.005,1000,"0.1",TRUE,0.00551164419249146,-0.00362292297547504,0.303102050643324
"bivt",0.005,1000,"0.01",TRUE,0.0089291239201242,-0.00482805984207142,0.303102050643324
"bivt",0.005,1000,"0.05",TRUE,0.00729880245711702,-0.00421115599451344,0.245456329774889
"bivt",0.005,1000,"0.1",TRUE,0.00622787288670179,-0.00379562282610854,0.245456329774889
"bivt",0.005,1000,"0.01",TRUE,0.00950638521590709,-0.00487656450985676,0.245456329774889
"bivt",0.005,1000,"0.05",TRUE,0.00535312373476451,-0.00342748695844626,0.321012392647734
"bivt",0.005,1000,"0.1",TRUE,0.00456129223570413,-0.00313104757924886,0.321012392647734
"bivt",0.005,1000,"0.01",TRUE,0.00710816291700575,-0.00391523671944343,0.321012392647734
"bivt",0.005,1000,"0.05",TRUE,0.00642893247542821,-0.00384479726711571,0.266635373419453
"bivt",0.005,1000,"0.1",TRUE,0.00552758272796908,-0.00349604633462909,0.266635373419453
"bivt",0.005,1000,"0.01",TRUE,0.00795881604155688,-0.00436303786375023,0.266635373419453
"bivt",0.005,1000,"0.05",TRUE,0.00529146617468272,-0.00368732806004662,0.242055447781855
"bivt",0.005,1000,"0.1",TRUE,0.00461900678051242,-0.00333570309775102,0.242055447781855
"bivt",0.005,1000,"0.01",TRUE,0.00728344408481171,-0.00420518434311869,0.242055447781855
"bivt",0.005,1000,"0.05",TRUE,0.0057786190468092,-0.00397914061437123,0.237873208680851
"bivt",0.005,1000,"0.1",TRUE,0.00486491261195885,-0.00362800466124853,0.237873208680851
"bivt",0.005,1000,"0.01",TRUE,0.00707442773297551,-0.00456746023993201,0.237873208680851
"bivt",0.005,1000,"0.05",TRUE,0.0062083982116076,-0.00384180914404366,0.3046655541051
"bivt",0.005,1000,"0.1",TRUE,0.00539034092823828,-0.0034992524802389,0.3046655541051
"bivt",0.005,1000,"0.01",TRUE,0.00820627501170052,-0.0043050850539769,0.3046655541051
"bivt",0.005,1000,"0.05",TRUE,0.00506448513384404,-0.00321558447026491,0.325657700711557
"bivt",0.005,1000,"0.1",TRUE,0.0043146293732796,-0.00296106093121963,0.325657700711557
"bivt",0.005,1000,"0.01",TRUE,0.006858015891751,-0.00379878601550547,0.325657700711557
"bivt",0.005,1000,"0.05",TRUE,0.00586741970485227,-0.00433654857697016,0.31572602998626
"bivt",0.005,1000,"0.1",TRUE,0.00502432913122666,-0.00386345990620657,0.31572602998626
