"dist","p","n","alpha","is_covered","c_plus_adj","c_minus_adj","c_plus_raw","c_minus_raw","beta_frac_pos","beta_frac_neg","b_marg","B_marg1","B_marg2","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.033068878825791,-0.00416622554381019,0.0106149374802486,-0.0036496318127516,0.197308281612975,0.606307778357255,0.284861354369163,-0.181365606175397,0.12562229150883,-0.249522058628354,0.10004326402493,9e-04,0.54,FALSE,8.47510075107457,8.97706631274254,1.0027788607674,1.10582881863842
"t4copula_loggamma",0.005,1000,"0.1",TRUE,0.0260290992542828,-0.00391753587678022,0.00772738940227997,-0.00324685788227008,0.197308281612975,0.606307778357255,0.284861354369163,-0.181365606175397,0.12562229150883,-0.249522058628354,0.10004326402493,9e-04,0.54,FALSE,7.80107307647307,8.2501491404273,0.920640817157548,1.01020968130413
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.0372164493475992,-0.00461055689679418,0.0123161710440035,-0.00436926398571185,0.197308281612975,0.606307778357255,0.284861354369163,-0.181365606175397,0.12562229150883,-0.249522058628354,0.10004326402493,9e-04,0.54,FALSE,10.4509945627761,11.0906176684886,1.22769499874056,1.3947682800788
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.024229630675019,-0.0040926296142611,0.00698929071827461,-0.0039344206271371,0.036585069618929,0.767030990351301,0.124138142375117,0.0232929922807543,-0.0790363069473212,0.17640785064773,0.429262400113878,4e-04,0.7114,FALSE,8.58812500686576,9.42015752586045,1.1120892460973,1.27374002702029
"t4copula_loggamma",0.005,1000,"0.1",TRUE,0.0216078842095171,-0.00381201039169429,0.00591391344396046,-0.00360487267197378,0.036585069618929,0.767030990351301,0.124138142375117,0.0232929922807543,-0.0790363069473212,0.17640785064773,0.429262400113878,4e-04,0.7114,FALSE,7.37460729966812,8.00766422316147,0.95348757794697,1.08308332851228
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.0323430609972287,-0.00453210745785215,0.0103172244830543,-0.00445052577264451,0.036585069618929,0.767030990351301,0.124138142375117,0.0232929922807543,-0.0790363069473212,0.17640785064773,0.429262400113878,4e-04,0.7114,FALSE,11.8498721879213,13.3578354400574,1.53469007097723,1.81908335638814
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.0359647275855538,-0.00476777733751134,0.00718366154941899,-0.00439086742590649,0.518754705601067,0.767030990351301,0.445584566363209,-0.283694905403472,-0.181365606175397,0.0941595507722266,0.108393387663109,5e-04,0.831,FALSE,12.3247320560196,12.8747859164071,1.5990981187071,1.63144394694865
"t4copula_loggamma",0.005,1000,"0.1",TRUE,0.0328098514117891,-0.00475630175955423,0.00624534349393581,-0.00436076636572006,0.518754705601067,0.767030990351301,0.445584566363209,-0.283694905403472,-0.181365606175397,0.0941595507722266,0.108393387663109,5e-04,0.831,FALSE,12.1640630677982,12.7102554339148,1.57860753916751,1.60991962159596
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.0436759077908248,-0.00480401863212202,0.00947710801678259,-0.00448593029719607,0.518754705601067,0.767030990351301,0.445584566363209,-0.283694905403472,-0.181365606175397,0.0941595507722266,0.108393387663109,5e-04,0.831,FALSE,12.8961667315364,13.4599971190811,1.67230869988369,1.70820980547325
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.0282949433445029,-0.00449539863753133,0.0099063824557449,-0.00396740356136077,0.358031493607021,0.445584566363209,0.358031493607021,0.12562229150883,0.227951590736905,-0.0342099331100687,0.0800380086169508,2e-04,0.5772,FALSE,7.95601127084972,8.17936841450436,1.09310199295393,1.15374066246068
"t4copula_loggamma",0.005,1000,"0.1",TRUE,0.0222849974697486,-0.00423198852963824,0.00721568703030264,-0.00342837144701752,0.358031493607021,0.445584566363209,0.358031493607021,0.12562229150883,0.227951590736905,-0.0342099331100687,0.0800380086169508,2e-04,0.5772,FALSE,6.85869376037268,7.06190509719479,0.939925106636467,0.995401677735374
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.0379094905740401,-0.00475198935711058,0.0142108834924156,-0.00449248074690218,0.358031493607021,0.445584566363209,0.358031493607021,0.12562229150883,0.227951590736905,-0.0342099331100687,0.0800380086169508,2e-04,0.5772,FALSE,9.51827549281639,9.8078629539528,1.30994552752431,1.38872690608067
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.0282578929042384,-0.00464480406880832,0.00661618953641768,-0.00442473017473671,0.197308281612975,0.767030990351301,0.284861354369163,-0.181365606175397,0.12562229150883,0.500761657560196,0.431987308940732,1e-04,0.7448,FALSE,11.6169623790322,14.0873887503451,1.70865036624558,2.15812234305593
"t4copula_loggamma",0.005,1000,"0.1",TRUE,0.0255184013622111,-0.00421130857740117,0.00565935041623556,-0.00372264759525005,0.197308281612975,0.767030990351301,0.284861354369163,-0.181365606175397,0.12562229150883,0.500761657560196,0.431987308940732,1e-04,0.7448,FALSE,7.5460151556247,9.05296070529699,1.11178427907318,1.36933801861614
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.0346368597705461,-0.00467988468214756,0.00884421066748924,-0.00448154619241484,0.197308281612975,0.767030990351301,0.284861354369163,-0.181365606175397,0.12562229150883,0.500761657560196,0.431987308940732,1e-04,0.7448,FALSE,12.2652621811864,14.9015670493243,1.80406728270294,2.28790396771186
