"dist","p","n","alpha","sim","w","g","raw_lo","raw_hi","status","eta_hat","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac"
"bivgauss",5e-04,10000,"0.05",1,0.978979045749255,-0.682230777478117,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.977054941025699,-0.644089073387926,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.974910342673217,-0.603978930323387,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.97251699897675,-0.5725655781355,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.969843047707719,-0.528420095863371,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.966852073992333,-0.482187024679252,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.963503389885226,-0.433860407866855,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.959751016520575,-0.383424261796363,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.955543295651711,-0.362358090519763,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.950822376601437,-0.31797742227649,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.94552373260155,-0.271384215775157,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.93957574104842,-0.212492269265916,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.932899373840283,-0.171628535975138,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.925408057661666,-0.157291056849847,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.917007779501241,-0.0922529524620295,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.907597529008962,-0.0626678755510928,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.897069546967072,0.00628677979124037,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.885313348603862,0.0409002487909884,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.872213979972554,0.0784790186889829,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.857657571864929,0.102323812503575,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.841534548133387,0.161939113423708,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.823744448138969,0.217527258047538,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.804201688132556,0.232833205060757,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.782842131696931,0.26919354204045,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.759630201711385,0.289638543964823,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.734566107716925,0.30454748084962,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.707692602390677,0.326997591094893,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.679100548579899,0.376195118720534,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.648932510816997,0.353312904790164,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.61738361962599,0.333566618125857,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.584699120157097,0.339571969013125,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.551168313371216,0.380753592622761,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.517115001341857,0.393447488051252,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.482884998658143,0.421451859257022,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.448831686628784,0.400159521457551,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.415300879842903,0.39013300397419,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.38261638037401,0.36044072021127,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.351067489183003,0.337648056050603,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.320899451420101,0.314443663279158,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.292307397609323,0.321704489776702,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.265433892283075,0.339609366695366,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.240369798288615,0.362127768681992,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.217157868303069,0.346267231014649,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.195798311867444,0.331286324191156,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.176255551861031,0.340620332996468,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.158465451866613,0.324609630779462,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.142342428135071,0.295861653884687,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.127786020027446,0.253419593515692,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.114686651396138,0.228831998507365,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.102930453032928,0.208957126467605,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.0924024709910383,0.203617003804797,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.082992220498759,0.1952531921073,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.0745919423383338,0.189797655306078,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.0671006261597174,0.1498953819778,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.0604242589515801,0.120925795000346,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.0544762673984501,0.103106844213312,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.0491776233985626,0.103700472029427,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.0444567043482886,0.0832118297730476,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.0402489834794247,0.0714535939351904,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.0364966101147742,0.0514202046175508,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.0331479260076667,0.0329890259482873,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.030156952292281,0.0265142537093625,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.02748300102325,0.000781316457110201,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.0250896573267827,-0.013432291871138,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.0229450589743014,-0.0255268427558333,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",1,0.0210209542507455,-0.0472821070201433,-1.62808399367915,0.845777010802401,"covered",0.929554406801483,-0.286402154604028,-0.168025346649673,0,0.578
"bivgauss",5e-04,10000,"0.05",2,0.978979045749255,-0.51080383766152,-1.40650636917552,0.959317978455615,"covered",0.840560717663591,-0.208057452031591,-0.219384129393576,0,0.686
"bivgauss",5e-04,10000,"0.05",2,0.977054941025699,-0.480837445529591,-1.40650636917552,0.959317978455615,"covered",0.840560717663591,-0.208057452031591,-0.219384129393576,0,0.686
"bivgauss",5e-04,10000,"0.05",2,0.974910342673217,-0.449165719978269,-1.40650636917552,0.959317978455615,"covered",0.840560717663591,-0.208057452031591,-0.219384129393576,0,0.686
"bivgauss",5e-04,10000,"0.05",2,0.97251699897675,-0.415733578529729,-1.40650636917552,0.959317978455615,"covered",0.840560717663591,-0.208057452031591,-0.219384129393576,0,0.686
"bivgauss",5e-04,10000,"0.05",2,0.969843047707719,-0.38049936483598,-1.40650636917552,0.959317978455615,"covered",0.840560717663591,-0.208057452031591,-0.219384129393576,0,0.686
"bivgauss",5e-04,10000,"0.05",2,0.966852073992333,-0.343387852111012,-1.40650636917552,0.959317978455615,"covered",0.840560717663591,-0.208057452031591,-0.219384129393576,0,0.686
