"dist","p","n","alpha","is_covered","c_plus_raw","c_minus_raw","xi_hat","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"t4copula_loggamma",0.005,1000,"0.05",FALSE,0.00476405776491814,-0.00197239794180544,0.25,FALSE,1.77253744970031,1.99048096492476,0.287689840274654,0.287689840274655
"t4copula_loggamma",0.005,1000,"0.1",FALSE,0.00398617064804088,-0.00177475037961297,0.25,FALSE,1.5536734447646,1.74470639141412,0.252167346443864,0.252167346443864
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.00671901246397074,-0.00228047409065465,0.25,FALSE,2.19491824666643,2.46479587232091,0.356243914567872,0.356243914567872
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.00385825233628413,-0.00202656515305374,0.25,FALSE,1.69628618327695,1.84991387168947,0.27197547169158,0.27197547169158
"t4copula_loggamma",0.005,1000,"0.1",TRUE,0.00323816458789232,-0.00191365506957122,0.25,FALSE,1.53144277038391,1.67014107204409,0.245545164459917,0.245545164459917
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.00508660101289946,-0.0022852337564902,0.25,FALSE,2.03242145798173,2.21649193709543,0.325870003635123,0.325870003635123
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.00403852236962871,-0.00190719829777869,0.25,FALSE,1.66703186730037,1.78894561214065,0.265179826783948,0.265179826783948
"t4copula_loggamma",0.005,1000,"0.1",TRUE,0.00348679762328137,-0.00176078720927978,0.25,FALSE,1.49949430691479,1.60915565767152,0.238529117751732,0.238529117751732
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.00531819909204223,-0.00221134651592413,0.25,FALSE,2.02940836350808,2.17782350676873,0.322824157633214,0.322824157633214
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.00391065608998034,-0.00221318922353044,0.25,FALSE,1.87045287484531,1.98654923462586,0.291856407016046,0.291856407016046
"t4copula_loggamma",0.005,1000,"0.1",TRUE,0.00340408672119861,-0.00201825846290856,0.25,FALSE,1.66437692296144,1.76768244038837,0.259701313616961,0.259701313616961
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.00593562308790472,-0.00254658455471753,0.25,FALSE,2.38734597933263,2.53552516174597,0.372509903458459,0.37250990345846
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.00600335571466154,-0.00228109002094325,0.25,FALSE,2.16059538487686,2.30929790041836,0.343477399060665,0.343477399060665
