"dist","p","n","alpha","is_covered","c_plus_raw","c_minus_raw","b_marg","B_marg1","B_marg2","eta_hat","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"bivgauss",0.005,1000,"0.05",TRUE,0.0101642131479477,-0.00429182104491048,0.663226993018081,0.12562229150883,-0.283694905403472,0.671843231735084,-0.660017725224112,-0.635899416522017,0.0306,0.9784,FALSE,1.19823224550454,1.37630625747036,0.415462699671266,0.467067269869476
"bivgauss",0.005,1000,"0.1",TRUE,0.00889317366838359,-0.00417619492782206,0.663226993018081,0.12562229150883,-0.283694905403472,0.671843231735084,-0.660017725224112,-0.635899416522017,0.0306,0.9784,FALSE,1.10185009000959,1.28812246692651,0.388125844640553,0.43815860322569
"bivgauss",0.005,1000,"0.01",TRUE,0.0125391877664153,-0.00449072352969653,0.663226993018081,0.12562229150883,-0.283694905403472,0.671843231735084,-0.660017725224112,-0.635899416522017,0.0306,0.9784,FALSE,1.35374880581678,1.53518303879517,0.462964447910626,0.520984153627178
"bivgauss",0.005,1000,"0.05",TRUE,0.0106382666672133,-0.00439401671523097,0.34577413151484,0.0232929922807543,-0.181365606175397,0.823836511774847,-0.292382496209165,-0.122921235255783,0.0062,0.8228,FALSE,1.57964545334862,1.703233298471,0.515164821698824,0.581944694833774
"bivgauss",0.005,1000,"0.1",TRUE,0.00885183158908209,-0.00421225849788919,0.34577413151484,0.0232929922807543,-0.181365606175397,0.823836511774847,-0.292382496209165,-0.122921235255783,0.0062,0.8228,FALSE,1.40405989699165,1.50128608028446,0.45805567186437,0.517081249645775
"bivgauss",0.005,1000,"0.01",TRUE,0.0133660801779519,-0.00447372933990251,0.34577413151484,0.0232929922807543,-0.181365606175397,0.823836511774847,-0.292382496209165,-0.122921235255783,0.0062,0.8228,FALSE,1.72851395435153,1.85601099948146,0.56331154057911,0.632461247961533
"bivgauss",0.005,1000,"0.05",TRUE,0.0136257181559264,-0.00433990616426894,0.408329285107397,-0.0790363069473212,-0.181365606175397,0.697626559638602,-0.165864665024615,-0.233000236365574,0.0066,0.7462,FALSE,1.20506042913568,1.43523354247857,0.42410270515738,0.553727076283767
"bivgauss",0.005,1000,"0.1",TRUE,0.0107921824044215,-0.0041337328956008,0.408329285107397,-0.0790363069473212,-0.181365606175397,0.697626559638602,-0.165864665024615,-0.233000236365574,0.0066,0.7462,FALSE,1.05185979547972,1.26735573124196,0.368507325819436,0.479617147171129
"bivgauss",0.005,1000,"0.01",TRUE,0.0188070609968243,-0.00445824566492055,0.408329285107397,-0.0790363069473212,-0.181365606175397,0.697626559638602,-0.165864665024615,-0.233000236365574,0.0066,0.7462,FALSE,1.37599206707294,1.61729861115831,0.490594875664995,0.611021482286545
"bivgauss",0.005,1000,"0.05",TRUE,0.00886228197694838,-0.00411666367267762,0.380916507451294,-0.181365606175397,0.0232929922807543,0.747831476968971,-0.00989158294582486,-0.701430386098196,0.0339,0.9136,FALSE,0.963179426117633,1.12126179316287,0.314101996964632,0.417779010499601
