"dist","p","n","method","alpha","is_covered","c_plus_raw","c_minus_raw","b_marg","B_marg1","B_marg2","eta_hat","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac","n_truth_pts"
"bivgauss",0.005,1000,"percoord_full","0.05",TRUE,0.0112688557528284,-0.00435280778507674,0.548386136919353,-0.0790363069473212,-0.283694905403472,0.81253798439609,-0.302849907483904,-0.39812879233608,0.0167,0.8822,50
"bivgauss",0.005,1000,"percoord_full","0.1",TRUE,0.010159486643578,-0.00406207313135363,0.548386136919353,-0.0790363069473212,-0.283694905403472,0.81253798439609,-0.302849907483904,-0.39812879233608,0.0167,0.8822,50
"bivgauss",0.005,1000,"percoord_full","0.01",TRUE,0.0133886577176322,-0.00449786959205625,0.548386136919353,-0.0790363069473212,-0.283694905403472,0.81253798439609,-0.302849907483904,-0.39812879233608,0.0167,0.8822,50
"bivgauss",0.005,1000,"percoord_interior","0.05",TRUE,0.0112688557528284,-0.00435280778507674,0.548386136919353,-0.0790363069473212,-0.283694905403472,0.81253798439609,-0.302849907483904,-0.39812879233608,0.0167,0.8822,34
"bivgauss",0.005,1000,"percoord_interior","0.1",TRUE,0.010159486643578,-0.00406207313135363,0.548386136919353,-0.0790363069473212,-0.283694905403472,0.81253798439609,-0.302849907483904,-0.39812879233608,0.0167,0.8822,34
"bivgauss",0.005,1000,"percoord_interior","0.01",TRUE,0.0133886577176322,-0.00449786959205625,0.548386136919353,-0.0790363069473212,-0.283694905403472,0.81253798439609,-0.302849907483904,-0.39812879233608,0.0167,0.8822,34
"bivgauss",0.005,1000,"hrv_interior","0.05",TRUE,0.0112736838433065,-0.00439909366206648,0.548386136919353,-0.0790363069473212,-0.283694905403472,0.81253798439609,-0.302849907483904,-0.39812879233608,0.0167,0.8822,34
"bivgauss",0.005,1000,"hrv_interior","0.1",TRUE,0.0102628477857078,-0.00404022415739738,0.548386136919353,-0.0790363069473212,-0.283694905403472,0.81253798439609,-0.302849907483904,-0.39812879233608,0.0167,0.8822,34
"bivgauss",0.005,1000,"hrv_interior","0.01",TRUE,0.0128866397052042,-0.00450934276201283,0.548386136919353,-0.0790363069473212,-0.283694905403472,0.81253798439609,-0.302849907483904,-0.39812879233608,0.0167,0.8822,34
"bivgauss",0.005,1000,"percoord_full","0.05",TRUE,0.0106086619499416,-0.00423820581351266,0.645712354939822,0.0232929922807543,-0.283694905403472,0.690066657319475,-0.000266347907976495,-0.663121706243433,0.019,0.9648,50
"bivgauss",0.005,1000,"percoord_full","0.1",TRUE,0.00929106953288721,-0.00406054774008113,0.645712354939822,0.0232929922807543,-0.283694905403472,0.690066657319475,-0.000266347907976495,-0.663121706243433,0.019,0.9648,50
"bivgauss",0.005,1000,"percoord_full","0.01",TRUE,0.0138401411077979,-0.00449133560300343,0.645712354939822,0.0232929922807543,-0.283694905403472,0.690066657319475,-0.000266347907976495,-0.663121706243433,0.019,0.9648,50
"bivgauss",0.005,1000,"percoord_interior","0.05",TRUE,0.0106086619499416,-0.00423820581351266,0.645712354939822,0.0232929922807543,-0.283694905403472,0.690066657319475,-0.000266347907976495,-0.663121706243433,0.019,0.9648,34
"bivgauss",0.005,1000,"percoord_interior","0.1",TRUE,0.00929106953288721,-0.00406054774008113,0.645712354939822,0.0232929922807543,-0.283694905403472,0.690066657319475,-0.000266347907976495,-0.663121706243433,0.019,0.9648,34
"bivgauss",0.005,1000,"percoord_interior","0.01",TRUE,0.0138401411077979,-0.00449133560300343,0.645712354939822,0.0232929922807543,-0.283694905403472,0.690066657319475,-0.000266347907976495,-0.663121706243433,0.019,0.9648,34
"bivgauss",0.005,1000,"hrv_interior","0.05",TRUE,0.00935915819980958,-0.0040861983489532,0.645712354939822,0.0232929922807543,-0.283694905403472,0.690066657319475,-0.000266347907976495,-0.663121706243433,0.019,0.9648,34
"bivgauss",0.005,1000,"hrv_interior","0.1",TRUE,0.00830223005890867,-0.00375949401256049,0.645712354939822,0.0232929922807543,-0.283694905403472,0.690066657319475,-0.000266347907976495,-0.663121706243433,0.019,0.9648,34
"bivgauss",0.005,1000,"hrv_interior","0.01",TRUE,0.011809079816924,-0.00448197314208848,0.645712354939822,0.0232929922807543,-0.283694905403472,0.690066657319475,-0.000266347907976495,-0.663121706243433,0.019,0.9648,34
"bivgauss",0.005,1000,"percoord_full","0.05",TRUE,0.0144932580237012,-0.00426745109912818,0.164173635777065,0.0232929922807543,-0.0790363069473212,0.756139326436598,0.0512760458533118,0.0889379286849695,0.0025,0.462,50
"bivgauss",0.005,1000,"percoord_full","0.1",TRUE,0.0108421398794848,-0.00388247765320638,0.164173635777065,0.0232929922807543,-0.0790363069473212,0.756139326436598,0.0512760458533118,0.0889379286849695,0.0025,0.462,50
"bivgauss",0.005,1000,"percoord_full","0.01",TRUE,0.0202874757663222,-0.00447118337567527,0.164173635777065,0.0232929922807543,-0.0790363069473212,0.756139326436598,0.0512760458533118,0.0889379286849695,0.0025,0.462,50
