"dist","p","n","alpha","is_covered","c_plus_raw","c_minus_raw","b_marg","B_marg1","B_marg2","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"t4copula_t4t10margs",0.005,1000,"0.05",TRUE,0.00818973580187256,-0.00396411998561686,0.445584566363209,-0.283694905403472,0.12562229150883,0.271534093637593,-0.404158676572123,0.0061,0.7628,FALSE,2.71538379745443,3.41169300762497,0.627745784879875,0.800377770231443
"t4copula_t4t10margs",0.005,1000,"0.1",TRUE,0.00736390860434887,-0.00335980843469534,0.445584566363209,-0.283694905403472,0.12562229150883,0.271534093637593,-0.404158676572123,0.0061,0.7628,FALSE,2.08238480903395,2.56962671782107,0.481408594131674,0.604132778897149
"t4copula_t4t10margs",0.005,1000,"0.01",TRUE,0.00957283553013523,-0.00447218087987874,0.445584566363209,-0.283694905403472,0.12562229150883,0.271534093637593,-0.404158676572123,0.0061,0.7628,FALSE,3.77246986302617,4.78668278054359,0.874439665376006,1.13197027669875
"t4copula_t4t10margs",0.005,1000,"0.05",TRUE,0.00744653823133708,-0.00426834328689757,0.284861354369163,-0.181365606175397,-0.0790363069473212,0.29500473104325,-0.0191931091133768,3e-04,0.6162,FALSE,4.80216249597772,6.356846860295,1.09219877487869,1.26589312055437
"t4copula_t4t10margs",0.005,1000,"0.1",TRUE,0.00612344915657494,-0.00345849992286381,0.284861354369163,-0.181365606175397,-0.0790363069473212,0.29500473104325,-0.0191931091133768,3e-04,0.6162,FALSE,3.01650448141753,4.03047601538252,0.686070569620027,0.802623057085152
"t4copula_t4t10margs",0.005,1000,"0.01",TRUE,0.0108647227247748,-0.00447747823564035,0.284861354369163,-0.181365606175397,-0.0790363069473212,0.29500473104325,-0.0191931091133768,3e-04,0.6162,FALSE,5.89646081984885,7.82721948476157,1.34108508046689,1.55870095923138
"t4copula_t4t10margs",0.005,1000,"0.05",TRUE,0.0103013152201789,-0.00441526525712372,0.284861354369163,-0.181365606175397,0.0232929922807543,0.0685248164951577,-0.258535575290055,0.0039,0.6874,FALSE,3.51215674422475,3.94384405241504,0.772088946252401,0.873136668702435
"t4copula_t4t10margs",0.005,1000,"0.1",TRUE,0.00674971612578285,-0.00370843622254638,0.284861354369163,-0.181365606175397,0.0232929922807543,0.0685248164951577,-0.258535575290055,0.0039,0.6874,FALSE,2.33458374270856,2.65077365845446,0.517893538440378,0.590327123674267
"t4copula_t4t10margs",0.005,1000,"0.01",TRUE,0.012407270155384,-0.00447312413281367,0.284861354369163,-0.181365606175397,0.0232929922807543,0.0685248164951577,-0.258535575290055,0.0039,0.6874,FALSE,3.69787038228287,4.21982189799404,0.825265713483762,0.930554140699639
"t4copula_t4t10margs",0.005,1000,"0.05",TRUE,0.0105365977414348,-0.00400636624509368,0.036585069618929,0.0232929922807543,0.0232929922807543,-0.150690781500324,-0.0694558591200965,9e-04,0.5766,FALSE,3.06442876541366,3.19236085423317,0.652511776653557,0.761001160129631
"t4copula_t4t10margs",0.005,1000,"0.1",TRUE,0.00787702443896797,-0.00344422657434183,0.036585069618929,0.0232929922807543,0.0232929922807543,-0.150690781500324,-0.0694558591200965,9e-04,0.5766,FALSE,2.42079671232227,2.52205045021825,0.51122819659431,0.579647157829935
"t4copula_t4t10margs",0.005,1000,"0.01",TRUE,0.013619881039141,-0.00446932152079919,0.036585069618929,0.0232929922807543,0.0232929922807543,-0.150690781500324,-0.0694558591200965,9e-04,0.5766,FALSE,3.86150101798837,3.98396099974858,0.815743061723637,0.976504365713025
