"dist","p","n","alpha","is_covered","c_plus_raw","c_minus_raw","b_marg","B_marg1","B_marg2","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.0106149374802486,-0.0036496318127516,0.284861354369163,-0.181365606175397,0.12562229150883,-0.249522058628354,0.10004326402493,9e-04,0.54,FALSE,6.11778691354684,6.45467216426901,0.733765694076992,0.771877548009043
"t4copula_loggamma",0.005,1000,"0.1",TRUE,0.00772738940227997,-0.00324685788227008,0.284861354369163,-0.181365606175397,0.12562229150883,-0.249522058628354,0.10004326402493,9e-04,0.54,FALSE,4.98842093688693,5.36357760054667,0.594936788378485,0.6340622491179
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.0123161710440035,-0.00436926398571185,0.284861354369163,-0.181365606175397,0.12562229150883,-0.249522058628354,0.10004326402493,9e-04,0.54,FALSE,8.32576662784637,8.69105273441022,0.992498548869804,1.0763070279892
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.00697160551262054,-0.00383197272576146,0.445584566363209,0.0232929922807543,-0.283694905403472,0.0879432116289205,0.175563924642947,4e-04,0.5152,FALSE,3.63100155388197,3.69907423556102,0.546680579982844,0.56277850530046
"t4copula_loggamma",0.005,1000,"0.1",TRUE,0.0059479186409566,-0.00334633964872954,0.445584566363209,0.0232929922807543,-0.283694905403472,0.0879432116289205,0.175563924642947,4e-04,0.5152,FALSE,2.89511922487344,2.93141849677614,0.435309698665302,0.447659560898473
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.010249567674234,-0.00446128749283874,0.445584566363209,0.0232929922807543,-0.283694905403472,0.0879432116289205,0.175563924642947,4e-04,0.5152,FALSE,5.44002991887523,5.49544208381542,0.811147918008478,0.848419411498652
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.00693964954593446,-0.00345550413876813,0.358031493607021,0.227951590736905,-0.181365606175397,0.709542233123665,0.701246366494181,0,0.2344,FALSE,9.40188346749758,10.6214918461049,1.09243117953123,1.24393942357773
"t4copula_loggamma",0.005,1000,"0.1",TRUE,0.00558767699206626,-0.00298875595505847,0.358031493607021,0.227951590736905,-0.181365606175397,0.709542233123665,0.701246366494181,0,0.2344,FALSE,7.04704172653861,7.96721675110816,0.816297122358453,0.933083144673956
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.0103659073752644,-0.00426796745914232,0.358031493607021,0.227951590736905,-0.181365606175397,0.709542233123665,0.701246366494181,0,0.2344,FALSE,18.4727337281187,20.7898533574289,2.14342581078695,2.43481034269112
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.00678961269173424,-0.00433030308764215,0.358031493607021,0.0232929922807543,0.227951590736905,0.289367608446975,0.803612190745234,3e-04,0.6074,FALSE,8.0586152271283,12.3076123782651,1.19326896596307,2.02386199189435
