"dist","p","n","alpha","is_covered","c_plus_adj","c_minus_adj","c_plus_raw","c_minus_raw","beta_max","xi_hat"
"bivt",0.005,1000,"0.05",TRUE,0.0121107194896503,-0.00858199460685207,0.0071060977817343,-0.00357737289893604,0.00500462170791603,0.273934671867992
"bivt",0.005,1000,"0.1",TRUE,0.0111785531978339,-0.0084285234903622,0.00617393148991783,-0.00342390178244617,0.00500462170791603,0.273934671867992
"bivt",0.005,1000,"0.01",TRUE,0.0132813693969288,-0.00889773897742539,0.00827674768901275,-0.00389311726950936,0.00500462170791603,0.273934671867992
"bivt",0.005,1000,"0.05",TRUE,0.0138148898221425,-0.00957105678253994,0.00720303599428603,-0.00295920295468346,0.00661185382785649,0.246279864010013
"bivt",0.005,1000,"0.1",TRUE,0.0126462976511635,-0.00941079092386878,0.00603444382330699,-0.00279893709601229,0.00661185382785649,0.246279864010013
"bivt",0.005,1000,"0.01",TRUE,0.0167353329219309,-0.00991638241853419,0.0101234790940744,-0.0033045285906777,0.00661185382785649,0.246279864010013
"bivt",0.005,1000,"0.05",TRUE,0.0146928304308794,-0.0105086912440589,0.00727736054305263,-0.0030932213562322,0.00741546988782672,0.24482827852248
"bivt",0.005,1000,"0.1",TRUE,0.0138217305028272,-0.0103694378270724,0.00640626061500053,-0.00295396793924563,0.00741546988782672,0.24482827852248
"bivt",0.005,1000,"0.01",TRUE,0.0172591508588315,-0.0108168777669178,0.00984368097100478,-0.00340140787909109,0.00741546988782672,0.24482827852248
"bivt",0.005,1000,"0.05",TRUE,0.00403432772346951,-0.00293602955075423,0.00304778631540464,-0.00194948814268936,0.000986541408064875,0.406723631968227
"bivt",0.005,1000,"0.1",TRUE,0.00365827184789726,-0.00276262176244242,0.00267173043983238,-0.00177608035437755,0.000986541408064875,0.406723631968227
"bivt",0.005,1000,"0.01",TRUE,0.00546735278187111,-0.00316594149224525,0.00448081137380624,-0.00217940008418038,0.000986541408064875,0.406723631968227
"bivt",0.005,1000,"0.05",TRUE,0.00541127797086841,-0.00434242356021719,0.00362112050283331,-0.00255226609218208,0.00179015746803511,0.275190352245989
"bivt",0.005,1000,"0.1",TRUE,0.00507340000630932,-0.00418213314916717,0.00328324253827422,-0.00239197568113207,0.00179015746803511,0.275190352245989
"bivt",0.005,1000,"0.01",TRUE,0.00674225058261355,-0.00469939847902755,0.00495209311457844,-0.00290924101099244,0.00179015746803511,0.275190352245989
"bivt",0.005,1000,"0.05",TRUE,0.00531073767870774,-0.00406626277592576,0.00388643090686192,-0.00264195600407995,0.00142430677184582,0.276127374897128
"bivt",0.005,1000,"0.1",TRUE,0.00488573962501584,-0.00391853350029246,0.00346143285317003,-0.00249422672844664,0.00142430677184582,0.276127374897128
"bivt",0.005,1000,"0.01",TRUE,0.00608234209904501,-0.00430599307779929,0.0046580353271992,-0.00288168630595348,0.00142430677184582,0.276127374897128
"bivt",0.005,1000,"0.05",TRUE,0.0101813763185855,-0.00808598726098434,0.00517675461066949,-0.00308136555306831,0.00500462170791603,0.264631158717356
"bivt",0.005,1000,"0.1",TRUE,0.00983786397459551,-0.00790619407129293,0.00483324226667948,-0.0029015723633769,0.00500462170791603,0.264631158717356
"bivt",0.005,1000,"0.01",TRUE,0.0111974788419292,-0.00844165005208085,0.00619285713401321,-0.00343702834416482,0.00500462170791603,0.264631158717356
"bivt",0.005,1000,"0.05",TRUE,0.0134759707089119,-0.00960652549527672,0.00686411688105544,-0.00299467166742024,0.00661185382785649,0.252438598426827
"bivt",0.005,1000,"0.1",TRUE,0.0120503582488273,-0.0094728530546822,0.00543850442097086,-0.00286099922682572,0.00661185382785649,0.252438598426827
"bivt",0.005,1000,"0.01",TRUE,0.0152244494297286,-0.0100500400460819,0.00861259560187208,-0.00343818621822544,0.00661185382785649,0.252438598426827
"bivt",0.005,1000,"0.05",TRUE,0.00554077925297714,-0.0044767649613296,0.00375062178494203,-0.0026866074932945,0.00179015746803511,0.342438557774649
"bivt",0.005,1000,"0.1",TRUE,0.00510465666659115,-0.00410956404865168,0.00331449919855604,-0.00231940658061657,0.00179015746803511,0.342438557774649
"bivt",0.005,1000,"0.01",TRUE,0.00660080953667053,-0.00478562178560681,0.00481065206863542,-0.00299546431757171,0.00179015746803511,0.342438557774649
"bivt",0.005,1000,"0.05",TRUE,0.0141956219904838,-0.00964031858836923,0.00758376816262735,-0.00302846476051274,0.00661185382785649,0.2550638572124
"bivt",0.005,1000,"0.1",TRUE,0.011677952254436,-0.00950322057052935,0.00506609842657951,-0.00289136674267286,0.00661185382785649,0.2550638572124
"bivt",0.005,1000,"0.01",TRUE,0.0165620633762651,-0.0102825043588348,0.00995020954840865,-0.00367065053097829,0.00661185382785649,0.2550638572124
"bivt",0.005,1000,"0.05",TRUE,0.00939523550981289,-0.00635996965347219,0.00519422986186709,-0.0021589640055264,0.0042010056479458,0.307942002068038
"bivt",0.005,1000,"0.1",TRUE,0.00822703939540632,-0.0062687032244848,0.00402603374746053,-0.002067697576539,0.0042010056479458,0.307942002068038
"bivt",0.005,1000,"0.01",TRUE,0.0120287016334584,-0.00665479814283054,0.00782769598551258,-0.00245379249488474,0.0042010056479458,0.307942002068038
"bivt",0.005,1000,"0.05",TRUE,0.010380959800866,-0.00780158727561678,0.00537633809294995,-0.00279696556770075,0.00500462170791603,0.327974130070327
"bivt",0.005,1000,"0.1",TRUE,0.00974377829526467,-0.00759109060495614,0.00473915658734864,-0.00258646889704012,0.00500462170791603,0.327974130070327
"bivt",0.005,1000,"0.01",TRUE,0.0121547017502005,-0.00813581270516656,0.00715008004228444,-0.00313119099725054,0.00500462170791603,0.327974130070327
"bivt",0.005,1000,"0.05",TRUE,0.0101822476968824,-0.00694751423679471,0.00598124204893662,-0.00274650858884892,0.0042010056479458,0.259733403093714
"bivt",0.005,1000,"0.1",TRUE,0.00919041922617228,-0.00672946220119969,0.00498941357822649,-0.0025284565532539,0.0042010056479458,0.259733403093714
"bivt",0.005,1000,"0.01",TRUE,0.0112835677752577,-0.00748987796222515,0.00708256212731186,-0.00328887231427935,0.0042010056479458,0.259733403093714
"bivt",0.005,1000,"0.05",TRUE,0.00585713261096278,-0.00356948336510886,0.00406697514292768,-0.00177932589707376,0.00179015746803511,0.377530590631363
"bivt",0.005,1000,"0.1",TRUE,0.00547676949715431,-0.00348829934199183,0.0036866120291192,-0.00169814187395673,0.00179015746803511,0.377530590631363
"bivt",0.005,1000,"0.01",TRUE,0.00716040059502827,-0.00383769539808164,0.00537024312699316,-0.00204753793004653,0.00179015746803511,0.377530590631363
"bivt",0.005,1000,"0.05",TRUE,0.020127668231963,-0.0128439147835435,0.0103013501642256,-0.0030175967158061,0.00982631806773741,0.24073499403152
"bivt",0.005,1000,"0.1",TRUE,0.0175374820309595,-0.0125655534455252,0.0077111639632221,-0.00273923537778778,0.00982631806773741,0.24073499403152
"bivt",0.005,1000,"0.01",TRUE,0.0216117155897673,-0.0133263751324718,0.0117853975220299,-0.00350005706473437,0.00982631806773741,0.24073499403152
"bivt",0.005,1000,"0.05",TRUE,0.00818626687221672,-0.00633954061415651,0.00478887728424116,-0.00294215102618095,0.00339738958797557,0.238342796597931
"bivt",0.005,1000,"0.1",TRUE,0.00756375743555506,-0.00612596546268145,0.0041663678475795,-0.00272857587470588,0.00339738958797557,0.238342796597931
"bivt",0.005,1000,"0.01",TRUE,0.00930076809122775,-0.0066956633625528,0.00590337850325219,-0.00329827377457723,0.00339738958797557,0.238342796597931
"bivt",0.005,1000,"0.05",TRUE,0.00646917937578632,-0.00493834268096691,0.00387540584778098,-0.00234456915296158,0.00259377352800534,0.293184792851978
"bivt",0.005,1000,"0.1",TRUE,0.00635854532202963,-0.00476561917897994,0.0037647717940243,-0.0021718456509746,0.00259377352800534,0.293184792851978
"bivt",0.005,1000,"0.01",TRUE,0.00843421200691146,-0.00531630288057097,0.00584043847890613,-0.00272252935256563,0.00259377352800534,0.293184792851978
"bivt",0.005,1000,"0.05",TRUE,0.00720166027429988,-0.00475885420411556,0.00541150280626478,-0.00296869673608046,0.00179015746803511,0.297589171880977
"bivt",0.005,1000,"0.1",TRUE,0.00649737703553094,-0.00444632492917517,0.00470721956749583,-0.00265616746114006,0.00179015746803511,0.297589171880977
"bivt",0.005,1000,"0.01",TRUE,0.00820029668992244,-0.00498848531653312,0.00641013922188733,-0.00319832784849801,0.00179015746803511,0.297589171880977
"bivt",0.005,1000,"0.05",TRUE,0.0138996909299326,-0.00967454097692778,0.00728783710207608,-0.0030626871490713,0.00661185382785649,0.250131715228942
"bivt",0.005,1000,"0.1",TRUE,0.0123375879570829,-0.00939643937383293,0.00572573412922645,-0.00278458554597644,0.00661185382785649,0.250131715228942
"bivt",0.005,1000,"0.01",TRUE,0.0168300293574729,-0.0101869287468182,0.0102181755296164,-0.00357507491896176,0.00661185382785649,0.250131715228942
"bivt",0.005,1000,"0.05",TRUE,0.014333735437008,-0.0090960080846473,0.00852549766912176,-0.00328777031676105,0.00580823776788626,0.222279148014412
"bivt",0.005,1000,"0.1",TRUE,0.0124039423028967,-0.0088574361753006,0.00659570453501048,-0.00304919840741434,0.00580823776788626,0.222279148014412
"bivt",0.005,1000,"0.01",TRUE,0.0157538664573515,-0.0094372773480394,0.00994562868946523,-0.00362903958015314,0.00580823776788626,0.222279148014412
"bivt",0.005,1000,"0.05",TRUE,0.0110460890235271,-0.00776233666357724,0.00604146731561111,-0.00275771495566121,0.00500462170791603,0.265163636450884
"bivt",0.005,1000,"0.1",TRUE,0.0107673299819178,-0.0076071143088502,0.00576270827400178,-0.00260249260093418,0.00500462170791603,0.265163636450884
"bivt",0.005,1000,"0.01",TRUE,0.0125842339248034,-0.00819104309728102,0.00757961221688742,-0.003186421389365,0.00500462170791603,0.265163636450884
"bivt",0.005,1000,"0.05",TRUE,0.00954367768016433,-0.00695111894942466,0.0045390559722483,-0.00194649724150863,0.00500462170791603,0.392306919448262
