"dist","p","n","method","alpha","is_covered","c_plus_raw","c_minus_raw","b_marg","B_marg1","B_marg2","eta_hat","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac","n_truth_pts"
"karachiBetaKDE",0.005,1000,"percoord_full","0.05",FALSE,0.0287010986730963,-0.00437854347958074,0.61579017903706,-0.0790363069473212,-0.0790363069473212,0.201591624227002,-0.0850342924568743,-0.541268026597351,0.0033,0.0009434,50
"karachiBetaKDE",0.005,1000,"percoord_full","0.1",FALSE,0.0226999186499949,-0.0043168527509368,0.61579017903706,-0.0790363069473212,-0.0790363069473212,0.201591624227002,-0.0850342924568743,-0.541268026597351,0.0033,0.0009434,50
"karachiBetaKDE",0.005,1000,"percoord_full","0.01",FALSE,0.046207044503115,-0.00437854347958074,0.61579017903706,-0.0790363069473212,-0.0790363069473212,0.201591624227002,-0.0850342924568743,-0.541268026597351,0.0033,0.0009434,50
"karachiBetaKDE",0.005,1000,"percoord_interior","0.05",TRUE,0.0287010986730963,-0.00437854347958074,0.61579017903706,-0.0790363069473212,-0.0790363069473212,0.201591624227002,-0.0850342924568743,-0.541268026597351,0.0033,0.0009434,20
"karachiBetaKDE",0.005,1000,"percoord_interior","0.1",TRUE,0.0226999186499949,-0.0043168527509368,0.61579017903706,-0.0790363069473212,-0.0790363069473212,0.201591624227002,-0.0850342924568743,-0.541268026597351,0.0033,0.0009434,20
"karachiBetaKDE",0.005,1000,"percoord_interior","0.01",TRUE,0.046207044503115,-0.00437854347958074,0.61579017903706,-0.0790363069473212,-0.0790363069473212,0.201591624227002,-0.0850342924568743,-0.541268026597351,0.0033,0.0009434,20
"karachiBetaKDE",0.005,1000,"hrv_interior","0.05",TRUE,0.0247607599026486,-0.00452087455122404,0.61579017903706,-0.0790363069473212,-0.0790363069473212,0.201591624227002,-0.0850342924568743,-0.541268026597351,0.0033,0.0009434,20
"karachiBetaKDE",0.005,1000,"hrv_interior","0.1",TRUE,0.0204966859917017,-0.00445432025239499,0.61579017903706,-0.0790363069473212,-0.0790363069473212,0.201591624227002,-0.0850342924568743,-0.541268026597351,0.0033,0.0009434,20
"karachiBetaKDE",0.005,1000,"hrv_interior","0.01",TRUE,0.029511817509153,-0.00452087455122404,0.61579017903706,-0.0790363069473212,-0.0790363069473212,0.201591624227002,-0.0850342924568743,-0.541268026597351,0.0033,0.0009434,20
"karachiBetaKDE",0.005,1000,"percoord_full","0.05",FALSE,0.0361139170132023,-0.0043542842739315,1.69812950876621,-0.0790363069473212,-0.181365606175397,0.167750076127074,-0.235580441528185,-1.06770677243669,0.0068,0.0010486,50
