"dist","p","n","alpha","is_covered","c_plus_adj","c_minus_adj","c_plus_raw","c_minus_raw","beta_frac_pos","beta_frac_neg","xi_hat","xi_marg_hat","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"gauss_copula_t4",0.005,1000,"0.05",TRUE,0.00922454452344814,-0.00463672876153773,0.00922454452344814,-0.00312011298014949,1.64381718955939,0,0.2125,0.25,FALSE,3.80742030096773,5.07544552140923,0.945986473947399,1.15614009680376
"gauss_copula_t4",0.005,1000,"0.1",TRUE,0.00734365665972531,-0.00458444644492981,0.00734365665972531,-0.00284955798445262,1.64381718955939,0,0.2125,0.25,FALSE,3.51055724781444,4.67394805723485,0.872225820878439,1.0646777806823
"gauss_copula_t4",0.005,1000,"0.01",TRUE,0.0117837719210607,-0.00469024562279899,0.0117837719210607,-0.00339705660292031,1.64381718955939,0,0.2125,0.25,FALSE,4.16118420531489,5.55606667650386,1.03388604308136,1.26562880985912
"gauss_copula_t4",0.005,1000,"0.05",TRUE,0.00796477419446069,-0.00427945944703625,0.00645123815447796,-0.00303955642594452,1.00092434158321,0.124138142375117,0.2125,0.25,FALSE,2.69246484354615,3.29528558385535,0.693291083360756,0.834989589771376
"gauss_copula_t4",0.005,1000,"0.1",TRUE,0.00683109359441234,-0.00420917585055308,0.00544990590236578,-0.00284832912510738,1.00092434158321,0.124138142375117,0.2125,0.25,FALSE,2.51521773257087,3.07600750452927,0.647648895350179,0.779424728786234
"gauss_copula_t4",0.005,1000,"0.01",TRUE,0.00949294099349027,-0.00447874127786837,0.00780100342558702,-0.00358176155662576,1.00092434158321,0.124138142375117,0.2125,0.25,FALSE,3.18463378942473,3.92063996062473,0.820044677156942,0.993467994588893
"gauss_copula_t4",0.005,1000,"0.05",TRUE,0.0150800549965104,-0.00480229652143287,0.0150800549965104,-0.00305410294069352,2.28671003753557,0,0.2125,0.25,FALSE,4.71000154857104,6.41823806572605,1.24386625211731,1.53613246389156
"gauss_copula_t4",0.005,1000,"0.1",TRUE,0.0128908535173844,-0.00478677888859434,0.0128908535173844,-0.00290137059462278,2.28671003753557,0,0.2125,0.25,FALSE,4.51998086691637,6.15649522219625,1.19368143971403,1.47348454774196
"gauss_copula_t4",0.005,1000,"0.01",TRUE,0.0206785259020586,-0.00484923637380661,0.0206785259020586,-0.00351610857337299,2.28671003753557,0,0.2125,0.25,FALSE,5.30017363757898,7.25106432570836,1.39975080860441,1.73548485706086
"gauss_copula_t4",0.005,1000,"0.05",TRUE,0.00704482673305775,-0.00447923048591959,0.00704482673305775,-0.00304591307352141,1.3223707655713,0,0.2125,0.25,FALSE,3.13568213677032,3.88040178157929,0.788360600171409,0.957597547223025
"gauss_copula_t4",0.005,1000,"0.1",TRUE,0.00558131715885985,-0.0044059058002716,0.00558131715885985,-0.00277077636574793,1.3223707655713,0,0.2125,0.25,FALSE,2.86575124145589,3.54226776030988,0.720491812668158,0.874149833532119
"gauss_copula_t4",0.005,1000,"0.01",TRUE,0.00950708182832658,-0.00455725725533985,0.00950708182832658,-0.00333869344164402,1.3223707655713,0,0.2125,0.25,FALSE,3.48965655807096,4.32357861325089,0.877360081321871,1.06696858703744
"gauss_copula_t4",0.005,1000,"0.05",TRUE,0.00818815491094519,-0.00457518689916513,0.00818815491094519,-0.00312803626031362,1.48309397756534,0,0.2125,0.25,FALSE,3.46574713629989,4.4679045145302,0.87582103164771,1.06753488588866
"gauss_copula_t4",0.005,1000,"0.1",TRUE,0.00724316418200064,-0.00453018894023929,0.00724316418200064,-0.00292975012623839,1.48309397756534,0,0.2125,0.25,FALSE,3.27281519332076,4.21362322915456,0.827060731751812,1.00677366668939
"gauss_copula_t4",0.005,1000,"0.01",TRUE,0.0114156925875277,-0.00464970481938153,0.0114156925875277,-0.00345640382790464,1.48309397756534,0,0.2125,0.25,FALSE,3.89213346126444,5.02572988026727,0.983578936645774,1.20082570078745
