"dist","p","n","alpha","is_covered","c_plus_adj","c_minus_adj","c_plus_raw","c_minus_raw","beta_frac_pos","beta_frac_neg","b_marg","B_marg1","B_marg2","eta_hat","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"bivgauss",0.005,1000,"0.05",TRUE,0.0409590054427168,-0.00481506731156598,0.0101642131479477,-0.00429182104491048,0.679477917595113,0.445584566363209,0.663226993018081,0.12562229150883,-0.283694905403472,0.671843231735084,-0.660017725224112,-0.635899416522017,0.0306,0.9784,FALSE,1.79100876869727,2.04882497374426,0.625151108305497,0.735824371374693
"bivgauss",0.005,1000,"0.1",TRUE,0.0371067969707527,-0.004784872897382,0.00889317366838359,-0.00417619492782206,0.679477917595113,0.445584566363209,0.663226993018081,0.12562229150883,-0.283694905403472,0.671843231735084,-0.660017725224112,-0.635899416522017,0.0306,0.9784,FALSE,1.7687507562009,2.02126325723883,0.616966226241625,0.72592573045538
"bivgauss",0.005,1000,"0.01",TRUE,0.048156970173992,-0.0048670083795451,0.0125391877664153,-0.00449072352969653,0.679477917595113,0.445584566363209,0.663226993018081,0.12562229150883,-0.283694905403472,0.671843231735084,-0.660017725224112,-0.635899416522017,0.0306,0.9784,FALSE,1.83665194750947,2.10317043670646,0.642817103958484,0.755342249491998
"bivgauss",0.005,1000,"0.05",TRUE,0.0247656339171701,-0.00475369091711,0.0108518986783366,-0.00419407379824916,0.840201129589159,0.284861354369163,0.345203865831069,-0.0790363069473212,-0.181365606175397,0.825197463195747,-0.215434189971182,-0.161131243544492,0.0065,0.6866,FALSE,2.06949676888422,2.19297774119266,0.667306343228081,0.765409906903428
"bivgauss",0.005,1000,"0.1",TRUE,0.020887013723604,-0.00461542755464963,0.0087863120863879,-0.00374167445819417,0.840201129589159,0.284861354369163,0.345203865831069,-0.0790363069473212,-0.181365606175397,0.825197463195747,-0.215434189971182,-0.161131243544492,0.0065,0.6866,FALSE,1.83269399663473,1.97052982231841,0.594709562281882,0.690593883745112
"bivgauss",0.005,1000,"0.01",TRUE,0.0341589647164336,-0.00484983128346579,0.0158543833724768,-0.00450864620208805,0.840201129589159,0.284861354369163,0.345203865831069,-0.0790363069473212,-0.181365606175397,0.825197463195747,-0.215434189971182,-0.161131243544492,0.0065,0.6866,FALSE,2.24904656036563,2.38499627489421,0.725558578292739,0.831655304357536
"bivgauss",0.005,1000,"0.05",TRUE,0.0235135762663721,-0.00481059737251836,0.0097459553726514,-0.00445656879682398,0.679477917595113,0.284861354369163,0.374550146546309,-0.0790363069473212,-0.181365606175397,0.760542632263911,0.116582032536876,0.0541215155410993,0.0022,0.8626,FALSE,2.16313033627965,2.26460003255544,0.78087764747631,0.855051975122109
"bivgauss",0.005,1000,"0.1",TRUE,0.0211095802608207,-0.00477223296410648,0.00850271539872711,-0.00434649420652072,0.679477917595113,0.284861354369163,0.374550146546309,-0.0790363069473212,-0.181365606175397,0.760542632263911,0.116582032536876,0.0541215155410993,0.0022,0.8626,FALSE,2.03051729418895,2.14308190515084,0.735813852503723,0.81376036784841
"bivgauss",0.005,1000,"0.01",TRUE,0.0287444571216539,-0.00483006718769573,0.0124511346504473,-0.00451243130109932,0.679477917595113,0.284861354369163,0.374550146546309,-0.0790363069473212,-0.181365606175397,0.760542632263911,0.116582032536876,0.0541215155410993,0.0022,0.8626,FALSE,2.26896136148948,2.35131407149703,0.82190200718761,0.885246347869495
"bivgauss",0.005,1000,"0.05",TRUE,0.047906039238187,-0.00486530956172215,0.0105041365591762,-0.00405946137608095,1.16164755357725,0.445584566363209,0.78182606617165,0.12562229150883,-0.283694905403472,0.569928000156215,-0.295741973552123,-0.512148405911488,0.0127,0.9636,FALSE,1.63253876170167,1.77676683186826,0.600304691429826,0.696760509817312
"bivgauss",0.005,1000,"0.1",TRUE,0.0420364610173848,-0.00484464983040733,0.00878405424739358,-0.00391519519423599,1.16164755357725,0.445584566363209,0.78182606617165,0.12562229150883,-0.283694905403472,0.569928000156215,-0.295741973552123,-0.512148405911488,0.0127,0.9636,FALSE,1.60715408885518,1.74898447122642,0.589983074434628,0.684814376031932
"bivgauss",0.005,1000,"0.01",TRUE,0.0643918877690286,-0.00491908515790107,0.0153353212518223,-0.00443497448508287,1.16164755357725,0.445584566363209,0.78182606617165,0.12562229150883,-0.283694905403472,0.569928000156215,-0.295741973552123,-0.512148405911488,0.0127,0.9636,FALSE,1.71755155743492,1.87685800456242,0.632564083579583,0.738375759319749
"bivgauss",0.005,1000,"0.05",TRUE,0.0225735167067297,-0.00466747209325309,0.0128198531247533,-0.00434987819965618,0.518754705601067,0.284861354369163,0.151681238238673,0.0232929922807543,-0.0790363069473212,0.81841461618202,-0.153560380923557,-0.449630095976313,0.0121,0.7976,FALSE,1.96099256760101,2.1432942292808,0.648536818639794,0.714360971435687
"bivgauss",0.005,1000,"0.1",TRUE,0.0191668949817881,-0.00459410393090602,0.010618266020877,-0.00420643687991967,0.518754705601067,0.284861354369163,0.151681238238673,0.0232929922807543,-0.0790363069473212,0.81841461618202,-0.153560380923557,-0.449630095976313,0.0121,0.7976,FALSE,1.83562622964528,1.96927273626567,0.60144568794864,0.667964663061821
"bivgauss",0.005,1000,"0.01",TRUE,0.0263186791413782,-0.00471452739069548,0.0152402279076874,-0.00444187551497397,0.518754705601067,0.284861354369163,0.151681238238673,0.0232929922807543,-0.0790363069473212,0.81841461618202,-0.153560380923557,-0.449630095976313,0.0121,0.7976,FALSE,2.07384672907137,2.29802746944146,0.686166304985447,0.758915066839163
"bivgauss",0.005,1000,"0.05",TRUE,0.0337741097052327,-0.00469148583581964,0.0119994332577458,-0.00424288842231783,0.518754705601067,0.445584566363209,0.37898817617937,-0.181365606175397,-0.181365606175397,0.751636521331319,-0.397506110952183,-0.13886804352109,0.0154,0.7544,FALSE,1.8916947317496,2.04272723631978,0.606411228407565,0.72525400887008
"bivgauss",0.005,1000,"0.1",TRUE,0.0298020774400911,-0.00454107111396707,0.0102580058490392,-0.00387376200742217,0.518754705601067,0.445584566363209,0.37898817617937,-0.181365606175397,-0.181365606175397,0.751636521331319,-0.397506110952183,-0.13886804352109,0.0154,0.7544,FALSE,1.78211594665695,1.90833024383396,0.570426797818193,0.677537428874781
"bivgauss",0.005,1000,"0.01",TRUE,0.0414119850306106,-0.00476971385478966,0.015348047908393,-0.00443486449906843,0.518754705601067,0.445584566363209,0.37898817617937,-0.181365606175397,-0.181365606175397,0.751636521331319,-0.397506110952183,-0.13886804352109,0.0154,0.7544,FALSE,1.9654565951262,2.13525580193988,0.633341986125259,0.759190141245535
"bivgauss",0.005,1000,"0.05",TRUE,0.0204838623891637,-0.00475725567709783,0.0100123947171483,-0.00438857364561978,0.679477917595113,0.284861354369163,0.244307875610042,0.12562229150883,-0.0790363069473212,0.807621453546235,-0.125971291480891,-0.158940914521359,0.0052,0.8394,FALSE,2.00383714067552,2.17886988821834,0.625578844726292,0.738543479536178
"bivgauss",0.005,1000,"0.1",TRUE,0.0183175422317807,-0.00471092577386802,0.00873622814593899,-0.00427187751245415,0.679477917595113,0.284861354369163,0.244307875610042,0.12562229150883,-0.0790363069473212,0.807621453546235,-0.125971291480891,-0.158940914521359,0.0052,0.8394,FALSE,1.87991802145423,2.07289821449187,0.594188495714509,0.705149157837259
"bivgauss",0.005,1000,"0.01",TRUE,0.0273896110434492,-0.00477117528637883,0.0140805309765731,-0.00442363446951597,0.679477917595113,0.284861354369163,0.244307875610042,0.12562229150883,-0.0790363069473212,0.807621453546235,-0.125971291480891,-0.158940914521359,0.0052,0.8394,FALSE,2.14865843790493,2.31420856472024,0.670846976684468,0.778549252298534
"bivgauss",0.005,1000,"0.05",TRUE,0.0357496234256924,-0.00466464667485678,0.0115162585464052,-0.00435450999274209,0.358031493607021,0.606307778357255,0.296793557999118,-0.181365606175397,-0.0790363069473212,0.959796284965222,0.193290729808595,-0.40511439152427,0.0128,0.7156,FALSE,2.4795706699109,2.96721004813379,0.808108733234518,1.03458860556628
