"dist","p","n","alpha","is_covered","c_plus_raw","c_minus_raw","b_marg","B_marg1","B_marg2","beta_frac_pos","beta_frac_neg","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac"
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.00585911003100211,-0.00439847641434336,0.445584566363209,-0.283694905403472,0.0232929922807543,0.036585069618929,1.24920062633344,0.495355709385391,0.261414292922995,0.0012,0.8194
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.0081851932933333,-0.00446622688227186,0.445584566363209,-0.283694905403472,0.0232929922807543,0.036585069618929,1.24920062633344,0.495355709385391,0.261414292922995,0.0012,0.8194
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.0090327776478125,-0.00439671571221368,0.284861354369163,0.0232929922807543,-0.181365606175397,0.036585069618929,0.606307778357255,-0.25570585889198,0.12278151549028,0.0024,0.8348
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.00737213917727059,-0.0043729090525136,0.284861354369163,0.0232929922807543,-0.181365606175397,0.036585069618929,0.606307778357255,-0.25570585889198,0.12278151549028,0.0024,0.8348
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.0144591633654224,-0.00444609230868831,0.284861354369163,0.0232929922807543,-0.181365606175397,0.036585069618929,0.606307778357255,-0.25570585889198,0.12278151549028,0.0024,0.8348
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.0121839554334567,-0.00431147064858348,0.284861354369163,-0.181365606175397,0.0232929922807543,0.036585069618929,0.927754202345347,-0.201023691682539,-0.100437116374887,0.0019,0.7026
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.00744269879760714,-0.00379999093309881,0.284861354369163,-0.181365606175397,0.0232929922807543,0.036585069618929,0.927754202345347,-0.201023691682539,-0.100437116374887,0.0019,0.7026
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.0143750958707256,-0.00448639674261459,0.284861354369163,-0.181365606175397,0.0232929922807543,0.036585069618929,0.927754202345347,-0.201023691682539,-0.100437116374887,0.0019,0.7026
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.00861402048921236,-0.00398298930118513,0.036585069618929,0.0232929922807543,0.0232929922807543,0.197308281612975,0.606307778357255,0.160773050247341,-0.118861153057155,8e-04,0.6392
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.00686247295708211,-0.00334999912994814,0.036585069618929,0.0232929922807543,0.0232929922807543,0.197308281612975,0.606307778357255,0.160773050247341,-0.118861153057155,8e-04,0.6392
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.0126321031777446,-0.0045122298493265,0.036585069618929,0.0232929922807543,0.0232929922807543,0.197308281612975,0.606307778357255,0.160773050247341,-0.118861153057155,8e-04,0.6392
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.0120932145396231,-0.00437685158401781,0.124138142375117,0.0232929922807543,-0.0790363069473212,0.358031493607021,0.606307778357255,-0.115095087195462,-0.177724947393007,0.0011,0.6752
